idassociacao,idfederacao,nmrazao,nucnpj,dtfundacao,idcidade,nucep,nunumero,dscomplemento,nufone,nufax,nufone2,dsemail,dshomepage,flativo,flvalidado,dsendereco,dsbairro,idbanco,dsagencia,dsconta,dtultimaatualizacao,dtatualizacao,idgestorassociacao,id_tipo_entidade,id_antigo,sigla,sigla_unica,logoentidade,usuario_inclusao,usuario_alteracao,data_inclusao,data_alteracao,dsestado,idpais,nmrassociados
1757,46,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE SÃO JERÔNIMO DA SERRA,01727002000140,2005-04-14,6632,86270000,149,,43 3267-1288,43 3267-1562,,,,S,t,RUA CLAUDIO FERREIRA DA COSTA,CENTRO,,,,2014-03-10,2008-10-08,,1,,,,,sistema,,,,,29,
1758,43,Associação Comercial e Empresarial de Campina Grande,09194002000133,1926-12-02,4904,58400165,715,1º andar,83994061260,83 3341-1906,8333413306,accg@accg.com.br,https://accg.com.br,S,t,"Avenida Floriano Peixoto, 715",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACCG,,,sistema,pesquisa,,2023-04-05,,29,
1759,43,ASSOCIAÇÃO COMERCIAL DA PARAIBA,,2005-04-14,4964,58010130,,,83 3222-0661,-83,,asscomercialpb@openline.com.br,,S,t,RUA MACIEL PINHEIRO,VARADOURO,,,,2023-01-05,2023-01-05,,1,,ACPB,ACPB1,,sistema,Mluiza,,2023-01-05,,29,
1760,43,"ASSOCOCIAÇÃO COMERCIAL, INDUSTRIAL E AGRO-PASTORIL DE ITAMBÉ E PEDRAS DE FOGO",,2005-04-14,5021,55920000,,,81 3635-1572,81 3635-1472,,diana_rcardoso@hotmail.com.br,,S,f,"RUA DA PENHA, 115 - ITAMBÉ",CENTRO,,,,,,,1,,,,,sistema,,,,,29,
1761,57,Assoc Coml Emprl de Quata,51501039000123,,9538,19780000,826,,1833661044,,1833661044,aceqquata@yahoo.com.br,N,S,t,rua Duque de Caxias 129,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1762,57,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE BOA ESPERANÇA DO SUL,04415227000159,,8972,14930000,606,,16 3346-1772,16 3346-1772,,acebesw@uol.com.br,luizporsani@uol.com.br,S,t,RUA EMILIO ROSIM,JD MARIA TANURI,,,,2012-12-21,2012-12-21,,1,,,,,sistema,,,,,29,
1763,57,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGRICOLA DE SANTA CRUZ DA CONCEIÇÃO",02882265000196,,9598,13625000,348,,19 3567-1418,,,ocscbeth@terra.com.br,,S,t,RUA VER. JOÃO PEDRO ALVES VILLELA,CENTRO,,,,2008-03-11,2008-03-11,,1,,,,,sistema,,,,,29,
1764,57,Assoc Coml Empr de Adamantina,43007566000158,,8853,17800000,396,,1835211831,,1835211831,aceadamantina@uol.com.br,http://www.aceadamantina.com.br,S,t,Alameda Fernão Dias 396,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1765,57,Assoc Coml Emprl de Francisco Morato,03135465000148,,9145,7901000,140,"2º ANDAR, SALA 02",1146087004,11 4488-2224,1134603492,acisframo@uol.com.br,http://www.acemorato.com.br,S,t,"Geronimo Caetano Garcia 270 1° Andar, Sala 02",JARDIM PROFESSOR FRANCISCO MORATO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1766,57,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, AGRICOLA E SERVIÇOS DE MONTE MOR",52348067000115,,9382,13190000,112,Sala 07A,19 3879-4508,19 3879-4507,,daiana@acemontemor.com.br,http://www.acemontemor.com.br/,S,t,Rua 25 de Janeiro,CENTRO,,,,2015-05-14,2010-09-08,,1,,,,,sistema,,,,,29,
1767,54,Associação Comercial e Industrial de Marcelinho Ramos rs,00956717000101,,7851,99800000,187,SALA 04,5433721227,54 3372-1227,54999015623,acimar.rs@brturbo.com.br,Não tenhos,S,t,"Praça Padre Basso, 187",,,,,2023-04-05,2023-04-05,,1,,ACIMAR,,,sistema,pesquisa,,2023-04-05,,29,
1768,57,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE FRANCO DA ROCHA,50529742000187,,9146,7801000,232,1º ANDAR,11 4449-4788,11 4443-7533,11 4444-4237,acefrancodarocha@uol.com.br,www.acefrancodarocha.com.br,S,t,DOUTOR HAMILTON PRADO,CENTRO,,,,2012-12-11,2012-12-11,,1,,,,,sistema,,,,,29,
1769,57,Assoc Coml Indl Agropecuaria Cordeiropolis,52152501000197,,9072,13490000,388,,1935461616,19 3546-1298,1987451979,acicordeiropolis@terra.com.br,www.aciac-cordeiropolis.com.br,S,t,rua Jose Bonifácio 255,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1770,57,Assoc Coml Indl Agropecuaria de Santo Anastacio,46448478000180,,9624,19360000,144,,1832631777,,1832631857,aciasa@hotmail.com,www.aciasantoanastacio.com.br,S,t,rua dr Costa Manso 144,CENTRO,,,,2023-04-05,2023-04-05,01156374863,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1771,57,Assoc Coml Indl Agrop Engenheiro Coelho,04361601000180,,9118,13445372,638,SALA 02,1998713482,19 3857-9562,1938579562,aciaec@yahoo.com.br,www.aciaec.com.br,S,t,rua Antonio Batistel 752 Sl02,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1772,57,Assoc Coml Indl Agropastoril Serv de Guararema,03715373000137,,9176,8900000,77,,1146934948,11 4693-4936,1146934936,aceguararema@aceguararema.com.br,www.aceguararema.com.br,S,t,Pedro de Toledo 77,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1773,57,Assoc Coml Indl Autonomos Liberais Lorena,45218757000194,,9321,12608000,132,,1231590120,,1297476315,acial@hexato.com.br,www.acial.org.br,S,t,Coronel Jose Vicente 132,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1774,54,"ASSOCIAÇÃO DO COMÉRCIO, INDÚSTRIA, PROF. LIB E AUT DE REDENTORA",94441730000171,,8023,98550000,106,,55 3556-1130,55 3556-1120,,,,N,t,AV. PRESIDENTE CASTELO BRANCO,CENTRO,,,,2020-09-24,2010-08-25,,1,,,,,sistema,,,,,29,
1775,57,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE MAIRIPORA,52372083000143,,9338,7600000,375,A,11 4419-0922,,11 4419-2642,acemairipora@terra.com.br,http://www.acemairipora.com.br,S,t,AV. TABELIÃO PASSARELA,CENTRO,,,,2012-12-05,2012-12-05,,1,,,,,sistema,,,,,29,
1776,57,Assoc Coml Indl Agropecuaria de Paranapanema,66843459000165,,9452,18720000,605,,1437131160,14 3713-1066,1437131160,joseplens@bol.com.br,http://www.aciapar.com.br,S,t,Rua. Francisco Alves de Almeida 535 Casa,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1777,57,Assoc Coml Emprl Vargem Grande Paulista,51446540000134,,9773,6730000,261,,1141591053,11 4159-1048,1141582767,acevgp@superig.com.br,www.acevgp.com,S,t,rua Francisco Manoel de Oliveira 261,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1778,55,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE PONTE SERRADA,02269617000132,,8621,89683000,468,,49 3435-0700,,,acisaps@brturbo.com.br,,S,t,,,,,,2023-01-17,2023-01-17,,1,,ACIS,ACI1,,sistema,Mluiza,,2023-01-17,,29,
1779,54,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, DE SERVIÇO E AGROPECUÁRIA DE PORTO XAVIER",90786716000159,,7999,98995000,786,,55 3354-1177,55 3354-1177,,wda_px@yahoo.com.br,,S,t,,,,,,2022-03-22,2022-03-22,,1,,ACISA,ACISA1,,sistema,Mluiza,,2022-03-22,,29,
1780,57,Assoc Coml Empr de Pompeia,44483568000186,,9511,17580000,217,,1434521288,14 3452-2825,1434521288,ace@acepompeia.com.br,www.acepompeia.com.br,S,t,av: Expedicionarios de Pompeia 217 Centro,CENTRO,,,,2023-04-05,2023-04-05,13453563824,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1781,57,Assoc Coml Emprl de Cachoeira Paulista,51637932000180,,9007,12630000,126,,1231013271,12 3101-1820,12992287446,acecap_scpc@hotmail.com,www.acecap.com.br,S,t,rua Prefeito Antonio Mendes 126,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1782,54,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE JÚLIO DE CASTILHOS,91098434000121,,7818,98130000,178,,55 3271-1603,55 3271-1060,,acijuc@jcvirtual.com.br,,S,t,,CENTRO,,,,2023-01-18,2023-01-18,,1,,ACIJUC,,,sistema,nat.rodrigues,,2023-01-18,,29,
1783,57,Assoc Coml Indl Pindamonhangaba,45223534000115,,9485,12400220,44,,1236447100,,1236447100,acip@acipinda.com.br,www.acipinda.com.br,S,t,Deputado Claro Cesar 44,CENTRO,,,,2023-04-05,2023-04-05,20552173134,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1784,54,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE PORTO LUCENA,91104489000105,,7996,98980000,138,SALA 02,55 3565-1135,55 3565-1388,,contabilidadeservetc@yahoo.com.br,,N,t,PRAÇA D. LUIS FELIPE DE NADAL,CENTRO,,,,2020-09-24,2012-10-17,,1,,,,,sistema,,,,,29,
1785,54,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE 15 DE NOVEMBRO,93540920000183,,8020,98230000,1606,,54 3322-1060,54 3322-1271,,isclaoni@uol.com.br,,N,t,RUA LIBÓRIO MAURER,CENTRO,,,,2020-09-24,2009-06-04,,1,,,,,sistema,,,,,29,
1786,54,Associação do Comércio e Indústria de Restinga Sêca,91094532000190,,8026,97200000,447,,5532611398,55 3261-2436,5532611738,aci.cdl.restinga@hotmail.com,www.acicdl.com.br,S,t,"rua Emilio h. Nagel, 516",,,,,2023-04-05,2023-04-05,,1,,ACI,,,sistema,pesquisa,,2023-04-05,,29,
1788,55,ASSOCIAÇÃO  COM.  IND. DE SANTO AMARO DA IMPERATRIZ,02595265000105,,8681,88140000,5518,SALA 11,48 3245-1844,48 3245-1844,,executivo@sai.cdl-sc.org.br,,S,t,,,,,,2023-01-17,2023-01-17,,1,,ACISAI,,,sistema,Mluiza,,2023-01-17,,29,
