idcidade,idbairro,nmbairro,flincluido
9748,0,SITIO IMPERIAL III, 
4,1,ABRAHAO ALAB, 
9348,1,OUTROS, 
4,2,ADALBERTO ARAGAO, 
4,3,AEROPORTO VELHO, 
4,4,ALEGRIA, 
4,5,AREAL, 
4,6,AVIARIO, 
4,7,BAHIA, 
4,8,BAHIA NOVA, 
4,9,BAIXA DA COLINA, 
4,10,BASE, 
4,11,BELA VISTA, 
4,12,BOSQUE, 
4,13,CADEIA NOVA, 
4,14,CADEIA VELHA, 
4,15,CALAFATE, 
4,16,CAPOEIRA, 
4,17,CENTRO, 
4,18,CERAMICA, 
4,19,CHACARA IPE, 
4,20,CONQUISTA, 
4,21,CORRENTE, 
4,22,DISTRITO INDUSTRIAL, 
4,23,ESPERANCA, 
4,24,ESTACAO EXPERIMENTAL, 
4,25,FLORESTA, 
4,26,GERALDO FLEMING, 
4,27,IPASE, 
4,28,IVETE VARGAS, 
4,29,IZAURA PARENTE, 
4,30,JARDIM DE ALAH, 
4,31,JARDIM EUROPA, 
4,32,JOSE AUGUSTO, 
4,33,JOAO EDUARDO, 
4,34,MANOEL JULIAO, 
4,35,MASCARENHAS DE MORAES, 
4,36,MORADA DO SOL, 
4,37,NOVA ESTACAO, 
4,38,NOVO HORIZONTE, 
4,39,PALHEIRAL, 
4,40,PAPOUCO, 
4,41,PLACAS, 
4,42,PLACIDO DE CASTRO, 
4,43,PREVENTORIO, 
4,44,PRIMAVERA, 
4,45,QUINZE, 
4,46,SANTA INES, 
4,47,SANTA QUITERIA, 
4,48,SAO FRANCISCO, 
4,49,SEGUNDO DISTRITO, 
4,50,SEIS DE AGOSTO, 
4,51,SOBRAL, 
4,52,TANCREDO NEVES, 
4,53,TAQUARI, 
4,54,TERMINAL CADEIA VELHA, 
4,55,TRIANGULO, 
4,56,TROPICAL, 
4,57,VILA ACRE, 
4,58,VILA IVONETE, 
24,59,ALTO DO CRUZEIRO, 
24,60,BAIXA GRANDE, 
24,61,BAIXAO, 
24,62,BOA VISTA, 
24,63,BRASILIA, 
24,64,BRASILIANA, 
24,65,CACIMBAS, 
24,66,CAITITUS, 
24,67,CANAFISTULA, 
24,68,CAPIATA, 
24,69,CAVACO, 
24,70,CENTRO, 
24,71,ELDORADO, 
24,72,GUARIBAS, 
24,73,ITAPOA, 
24,74,JARDIM ESPERANCA, 
24,75,JARDIM TROPICAL, 
24,76,MANOEL TELES, 
24,77,NOVA ESPERANCA, 
24,78,NOVO HORIZONTE, 
24,79,OLHO D AGUA DOS CAZUZINHOS, 
24,80,OURO PRETO, 
24,81,PLANALTO, 
24,82,ZELIA BARBOSA ROCHA, 
24,83,PRIMAVERA, 
24,84,SANTA EDWIGES, 
24,85,SANTA ESMERALDA, 
24,86,SAO LUIZ, 
24,87,SENADOR ARNON DE MELO, 
24,88,SENADOR TEOTONIO VILELA, 
24,89,VERDES CAMPOS, 
109,90,SANTOS DUMONT, 
109,91,ANTARES, 
109,92,BARRO DURO, 
109,93,BEBEDOURO, 
109,95,BENEDITO BENTES, 
109,96,BOM PARTO, 
109,97,CANAA, 
109,98,CENTRO, 
109,99,CHA DA JAQUEIRA, 
109,100,CRUZ DAS ALMAS, 
109,101,FAROL, 
109,102,FEITOSA, 
109,103,FERNAO VELHO, 
109,104,IPIOCA, 
109,105,GRUTA DE LOURDES, 
109,107,JACARECICA, 
109,108,JACINTINHO, 
109,109,JARAGUA, 
109,110,JATIUCA, 
109,111,LEVADA, 
109,112,MANGABEIRAS, 
109,113,MUTANGE, 
109,114,OURO PRETO, 
109,115,PAJUCARA, 
109,116,PINHEIRO, 
109,117,PITANGUINHA, 
109,118,POCO, 
109,119,PONTA DA TERRA, 
109,120,PONTA GROSSA, 
109,121,PONTA VERDE, 
109,122,PONTAL DA BARRA, 
109,123,PRADO, 
109,124,RIACHO DOCE, 
109,125,RIO NOVO, 
109,126,SANTA AMELIA, 
109,128,SERRARIA, 
109,129,TABULEIRO DOS MARTINS, 
109,130,TRAPICHE DA BARRA, 
109,131,VERGEL DO LAGO, 
135,132,ALTO DO CRUZEIRO, 
135,133,CENTRO, 
135,134,EUCALIPTOS, 
135,135,JARDIM BRASIL, 
135,136,JUCA SAMPAIO, 
135,137,PALMEIRA DE FORA, 
135,138,PARAISO, 
135,139,RIBEIRA, 
135,140,SAO CRISTOVAO, 
135,141,SAO FRANCISCO, 
135,142,TENORIO CAVALCANTE, 
135,144,VILA MARIA, 
135,145,VILA NOVA, 
135,146,XUCURUS, 
243,147,ADRIANOPOLIS, 
243,148,ALEIXO, 
243,149,ALVORADA, 
243,150,APARECIDA, 
243,151,ARMANDO MENDES, 
243,152,BETANIA, 
243,153,CACHOEIRINHA, 
243,154,CENTRO, 
243,155,CHAPADA, 
243,156,CIDADE NOVA, 
243,157,COLONIA ANTONIO ALEIXO, 
243,158,COLONIA OLIVEIRA MACHADO, 
243,159,COLONIA SANTO ANTONIO, 
243,160,COLONIA TERRA NOVA, 
243,161,COMPENSA, 
243,162,COROADO, 
243,163,CRESPO, 
243,164,DISTRITO INDUSTRIAL, 
243,165,DOM PEDRO, 
