idbanco,dsbanco
041,BANRISUL
1  ,BANCO DO BRASIL
104,CAIXA ECONOMICA FEDERAL
106,BANCO ITABANCO S.A
107,BANCO BBM S.A.
109,BANCO CREDIBANCO S.A.
116,BANCO BNL DO BRASIL S/A
121,Banco Agibank S.A
133,Banco Cresol
136,UNICREDI
148,MULTI BANCO S.A.
151,NOSSA CAIXA NOSSO BANCO
168,BANCO CCF BRASIL S.A.
175,CONTINENTAL BANCO S.A.
181,BANCO FRANCES E BRASILEIRO
184,BANCO BBA-CREDITANSTALT S.A.
199,BANCO FINANCIAL PORTUGUES
2  ,BANCO CENTRAL DO BRASIL
200,BANCO FICRISA AXELRUD S.A.
201,BANCO AUGUSTA INDUSTRIAL E COM
204,BANCO INTER AMEX S.A.
205,BANCO SUL AMERICA S.A.
206,MARTINELLI S.A.
208,BANCO BTG PACTUAL S.A.
21 ,BANCO DO ESTADO DO ESPIRITO SA
210,DEUTSCH-SUDAMERIKANISCHE BANK
211,BANCO SISTEMA S.A.
212,Banco Original S.A
213,BANCO ARBI S.A.
214,DIBBENS S.A.
215,BANCO AMERICA DO SUL
216,BANCO REGIONAL MALCON S.A.
217,BANCO AGROINVEST S.A.
218,BANCO BONSUCESSO S.A.
219,BANCO DE CREDITO DE SAO PAULO
22 ,BCO DE CREDITO REAL DE MINAS G
220,BANCO CREFISUL S.A
221,BANCO GRAPHUS S.A.
222,BANCO AGF BRASIL S.A.
224,BANCO FIBRA S.A.
225,BANCO BRASCAN S.A.
228,BANCO ICATU S.A.
229,BANCO CRUZEIRO S.A.
230,BANCO BANDEIRANTES
231,BANCO BOA VISTA
232,BANCO INTERPART S.A.
233,BANCO GE CAPITAL S.A.
234,BANCO LAVRA S.A.
235,BANCO LIBERAL S.A.
236,BANCO CAMBIAL S.A.
237,BRADESCO
239,BANCO BANCRED S.A.
24 ,BANCO DO ESTADO DE PERNAMBUCO
241,BANCO CLASSICO S.A.
242,BANCO EUROINVEST S.A.
243,BANCO STOCK MAXIMA S. A.
244,BANCO CIDADE S.A.
246,BANCO ABC BRASIL S.A.
247,BANCO UBS WARBURG S.A. .
249,BANCO INVESTCRED S.A.
25 ,BANCO ALFA
250,BANCO SCHAHIN CURY S.A.
252,BANCO FININVEST S.A.
254,PARANA BANCO S.A.
258,BANCO INDUSCRED S.A.
26 ,BANCO DO ESTADO DO ACRE S.A.
260,NUBANK S.A
262,BANCO BOREAL S.A.
263,BANCO CACIQUE S.A.
265,BANCO FATOR S.A.
266,BANCO CEDULA S.A.
27 ,BANCO DO ESTADO SANTA CATARINA
275,BANCO REAL
28 ,BANCO DO ESTADO DA BAHIA
29 ,BANCO DO ESTADO DO RIO DE JANE
291,BANCO DE CREDITO NACIONAL BCN
294,BCO DE CREDITO REAL DO R.GDE D
3  ,BANCO DA AMAZONIA S/A
30 ,BANCO DO ESTADO DA PARAIBA S.A
300,BANCO DE LA NACION ARGENTINA
302,BANCO DO PROGRESSO S/A
303,HNF
304,BANCO PONTUAL S.A
31 ,BANCO DO ESTADO DE GOIAS
318,BANCO BMG S.A.
320,BANCO INDUSTRIAL E COMERCIAL S
33 ,BANCO SANTANDER S.A.
334,BANCO ECONOMICO
335,BANCO DIGIO S.A
336,BANCO C6 S.A
34 ,BANCO DO ESTADO DO AMAZONAS S.
