id,tipo,id_anexo,status_carousel,link,titulo_carousel,meio,data_inclusao
1,video,,false,https://www.youtube.com/watch?v=WJTTQU7rehI&ab_channel=TVEmpreender,Conheça o Up Digital Sebrae!,portal,2021-04-13 11:43:56
2,video,,true,https://www.youtube.com/watch?v=s-PgtR0pdWw&ab_channel=TVEmpreender,Os legados da pandemia para o empreendedorismo,portal,2021-04-13 11:44:29
3,video,,false,https://www.youtube.com/watch?v=8u0ucxXXqAA&ab_channel=TVEmpreender,Conheça o Programa Empreender,portal,2021-04-13 11:45:11
4,video,,true,https://www.youtube.com/watch?v=ZpdIyG-2mTA&ab_channel=TVEmpreender,AL-invest no Brasil: Empreender é investir em boas ideias,portal,2021-04-13 11:47:12
6,imagem,859,false,,AL Invest 5 - Rezende,app_portal,2021-04-13 11:53:44
7,imagem,860,false,,Al Invest 5 - Vice Presicdente,app_portal,2021-04-13 11:54:13
10,imagem,871,false,https://cacb.org.br/empreender/conheca-o-programa-brasil-mais-do-sebrae/,Brasil Mais,app_portal,2021-04-19 15:45:08
11,imagem,872,false,https://cacb.org.br/empreender/al-invest-5-0-beneficia-17-mil-empresas-brasileiras/,AL-Invest- Encerramento,app_portal,2021-04-19 15:51:10
13,imagem,994,false,https://cacb.org.br/empreender/inscricoes-abertas-para-o-premio-empreender-2021/,inscrições premio,app_portal,2021-06-14 07:57:40
46,imagem,1087,false,https://cacb.org.br/empreender/ainda-da-tempo-premio-empreender-tem-inscricoes-prorrogadas/,Ainda dá tempo! Prêmio Empreender tem inscrições prorrogadas,app_portal,2021-06-19 11:55:03
47,imagem,1140,false,https://cacb.org.br/empreender/conheca-os-tres-finalistas-do-premio-empreender-2021/,Finalistas do Prêmio Empreender,app_portal,2021-07-19 13:34:36
48,imagem,1141,false,https://cacb.org.br/empreender/cadastre-se-para-acompanhar-e-votar-no-premio-empreender-2021/,Prêmio Empreender- como votar,app_portal,2021-07-20 17:42:45
49,imagem,1207,false,https://cacb.org.br/empreender/como-acompanhar-o-premio-empreender/,Programação Prêmio,app_portal,2021-07-30 19:10:43
50,imagem,1214,false,https://cacb.org.br/empreender/conselho-nacional-da-empresaria-e-o-grande-campeao-do-premio-empreender-2021/,Prêmio- Obrigado!,app_portal,2021-08-06 12:38:58
51,video,,true,https://www.youtube.com/watch?v=HW2-eqbxePk&ab_channel=CACB,Assista à cerimônia do Prêmio Empreender 2021,app_portal,2021-09-27 13:33:34
52,video,,false,https://www.youtube.com/watch?v=WNgTg5BlX7k&ab_channel=TVEmpreender,Prêmio Empreender 2021- Por trás das câmeras,app_portal,2021-09-27 13:40:09
54,imagem,1536,false,https://pt.surveymonkey.com/r/PesquisaCACB-BID,Pesquisa BID,app_portal,2021-10-20 17:13:33
55,imagem,2066,false,https://cacb.org.br/empreender/,Empreender 2022,app_portal,2022-02-16 12:58:51
56,imagem,2078,false,https://cacb.org.br/downloads/Melhores%20Pr%C3%A1ticas-%20Empreender.pdf,Melhores Práticas,app_portal,2022-03-04 16:24:43
57,imagem,2081,false,https://cacb.org.br/empreender/cacb-lanca-edital-do-al-invest-verde-no-mercosul/,AL-Invest,app_portal,2022-03-28 11:54:32
58,imagem,2086,false,https://bit.ly/3qiqPTR,Pesquisa Competitivo,app_portal,2022-04-18 13:20:50
59,video,,false,https://www.youtube.com/watch?v=ymbLkg5rea8,Lançamento do Edital do Al-Invest no Mercosul,app_portal,2022-04-26 10:45:56
62,video,,true,https://www.youtube.com/watch?v=ymbLkg5rea8&ab_channel=CACB,Lançamento do Edital do Al-invest no Mercosul,app_portal,2022-04-26 12:07:33
63,video,,true,https://www.youtube.com/watch?v=S-Qd-f6zHUc&ab_channel=CACB,Posse da nova diretoria da CACB - Triênio 2022 - 2024,app_portal,2022-04-26 12:14:55
64,imagem,2092,true,https://cacb.org.br/empreender/plataforma-b2match-conecta-instituicoes-interessadas-em-participar-do-al-invest-verde/,AL-Invest B2Match,app_portal,2022-04-27 11:36:14
65,imagem,2094,true,https://cacb.org.br/empreender/empreender-2022-disponivel-edital-de-apoio-a-demandas-de-empresas/,Edital Empreender 2022,app_portal,2022-05-18 18:25:22
68,video,,true,https://www.youtube.com/watch?v=qkNA5FBEg0Y&ab_channel=CACB,Apresentação - Empreender 2022,app_portal,2022-06-24 08:31:47
69,video,,false,https://youtu.be/qkNA5FBEg0Y,Oficina de Preparação de Propostas para o Empreender 2022,app_portal,2022-09-22 11:48:15
70,video,,true,https://www.youtube.com/watch?v=IBwfpwLH7fQ&feature=youtu.be,Oficina de Preparação de Propostas para o Empreender 2022,app_portal,2022-09-22 11:54:28
71,imagem,2948,false,,Cartão de Natal,app_portal,2022-12-21 08:47:05
72,imagem,2981,false,,Cartão Ano Novo,app_portal,2023-01-17 10:00:18
