idcidade,nmcidade,idceplocal,iduf,idicms,idregiao,idtse,ibge,estrangeira
1,Acrelândia,69945000,AC,,,,,false
2,Assis Brasil,69935000,AC,,,,,false
3,Brasiléia,69932000,AC,,,,,false
4,Rio Branco,69923000,AC,,,,,false
5,Capixaba,69922000,AC,,,,,false
6,Cruzeiro do Sul,69980000,AC,,,,,false
7,Epitaciolândia,69934000,AC,,,,,false
8,Feijó,69960000,AC,,,,,false
9,Jordão,69975000,AC,,,,,false
10,Mâncio Lima,69990000,AC,,,,,false
11,Manoel Urbano,69950000,AC,,,,,false
12,Marechal Thaumaturgo,69983000,AC,,,,,false
13,Plácido de Castro,69928000,AC,,,,,false
14,Porto Acre,69921000,AC,,,,,false
15,Porto Walter,69982000,AC,,,,,false
17,Rodrigues Alves,69985000,AC,,,,,false
18,Santa Rosa do Purus,69955000,AC,,,,,false
19,Sena Madureira,69940000,AC,,,,,false
20,Senador Guiomard,69925000,AC,,,,,false
21,Tarauacá,69970000,AC,,,,,false
22,Xapuri,69930000,AC,,,,,false
23,Água Branca,57490000,AL,,,,,false
24,Arapiraca,57317000,AL,,,,,false
25,Alecrim,57405000,AL,,,,,false
26,Anadia,57660000,AL,,,,,false
27,Anel,57710000,AL,,,,,false
28,Anum Novo,57610100,AL,,,,,false
29,Anum Velho,57610200,AL,,,,,false
31,Atalaia,57690000,AL,,,,,false
32,Baixa da Onça,57317100,AL,,,,,false
33,Baixa do Capim,57317200,AL,,,,,false
34,Bálsamo,57317300,AL,,,,,false
35,Bananeiras,57317400,AL,,,,,false
36,Barra de Santo Antônio,57925000,AL,,,,,false
37,Barra de São Miguel,57180000,AL,,,,,false
38,Barra do Bonifácio,57610300,AL,,,,,false
39,Barra Grande,57958000,AL,,,,,false
40,Batalha,57420000,AL,,,,,false
41,Batingas,57317500,AL,,,,,false
42,Belém,57630000,AL,,,,,false
43,Belo Monte,57435000,AL,,,,,false
44,Boa Sorte,57610400,AL,,,,,false
45,Boa Vista,57317600,AL,,,,,false
47,Boca da Mata,57680000,AL,,,,,false
48,Bom Jardim,57317700,AL,,,,,false
49,Bonifácio,57610600,AL,,,,,false
50,Branquinha,57830000,AL,,,,,false
51,Cacimbinhas,57570000,AL,,,,,false
52,Cajarana,57317800,AL,,,,,false
53,Cajueiro,57770000,AL,,,,,false
54,Caldeirões de Cima,57614000,AL,,,,,false
55,Camadanta,57318000,AL,,,,,false
56,Campestre,57968000,AL,,,,,false
57,Campo Alegre,57250000,AL,,,,,false
58,Campo Grande,57350000,AL,,,,,false
59,Canaã,57317900,AL,,,,,false
60,Canafístula,57613000,AL,,,,,false
61,Canapi,57530000,AL,,,,,false
62,Canastra,57895000,AL,,,,,false
63,Cangandu,57318100,AL,,,,,false
64,Capela,57780000,AL,,,,,false
65,Carneiros,57535000,AL,,,,,false
66,Carrasco,57318200,AL,,,,,false
67,Chã Preta,57760000,AL,,,,,false
68,Coité do Nóia,57325000,AL,,,,,false
69,Colônia Leopoldina,57975000,AL,,,,,false
70,Coqueiro Seco,57140000,AL,,,,,false
71,Coruripe,57230000,AL,,,,,false
72,Coruripe da Cal,57610900,AL,,,,,false
73,Craíbas,57320000,AL,,,,,false
74,Delmiro Gouveia,57480000,AL,,,,,false
75,Dois Riachos,57560000,AL,,,,,false
76,Entremontes,57465000,AL,,,,,false
77,Estrela de Alagoas,57625000,AL,,,,,false
78,Feira Grande,57340000,AL,,,,,false
79,Feliz Deserto,57220000,AL,,,,,false
81,Flexeiras,57995000,AL,,,,,false
83,Gaspar,57318300,AL,,,,,false
84,Girau do Ponciano,57360000,AL,,,,,false
85,Ibateguara,57890000,AL,,,,,false
86,Igaci,57620000,AL,,,,,false
87,Igreja Nova,57280000,AL,,,,,false
88,Inhapi,57545000,AL,,,,,false
89,Jacaré dos Homens,57430000,AL,,,,,false
90,Jacuípe,57960000,AL,,,,,false
91,Japaratinga,57950000,AL,,,,,false
92,Jaramataia,57425000,AL,,,,,false
93,Jenipapo,57318400,AL,,,,,false
94,Joaquim Gomes,57980000,AL,,,,,false
95,Jundiá,57965000,AL,,,,,false
96,Junqueiro,57270000,AL,,,,,false
97,Lagoa da Areia,57611200,AL,,,,,false
98,Lagoa da Canoa,57330000,AL,,,,,false
99,Lagoa da Pedra,57318500,AL,,,,,false
100,Lagoa Dantas,57611500,AL,,,,,false
101,Lagoa do Caldeirão,57611300,AL,,,,,false
102,Lagoa do Canto,57611400,AL,,,,,false
103,Lagoa do Exú,57611600,AL,,,,,false
104,Lagoa do Rancho,57318600,AL,,,,,false
106,Lajes do Caldeirão,57611800,AL,,,,,false
107,Laranjal,57318700,AL,,,,,false
