id,id_proposta,id_quesito,id_avaliador,data_inclusao,data_modificacao,nota,comentario
1,3,2,3,2021-07-05 15:51:11.233666,2021-07-05 15:51:11.233666,1,
2,3,3,3,2021-07-05 15:51:11.241414,2021-07-05 15:51:11.241414,1,
3,4,2,3,2021-07-05 15:52:19.816725,2021-07-05 15:52:19.816725,1,
4,4,3,3,2021-07-05 15:52:19.824398,2021-07-05 15:52:19.824398,1,
5,5,2,3,2021-07-05 15:57:26.213009,2021-07-05 15:57:26.213009,1,
6,5,3,3,2021-07-05 15:57:26.220572,2021-07-05 15:57:26.220572,1,
7,6,2,3,2021-07-05 15:58:26.723773,2021-07-05 15:58:26.723773,1,
8,6,3,3,2021-07-05 15:58:26.730219,2021-07-05 15:58:26.730219,1,
9,7,2,3,2021-07-05 16:05:30.548595,2021-07-05 16:05:30.548595,1,
10,7,3,3,2021-07-05 16:05:30.555496,2021-07-05 16:05:30.555496,1,
11,8,2,3,2021-07-05 16:06:24.920377,2021-07-05 16:06:24.920377,1,
12,8,3,3,2021-07-05 16:06:24.92882,2021-07-05 16:06:24.92882,1,
13,9,2,3,2021-07-05 16:48:57.59,2021-07-05 16:48:57.59,1,
14,9,3,3,2021-07-05 16:48:57.597499,2021-07-05 16:48:57.597499,1,
15,11,2,3,2021-07-05 16:49:44.376636,2021-07-05 16:49:44.376636,1,
16,11,3,3,2021-07-05 16:49:44.383055,2021-07-05 16:49:44.383055,1,
17,12,2,3,2021-07-05 16:50:16.312467,2021-07-05 16:50:16.312467,1,
18,12,3,3,2021-07-05 16:50:16.320815,2021-07-05 16:50:16.320815,1,
19,13,2,3,2021-07-05 16:50:56.99876,2021-07-05 16:50:56.99876,1,
20,13,3,3,2021-07-05 16:50:57.005059,2021-07-05 16:50:57.005059,1,
21,16,2,3,2021-07-05 16:52:12.642059,2021-07-05 16:52:12.642059,1,
22,16,3,3,2021-07-05 16:52:12.648335,2021-07-05 16:52:12.648335,1,
23,17,2,3,2021-07-05 16:52:56.219,2021-07-05 16:52:56.219,1,
24,17,3,3,2021-07-05 16:52:56.225451,2021-07-05 16:52:56.225451,1,
25,18,2,3,2021-07-05 16:58:48.465363,2021-07-05 16:58:48.465363,1,
26,18,3,3,2021-07-05 16:58:48.472237,2021-07-05 16:58:48.472237,1,
27,19,2,3,2021-07-05 17:02:39.535044,2021-07-05 17:02:39.535044,1,
28,19,3,3,2021-07-05 17:02:39.541853,2021-07-05 17:02:39.541853,1,
29,20,2,3,2021-07-05 17:03:17.226545,2021-07-05 17:03:17.226545,1,
30,20,3,3,2021-07-05 17:03:17.233867,2021-07-05 17:03:17.233867,1,
31,21,2,3,2021-07-05 17:17:54.991256,2021-07-05 17:17:54.991256,1,
32,21,3,3,2021-07-05 17:17:54.99796,2021-07-05 17:17:54.99796,1,
33,22,2,3,2021-07-05 17:18:27.768825,2021-07-05 17:18:27.768825,1,
34,22,3,3,2021-07-05 17:18:27.775741,2021-07-05 17:18:27.775741,1,
35,23,2,3,2021-07-05 17:19:06.55917,2021-07-05 17:19:06.55917,1,
36,23,3,3,2021-07-05 17:19:06.566048,2021-07-05 17:19:06.566048,1,
37,24,2,3,2021-07-05 17:19:46.061442,2021-07-05 17:19:46.061442,1,
38,24,3,3,2021-07-05 17:19:46.068609,2021-07-05 17:19:46.068609,1,
39,27,2,3,2021-07-05 17:21:34.913413,2021-07-05 17:21:34.913413,0,
40,27,3,3,2021-07-05 17:21:34.920032,2021-07-05 17:21:34.920032,0,
41,28,2,3,2021-07-05 17:22:16.035317,2021-07-05 17:22:16.035317,1,
42,28,3,3,2021-07-05 17:22:16.041807,2021-07-05 17:22:16.041807,1,
43,29,2,3,2021-07-05 17:23:21.061405,2021-07-05 17:23:21.061405,1,
44,29,3,3,2021-07-05 17:23:21.067446,2021-07-05 17:23:21.067446,1,
45,30,2,3,2021-07-05 17:24:47.754899,2021-07-05 17:24:47.754899,0,
46,30,3,3,2021-07-05 17:24:47.761847,2021-07-05 17:24:47.761847,0,
47,31,2,3,2021-07-05 17:25:57.747452,2021-07-05 17:25:57.747452,0,
48,31,3,3,2021-07-05 17:25:57.754089,2021-07-05 17:25:57.754089,0,
49,32,2,3,2021-07-05 17:28:02.415594,2021-07-05 17:28:02.415594,1,
50,32,3,3,2021-07-05 17:28:02.422762,2021-07-05 17:28:02.422762,1,
51,36,2,3,2021-07-05 17:34:24.520955,2021-07-05 17:34:24.520955,0,
52,36,3,3,2021-07-05 17:34:24.53046,2021-07-05 17:34:24.53046,0,
53,37,2,3,2021-07-05 17:35:59.345729,2021-07-05 17:35:59.345729,1,
54,37,3,3,2021-07-05 17:35:59.352484,2021-07-05 17:35:59.352484,1,
55,38,2,3,2021-07-05 17:37:37.102425,2021-07-05 17:37:37.102425,1,
56,38,3,3,2021-07-05 17:37:37.109487,2021-07-05 17:37:37.109487,1,
57,39,2,3,2021-07-05 17:41:30.373026,2021-07-05 17:41:30.373026,1,
58,39,3,3,2021-07-05 17:41:30.3812,2021-07-05 17:41:30.3812,1,
59,40,2,3,2021-07-05 17:46:30.913545,2021-07-05 17:46:30.913545,1,
60,40,3,3,2021-07-05 17:46:30.919961,2021-07-05 17:46:30.919961,1,
61,41,2,3,2021-07-05 17:47:51.098862,2021-07-05 17:47:51.098862,1,
62,41,3,3,2021-07-05 17:47:51.106835,2021-07-05 17:47:51.106835,1,
63,42,2,3,2021-07-05 17:49:12.346849,2021-07-05 17:49:12.346849,1,
64,42,3,3,2021-07-05 17:49:12.354546,2021-07-05 17:49:12.354546,1,
65,43,2,3,2021-07-05 17:50:25.911053,2021-07-05 17:50:25.911053,1,
66,43,3,3,2021-07-05 17:50:25.917951,2021-07-05 17:50:25.917951,1,
67,44,2,3,2021-07-05 17:53:42.261403,2021-07-05 17:53:42.261403,0,
68,44,3,3,2021-07-05 17:53:42.267468,2021-07-05 17:53:42.267468,0,
69,33,2,3,2021-07-07 08:47:44.212387,2021-07-07 08:47:44.212387,1,
70,33,3,3,2021-07-07 08:47:44.218642,2021-07-07 08:47:44.218642,1,
71,35,2,3,2021-07-07 08:49:50.387473,2021-07-07 08:49:50.387473,1,
72,35,3,3,2021-07-07 08:49:50.394862,2021-07-07 08:49:50.394862,1,
73,3,4,7,2021-07-07 14:33:51.664075,2021-07-07 14:33:51.664075,4,
74,3,5,7,2021-07-07 14:33:51.671567,2021-07-07 14:33:51.671567,4,
75,3,6,7,2021-07-07 14:33:51.678278,2021-07-07 14:33:51.678278,4,
76,3,7,7,2021-07-07 14:33:51.685767,2021-07-07 14:33:51.685767,5,
77,3,8,7,2021-07-07 14:33:51.692909,2021-07-07 14:33:51.692909,4,
78,4,4,7,2021-07-07 14:56:31.664233,2021-07-07 14:56:31.664233,4,
79,4,5,7,2021-07-07 14:56:31.672659,2021-07-07 14:56:31.672659,4,
80,4,6,7,2021-07-07 14:56:31.685595,2021-07-07 14:56:31.685595,4,
81,4,7,7,2021-07-07 14:56:31.693214,2021-07-07 14:56:31.693214,4,
82,4,8,7,2021-07-07 14:56:31.700907,2021-07-07 14:56:31.700907,4,
83,5,4,7,2021-07-07 15:17:27.742239,2021-07-07 15:17:27.742239,4,
84,5,5,7,2021-07-07 15:17:27.752946,2021-07-07 15:17:27.752946,4,
85,5,6,7,2021-07-07 15:17:27.759966,2021-07-07 15:17:27.759966,5,
86,5,7,7,2021-07-07 15:17:27.76653,2021-07-07 15:17:27.76653,4,
87,5,8,7,2021-07-07 15:17:27.772979,2021-07-07 15:17:27.772979,4,
88,3,4,6,2021-07-08 10:01:18.602588,2021-07-08 10:01:18.602588,4,
89,3,5,6,2021-07-08 10:01:18.611363,2021-07-08 10:01:18.611363,3,
90,3,6,6,2021-07-08 10:01:18.618686,2021-07-08 10:01:18.618686,3,
