id,id_proposta,id_empresa
1,46,8715
2,47,37967
3,47,37952
4,47,32761
5,47,37954
6,47,37050
7,47,53699
8,47,41677
9,47,53700
10,47,53701
11,47,42033
12,47,53702
13,47,53703
14,47,53708
15,47,53704
16,47,53705
17,47,53706
18,47,53698
19,48,37825
20,48,37835
21,48,37840
22,48,53709
23,48,37863
24,48,37865
25,48,37931
26,48,53710
27,48,41229
28,48,53711
29,48,53713
30,48,53712
31,48,37900
32,49,53774
33,49,53784
34,49,53834
35,49,53788
36,49,53790
37,49,53792
38,49,53793
39,49,53794
40,49,53795
41,49,53796
42,49,53833
43,50,53800
44,50,53417
45,50,50430
46,50,53801
47,50,53803
48,50,53804
49,50,53806
50,50,53835
51,50,52856
52,50,35631
53,50,53802
54,50,53805
55,49,53840
56,51,39711
57,51,53707
58,51,52648
59,51,53817
60,51,35059
61,51,53822
62,51,53819
63,51,53821
64,51,53820
65,51,53818
66,51,35627
67,51,53841
68,52,31267
69,52,53854
70,52,31273
71,52,31260
72,52,31274
73,52,31268
74,52,31269
75,52,53855
76,52,35931
77,52,31271
78,52,37359
79,52,31277
80,52,53856
81,52,53857
82,52,31278
83,59,53734
84,59,50436
85,59,53729
86,59,53732
87,59,53735
88,59,53731
89,59,34283
90,59,34287
91,59,50433
92,59,50435
94,59,53730
95,59,53838
96,59,53842
97,59,53843
98,59,50437
99,62,32120
100,62,31262
101,62,42130
102,62,53807
103,62,53808
104,62,53809
105,62,53810
106,62,53812
107,62,53813
108,62,53814
109,62,53816
110,62,53836
111,62,53811
112,62,53871
113,63,52653
114,63,53847
115,63,53848
116,63,53849
117,63,51034
118,63,53850
119,63,53852
120,63,53853
121,63,53858
122,63,53846
123,63,53851
124,66,32265
125,66,37950
126,66,34401
127,66,51126
128,66,53881
129,66,53882
130,66,53883
131,66,53884
132,66,53885
133,66,53887
134,66,53886
135,66,53897
136,67,53895
137,67,53896
138,67,36643
139,67,26289
140,67,37101
141,67,36644
142,67,26292
143,67,53898
144,67,26268
145,67,53899
146,67,53900
147,67,36645
148,68,53800
149,68,53417
150,68,35631
151,68,50430
152,68,53801
153,68,53802
154,68,53803
155,68,53804
156,68,53835
157,68,53806
159,68,52856
160,70,53409
161,70,53410
162,70,22790
163,70,53411
164,70,53412
165,70,53414
166,70,53415
167,70,53418
168,70,53419
169,70,53420
170,70,53910
171,70,53737
172,70,53911
173,70,53912
174,70,53913
175,71,53915
176,71,53914
177,71,26290
178,71,53916
179,71,25468
180,71,53917
181,71,53918
182,71,53919
183,71,53901
184,71,53920
185,72,40215
186,72,22403
187,72,22400
188,72,22399
189,72,22401
190,72,22406
191,72,22402
192,72,22392
193,72,37233
194,72,36510
195,72,26154
196,72,53888
197,72,22405
198,72,53889
199,72,53890
200,72,53892
201,72,53893
202,72,53894
203,72,36639
204,68,53933
205,83,53409
206,83,53410
207,83,22790
208,83,53411
209,83,53412
210,83,53414
211,83,53415
212,83,53418
213,83,53419
214,83,53420
215,83,53910
216,83,53737
217,83,53911
218,83,53912
219,83,53913
220,84,53838
221,84,53729
222,84,53843
223,84,34283
224,84,53731
225,84,53842
226,84,53730
227,84,34287
228,84,50433
229,84,50435
230,84,50437
231,84,50436
232,84,53735
233,86,31278
234,86,53856
235,86,37359
236,86,31271
237,86,35931
238,86,31269
239,86,31268
240,86,31274
241,86,31260
242,86,53854
243,86,31267
244,86,31273
245,86,53855
246,86,31277
247,86,53857
248,88,53915
249,88,53914
250,88,26290
251,88,53916
252,88,25468
253,88,53917
254,88,53918
255,88,53919
256,88,53901
257,88,53920
258,89,37952
259,89,32761
260,89,37954
261,89,37050
262,89,53698
263,89,53699
264,89,41677
265,89,53700
266,89,53701
267,89,42033
268,89,53702
269,89,53703
270,89,53708
271,89,53704
272,89,53705
273,89,53706
274,89,54161
275,89,54162
276,76,36008
277,76,34714
278,76,36019
279,76,35871
280,76,54165
281,76,54166
282,76,36023
283,76,54168
284,76,35920
285,76,54169
286,76,38627
287,76,54170
288,76,36013
289,76,36011
290,76,36022
291,76,40702
292,76,35845
293,76,54164
294,76,54163
295,76,54167
296,90,53713
297,90,41229
298,90,53710
299,90,53709
300,90,53712
301,90,37840
302,90,37900
303,90,37825
304,90,37835
305,90,37863
306,90,37865
307,90,37931
308,90,53711
309,93,53895
310,93,53896
311,93,36643
312,93,26289
313,93,37101
314,93,36644
315,93,26292
316,93,53898
317,93,26268
318,93,53899
319,93,53900
320,93,36645
351,99,54280
352,99,53909
353,99,54226
354,99,54227
355,99,54228
356,99,54230
357,99,54232
358,99,37967
359,99,54235
360,99,54236
361,99,54237
362,99,54241
363,99,54244
364,100,40215
365,100,22403
366,100,22400
367,100,22399
368,100,22401
369,100,22406
370,100,22402
371,100,22392
372,100,36639
373,100,37233
374,100,36510
375,100,26154
376,100,53888
377,100,22405
378,100,53889
379,100,53890
380,100,53892
381,100,53893
382,100,53894
383,78,54194
384,78,54200
385,78,54210
386,78,54211
387,78,54229
388,78,54231
389,78,54233
390,78,54234
391,78,54239
392,78,54242
393,78,54251
394,78,54258
395,78,54190
396,78,54193
397,78,54196
398,77,54176
399,77,54177
400,77,54178
401,77,54179
402,77,54180
403,77,54181
404,77,54182
405,77,54183
406,77,54184
407,77,54185
408,77,54175
409,77,54186
410,77,54187
411,77,54188
412,77,54189
413,77,54197
414,77,54191
415,114,53800
416,114,53417
417,114,35631
418,114,50430
419,114,53801
421,114,53802
422,114,53803
423,114,53804
424,114,53835
425,114,53806
426,114,53805
428,114,52856
429,116,37952
430,116,32761
431,116,37954
432,116,37050
433,116,53698
434,116,53699
435,116,41677
436,116,53700
437,116,53701
438,116,42033
439,116,53702
440,116,53703
441,116,53708
442,116,53704
443,116,53705
444,116,53706
445,116,54162
446,116,54161
447,117,53698
448,117,53705
449,117,53706
450,117,53708
451,117,32761
452,117,37952
453,117,53704
454,117,53702
455,117,42033
456,117,54162
457,117,53700
458,117,54161
459,117,37954
460,117,53701
461,117,53699
462,117,37050
463,117,41677
464,117,53703
480,64,53859
481,64,53860
482,64,53861
483,64,53862
484,64,53863
485,64,53864
487,64,53866
488,64,53867
489,64,53868
490,64,53869
491,64,53870
492,64,54336
493,64,54337
494,64,54338
495,64,54339
496,64,54340
497,64,54341
498,64,54342
499,64,54343
500,64,54344
501,64,54345
502,64,54346
503,64,54347
504,64,54348
505,64,54349
506,64,54350
507,64,54351
508,64,54353
509,64,54354
510,64,54355
511,64,54356
512,64,54357
513,64,54352
514,64,54480
515,64,54481
516,64,54482
517,64,54483
518,64,54484
519,64,54485
520,64,54486
521,64,54487
522,64,54488
523,64,54489
524,64,54490
525,64,54491
526,64,54492
527,64,54493
528,64,54494
529,64,54495
530,64,54496
531,64,54497
532,157,53800
533,157,53417
534,157,35631
535,157,50430
536,157,53801
537,157,53802
538,157,53803
539,157,53804
540,157,53835
541,157,53806
542,157,53805
543,157,52856
544,106,54501
545,106,54502
546,106,54503
547,106,54504
548,106,38318
549,106,38256
550,106,54505
551,106,54507
552,106,54508
553,106,13954
554,106,54509
555,106,54506
556,94,26329
557,94,32679
558,94,40824
559,94,53011
560,94,53014
561,94,53017
562,94,53405
563,94,54537
564,94,54538
565,94,54540
566,94,32310
567,94,40904
568,94,33012
581,113,41601
582,113,54152
583,113,54542
584,113,54543
585,113,54544
586,113,54617
587,113,54150
588,113,54151
589,113,54153
590,113,54154
591,113,54157
592,113,54541
593,64,54655
594,64,54656
595,64,54657
596,64,54658
597,64,54659
598,64,54660
599,64,54661
600,64,54668
601,64,54669
602,64,54662
603,64,54663
604,64,54619
605,64,54664
606,64,54665
607,64,54666
608,64,54667
