idquestoes,questao,proposicao,texto,idgrupo,ordem,upload_arquivo
1,Questão I-A – Consultores de núcleo,"A contratação de consultores mais experientes para trabalharem por tempo previamente determinado junto aos núcleos setoriais, no lugar de consultores com dedicação exclusiva, normalmente recém-formados, traz melhores resultados para os empresários.","<div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">O consultor é o profissional que interage diretamente com os empresários. Apesar da referência, sua ação é muito mais voltada para a moderação das reuniões dos núcleos setoriais do que para a intervenção na solução dos problemas apresentados pelos empresários nucleados. Por isso, o mais adequado seria identificá-lo por moderador.</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">A formação para trabalhar no Empreender é feita por meio de um curso a distância ou presencial, com carga horária estimada em 40h.&nbsp;</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Na grande maioria das ACEs, o consultor possui dedicação exclusiva. Seu vínculo é feito por meio de contratos de trabalho CLT ou como prestador de serviços.</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">As ACEs têm dificuldades em reter os bons profissionais, seja por limitações financeiras ou pelas poucas oportunidades de crescimento profissional. Também, pelos mesmos motivos, o profissional consultor do Empreender, normalmente, é um profissional recém-formado ou com pouca experiência profissional.</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Há casos de entidades que abriram mão da exclusividade e optaram por contratar consultores mais experientes, pagando-os por uma quantidade de horas para atendimento aos núcleos setoriais. A iniciativa acelerou os resultados do núcleo setorial, assim como permitiu a retenção de empresários mais qualificados.</span></font></div></div>",1,,false
2,Questão I-B – Executivos de entidades como consultores,A condução dos núcleos setoriais pelos executivos das entidades empresariais fica comprometida na ausência dos consultores.,"<font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Algumas entidades usam seus executivos como moderadores dos núcleos setoriais. Os executivos cuidam de toda a parte administrativa da entidade empresarial, como folha de pagamentos, controle do pagamento de mensalidades, agenda do presidente, controle dos serviços, entre outros. O Empreender é desenvolvido segundo a disponibilidade de tempo do executivo, o que compromete a execução do projeto.</span></font><br>",1,,false
3,Questão I-C – Recursos para recrutamento e atuação de consultores,"<font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">É dispensável a alocação de recursos para o recrutamento e a seleção de consultores. As entidades devem ter como base o perfil exigido para o cargo. O repasse de recurso para pagamento do consultor deve estar condicionado ao desenvolvimento das atividades (reuniões, planos de ação, implementação dos planos de ação, pesquisas junto às empresas etc.).&nbsp;</span></font><br>","<font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Em edições passadas, foram alocados recursos para o recrutamento e a seleção de consultores. Na prática, identificou-se que algumas entidades priorizaram as relações pessoais na seleção de consultores em detrimento das características técnicas exigidas pelo perfil. O processo de seleção acabou servindo para confirmar profissionais que já mantinham algum tipo de relação com as entidades.&nbsp; A aplicação de recursos em profissionais com capacidade aquém da necessária foi parcialmente anulada na última edição do Empreender, com a melhoria da gestão do projeto. O repasse dos recursos estava condicionado à execução de atividades e ao alcance das metas.</span></font><br>",1,,false
4,Questão I-D - Coordenadores e consultores regionais,"<font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Nos estados com maior número de associações comerciais, os coordenadores ou consultores regionais são indispensáveis para a implementação do Empreender. Eles apoiam a implantação e a operação do programa, auxiliando as entidades locais na execução das ações, na mobilização dos empresários e no intercâmbio com os consultores.</span></font><br>","<div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">A coordenação do Empreender no estado tem um papel importante no projeto para implementar, manter e ampliar os núcleos setoriais, além de assegurar a qualidade do projeto. Em estados onde não existe uma coordenação estadual, ou com baixa efetividade da coordenação, há uma tendência de perda na qualidade das ações, baixa motivação dos atores, ausência de referencial e baixa qualidade dos consultores.</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">As Federações com grande quantidade de associações comerciais, como são as dos estados de São Paulo, Paraná e Santa Catarina, criaram coordenadorias regionais com o objetivo de aproximar a representação do estado das ACEs da região.&nbsp;</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">As coordenadorias da Federação foram expandidas para o Empreender, criando-se as funções de coordenadores ou consultores regionais. A ideia é a mesma da representação da entidade: tornar a Federação mais próxima das ACEs no desenvolvimento do Empreender, auxiliando a entidade na implementação e operação do programa.</span></font></div>",1,,false
5,Questão II-A – Apresentação prévia de plano ,"As associações comerciais interessadas em implementar o Empreender devem apresentar um plano com os núcleos setoriais a serem criados ou apoiados. A criação de núcleos deve ser feita a partir de uma matriz que considera a organização das empresas, a representatividade, a capacidade de se desenvolverem, a sustentabilidade, entre outros pontos. ",,2,,false
6,Questão II-B – Atividades iniciais dos núcleos,"<div>A criação dos núcleos setoriais deve inicialmente priorizar as ações de maior impacto e de fácil execução. O planejamento deve ser realizado após constatado um ambiente mais favorável entre os empresários, que demonstre maior união entre eles, e após a execução das ações prioritárias.<br></div>","<div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">O segundo problema foi a ausência de planejamento dos núcleos setoriais. Alguns núcleos executavam uma ou duas ações a partir da análise FOFA e, em seguida, sentiam dificuldades em continuar ou propor novas ações. Também observa-se a execução de ações sem o alinhamento a resultados. Em uma determinada época, houve uma tendência de vários núcleos setoriais executarem ações sociais. Por exemplo, o núcleo de beleza realizava cortes de cabelo no asilo de forma gratuita. Ainda que meritórias, tais iniciativas raramente se vinculavam à obtenção de resultados efetivos para as empresas.</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">A última revisão da metodologia previu a realização do planejamento em vez da priorização de uma ou duas ações. Não há um estudo aprofundado sobre os resultados desta nova abordagem, mas verifica-se que a estratégia não foi bem-sucedida. Sugere-se que os problemas se deram por dois motivos:</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">•<span style=""white-space:pre"">	</span>Os consultores, recém-formados, não tinham experiência para a condução de uma oficina de planejamento do núcleo setorial.</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">•<span style=""white-space:pre"">	</span>Os empresários, recém-nucleados, ainda não tinham um ambiente adequado para o desenvolvimento de um planejamento conjunto. Naquele momento, prevalece a ideia de que a outra empresa é um concorrente e não um parceiro. Não existe ainda um ambiente de confiança entre os empresários participantes, algo a ser construído ao longo das reuniões do núcleo.&nbsp;</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">A metodologia tradicional do Empreender, na qual priorizam-se inicialmente duas ou três ações de maior impacto, parece ser a mais indicada. A execução bem-sucedida dessas ações acaba por criar um ambiente mais favorável com o aumento da confiança entre os empresários nucleados. A partir deste ponto, pode-se fazer o planejamento estratégico.&nbsp; Imagina-se um prazo de 12 meses para execução das ações prioritárias.</span></font></div>",2,,false
7,Questão II-C – Profissionais experientes na etapa de planejamento dos núcleos,<div>Os moderadores recém-formados e com pouca experiência podem ter dificuldades na definição dos segmentos a serem trabalhados; na condução das oficinas para priorização das ações; e na realização dos planejamentos dos núcleos setoriais. A execução dessas atividades por profissionais qualificados e com experiência na moderação de reuniões tende a melhorar os resultados do Empreender.<br></div>,"<div>As atividades de definição dos segmentos a serem implementados, a análise FOFA com a priorização das ações e o planejamento dos núcleos setoriais são pontos nevrálgicos da metodologia do Empreender. Os empresários mais qualificados poderão se sentir desmotivados quando submetidos a uma análise FOFA conduzida por um profissional recém-formado ou sem experiência profissional. Um núcleo não prospera quando uma dessas atividades não é bem executada.<br></div>",2,,false
8,Questão III-A – Capacitação de consultores por profissionais externos,"<font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">A realização das capacitações por profissionais que lidam com o assunto e com experiência de implementação do projeto em outros estados, e até mesmo países, traz mais benefícios para os consultores.</span></font><br>",,3,,false
9,Questão III-B – Formas de capacitação de consultores,"<font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">A capacitação dos consultores a distância, seguida de uma capacitação presencial, com reforço nos encontros estaduais ou regionais, com periodicidade semestral, é suficiente para o iniciar o desenvolvimento do Empreender nos municípios.</span></font><br>","<div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">A principal capacitação do Empreender é voltada para os consultores.</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">No passado, os consultores foram capacitados em dois módulos presenciais de 40 horas, separados por um intervalo aproximado de 90 dias.</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Devido à rotatividade dos consultores e ao custo da capacitação, foi criado um curso de formação a distância, estimado em 40h. O curso a distância tem como vantagem a padronização do conteúdo, a universalidade e o baixo custo. Por outro lado, os aspectos práticos da condução das reuniões,&nbsp; como a aplicação do Metaplan e a realização de exercícios, não podem ser explorados.&nbsp;</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Algumas entidades aplicam a capacitação a distância acrescida de um módulo presencial com duração de três dias. A reciclagem dos consultores é feita nos encontros estaduais ou regionais.</span></font></div>",3,,false
10,Questão III-C – Capacitação de executivos e técnicos do SEBRAE,"Os executivos das associações comerciais e os técnicos do Sebrae devem participar da capacitação junto com os consultores, de forma a aumentar as possibilidades de sucesso na implementação do Empreender nos municípios. ","<div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Há estados onde os executivos das ACEs são capacitados, o que tem sido de muita valia. O executivo tende a ser um profissional com maior tempo de permanência nas ACEs. Na troca de consultor, ele consegue orientar os novos profissionais e contribuir para o andamento das atividades.</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Outro ator muito importante é o técnico do Sebrae. O vínculo com a entidade tende a ser maior quando comparado com o vínculo de um consultor de uma associação comercial. Da mesma forma que o executivo, o técnico do Sebrae pode orientar novos consultores e contribuir para o desenvolvimento das ações.&nbsp;</span></font></div>",3,,false
