idusuario,idlingua,idcredencia,dsentidade,dsnucred
9,pt,1,SEBRAE GOIAS PROJETO EMPREENDER,0001
13,en,1,Sebrae,
13,pt,1,Sebrae,
22,pt,1,Sebrae,212/2004
25,pt,1,PMNA / ACIN,
33,pt,1,Sebrae,contratos
33,pt,2,Faciap,contrato
38,pt,1,SEBRAE-GO,
39,pt,1,Sebrae Nacional,-
39,pt,2,IDO Brasil,-
40,pt,1,Sebrae Nacional,
40,pt,2,Banco do Nordeste do Brasil,S/N
40,pt,3,Federação das Indústria de Minas Gerais,S/N
43,pt,1,Sebrae SC,001/2004.
61,en,1,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE FLORIANÓPOLIS,Ongoing
61,pt,1,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE FLORIANÓPOLIS,ANDAMENTO
71,pt,1,FACISC/SEBRAE SC,
74,pt,1,GIZ - Moçambique Cooperação Alemã,9112431052
74,pt,2,GIZ - Brasil Cooperação Alemã,9112431052
74,pt,3,Nathan Association - USA,9112431052
74,pt,4,USAID - Moçambique,9112431052
74,pt,5,Banco Mundial - Moçambique,9112431052
74,pt,6,União Européia - Sede Maputo - Moçambique,9112431052
74,pt,7,CACB,9112431052
74,pt,8,Sebrae,9112431052
83,pt,1,SEBRAE RJ,0367270277
