idusuario,idlingua,cddominlingua,nuleitura,nufala,nuescrita
5,pt,es,2,2,2
5,pt,pt,5,5,5
7,pt,en,2,2,1
8,pt,es,5,4,4
9,pt,es,2,2,1
13,pt,en,5,5,4
14,pt,it,3,3,2
17,pt,pt,5,5,5
19,pt,es,1,1,1
21,pt,en,1,1,1
21,pt,es,4,1,3
21,pt,pt,5,5,5
22,pt,en,4,4,4
22,pt,es,3,3,2
22,pt,pt,5,5,5
24,es,en,4,4,4
24,es,es,5,5,5
25,pt,es,4,2,1
25,pt,pt,5,5,5
26,pt,en,5,5,5
26,pt,es,4,4,4
27,pt,pt,5,5,5
29,pt,it,3,3,1
31,pt,es,2,2,1
32,pt,en,3,2,2
32,pt,es,3,2,2
32,pt,it,3,1,1
33,pt,es,3,3,2
33,pt,pt,5,5,5
35,es,de,2,2,2
35,es,en,4,3,4
35,es,es,5,5,5
35,es,it,2,3,2
35,es,pt,5,5,5
36,pt,pt,5,5,5
38,pt,en,4,3,3
39,pt,en,4,3,4
39,pt,es,4,2,2
39,pt,fr,4,3,3
40,pt,en,4,3,2
40,pt,es,3,1,1
40,pt,fr,2,1,1
40,pt,it,3,2,1
41,pt,en,2,1,1
41,pt,es,5,5,5
43,pt,es,3,2,1
44,pt,es,5,5,5
50,pt,es,2,2,2
51,es,en,3,3,3
51,es,es,5,5,5
51,pt,en,3,3,3
51,pt,es,5,5,5
52,es,es,5,5,5
52,es,pt,5,5,4
52,pt,es,5,5,5
52,pt,pt,5,5,4
55,pt,en,4,4,4
56,es,en,3,2,2
56,es,es,4,3,3
57,es,en,4,4,4
57,es,es,5,5,5
58,pt,en,3,3,2
58,pt,es,4,4,3
59,pt,en,1,1,1
60,pt,en,5,2,2
61,en,en,5,5,5
61,en,pt,5,5,5
61,pt,en,5,5,5
61,pt,pt,5,5,5
64,pt,en,4,4,4
64,pt,es,3,3,2
64,pt,pt,5,5,5
66,pt,de,5,5,5
66,pt,en,5,4,3
66,pt,es,3,3,3
67,pt,de,2,1,2
67,pt,en,4,4,5
71,pt,es,3,2,1
73,es,es,5,5,4
74,pt,en,3,2,1
74,pt,es,4,2,1
74,pt,pt,5,5,5
75,pt,de,5,4,4
75,pt,en,3,2,2
75,pt,es,1,1,1
80,pt,de,1,1,1
80,pt,en,4,4,4
81,pt,pt,4,5,4
83,pt,es,1,1,1
85,pt,zh,3,5,1
