idusuario,idlingua,idexpprof,dtini,dtfim,dslocalidade,dsempresa,dsfuncao,dsdescri,flempratual
5,pt,1,11/2001,03/2004,Brasil/Tocantins/Araguaína,Pneulandia,Chefe de Escritorio,Gerente Administrativo/Financeiro;     Deptº. Cadastro Crédito e Cobrança,n
8,pt,1,06/2003,05/2006,Brasil/SC/Joinville,ACIJ,Consultora de Núcleos Setoriais,"- Prestar Consultoria aos Núcleos Setoriais, orientando com relação às estratégias e táticas que proporcionem competitividade às empresas participantes;  - Acompanhar, analisar e tomar medidas preventivas com relação aos indicadores com o objetivo de melhorar o Desempenho dos Núcleos Setoriais;  - Prestar Consultoria individual e/ou assessoria para as empresas associadas, de acordo com a necessidade e capacitação para a atividade.   - Moderar as reuniões, organizar as atas, listas de presenças, organização de eventos realizados por estes Núcleos e atividades diversas;  - Cumprir os procedimentos do Sistema da Qualidade",s
8,pt,2,05/2006,01/2010,Brasil/SC/Joinville,ACIJ,Coordenadora de Consultoria de Núcleos,"Coordenar os trabalhos da equipe de consultores;  - Planejar ações para melhorar o desempenho das consultorias de Núcleos Setoriais;  - Planejar a logística e resultado das reuniões do Conselho dos Núcleos;  - Analisar propostas de melhorias dos indicadores da área;  - - Aprimorar o relacionamento da área com outras áreas da Associação;  - Acompanhar as atividades junto as Entidades Parceiras (FE, FACISC, etc)  - Vistar as despesas de viagens, e outros documentos  de despesas;  - Definir ações para o desenvolvimento dos Consultores;  - Observar possibilidade de criação de novos Núcleos Setoriais  - Decidir junto a Diretoria Executiva sobre encerramento de atividade de Núcleos  - Analisar indicadores de desempenho dos Núcleos  - Definir ações que possam desenvolver/melhorar o desempenho dos Núcleos Setoriais  - Elaborar o planejamento estratégico do setor  - Auxiliar na elaboração do planejamento estratégico don setor  - Elaborar e gerenciar projetos dos núcleos para captação de recursos",s
9,pt,1,01/2005,12/2008,brasil,ahv escola de aviação ltda,coordenadora  de curso e gerente administrativo,administração em geral,n
13,en,1,12/2003,12/2009,Brazil/Goias/Itumbiara,smart consulting,Lawyer,cONSULTING AND LEGAL OFFICE. OAB/GO 25.976,s
13,pt,1,12/2003,12/2009,Brazil/Goias/Itumbiara,smart consultoria,Advogado e Consultor empresarial,PrestaÃ§Ã£o de serviÃ§os de Consultoria e Advocacia Empresarial em geral.,n
14,pt,1,07/1996,05/2005,Brasil/SP/São Paulo,Sun Chemical Offset do Brasil,Representante Comerial,"Consultor de mercado, e representante comercial na área Gráfica para empresa Sun Chemical Offset do Brasil atuando na região de Goiás, Distrito Federal e Triangulo Mineiro.",n
17,pt,1,04/2006,10/2009,BRASIL/SP/TAQUARITUBA,ASSOCIAÇÃO COMERCIAL,GERENTE EXECUTIVO,"PLANEJAMENTO DE MARKETING, PROMOÇÕES COMERCIAIS, TRABALHOS EM ASSOCIATIVISMO EMPRESARIAL, ORGANIZAÇÃO DE EVENTOS.",s
19,pt,1,03/2008,11/2009,Brasil GO Santa Helena de Goias,Universidade Estadual de Goias,Professor,"Ensino, Engenharia Agricola, Nível: Graduação.     Disciplinas ministradas  Ciência do solo  Ecologia Aplicada  Mecanica dos solos  Sistemas solo, planta e atmosfera     Ensino, Administração, Nível: Graduação.     Disciplinas ministradas  Comercio Exterior  Empreendedorismo",n
21,pt,1,08/2008,08/2010,BRASIL/SP/SÃO PAULO,FACESP,CONSULTOR REGIONAL,ACIMA DESCRITAS,s
22,pt,1,10/2002,11/2009,Brasil/PR/Maringá,Panes Consultora,Diretor,"Consultoria e assessoria a empresas nas áreas de diagnóstico empresarial, planejamento estratégico, marketing e finanças.  Palestras sobre diversos temas direcionados a empresários, colaboradores das empresas e comunidade em geral",s
22,pt,2,10/2008,11/2009,Brasil/PR/Maringá,Tangran Consultoria,Consultor,Consultoria a empresas para a implantação do sistema de gestão da qualidade (INMETRO e ISO 9001:2008),s
