idusuario,idlingua,idformacao,dsintitu,dtini,dtfim,cdtitulo,dsarea
5,pt,1,FACDO - Faculdade Católica Dom Orione,01/2006,12/2009,gradu,Administração de Empresas
5,pt,2,UFT - UNIVERSIDADE FEDERAL DO TOCANTINS,02/2000,12/2011,gradu,Ciencias Matematica
7,pt,1,FEF FACULDADE DE FERNANDOPOLIS,03/2009,07/2010,espec,GESTÃO DE PESSOAS E MARKETING
7,pt,2,FTM- FACULDADE TRIANGULO MINEIRO,01/2001,12/2007,gradu,ADMINISTRAÇAO DE EMPRESAS
8,pt,1,Univille - Universidade da Região de Joinville,02/2000,02/2004,gradu,Ciências Econômicas
9,pt,1,universidade salgado de oliveira,01/2003,01/2008,espec,civil
13,en,1,UNIT - CENTRO UNIVERSITARIO DO TRIANGULO,01/1999,12/2003,gradu,LAW
13,pt,1,UNIT - CENTRO UNIVERSITARIO DO TRIANGULO,01/1999,12/2003,gradu,DIREITO
14,pt,1,Escola Superior de Agricultura e Ciencias de Machado,02/1984,07/1988,gradu,Agronômia
14,pt,2,Centro de Ensino Superior de Catalão,03/2001,03/2002,espec,Gestão Empresárial
19,pt,1,Universidade Ferderal de Uberlandia,03/1995,08/2003,gradu,Engenharia agronomica
19,pt,2,"Universidade para o Desenvolvimento do Estado e da Região do Pantanal, UNIDERP",03/2005,11/2007,mestr,Produção e Gestão
21,pt,1,UGF - UNIVERSIDADE GAMA FILHO,07/2006,12/2007,espec,ESTRATÉGIA E GESTÃO EMPRESARIAL
22,pt,1,Universidade Estadual de Maringá,03/1993,12/1999,gradu,Administração
22,pt,2,Universidade Estadual de Maringá,03/2001,12/2003,espec,Educação
22,pt,3,Universidade Estadual de Maringá (apenas os créditos),03/2002,12/2004,mestr,Gestão de negócios
24,es,1,Fundación Álvares Penteado,01/2002,12/2004,espec,Dirección y desarrollo de personas
25,pt,1,FATI - Faculdade de Administração de Timbauba,02/1999,12/2002,gradu,Administração
26,pt,1,UNIVALI,01/2003,02/2007,gradu,Administração hab. Comércio Exterior
27,pt,1,Universidade Estadual do Maranhão,03/2002,05/2004,gradu,Administração
29,pt,1,Universidade Paulista,06/2000,06/2007,gradu,direito
31,pt,1,UNIVERSIDADE DA AMAZONIA,01/2004,01/2008,gradu,CIENCIAS CONTABEIS
32,pt,1,FESURV - Fundação do Ensino Superior de Rio Verde - GO,08/1994,07/1998,gradu,Administração
32,pt,2,FESURV,04/2006,04/2008,espec,Gestão de Pessoas
33,pt,1,FACEPAL,02/1992,12/1996,gradu,ADM.RURAL
33,pt,2,UNIOES,02/2003,12/2008,gradu,ADMISTRAÇÃO EMPRESA
33,pt,3,FACEPAL,02/1997,12/1998,espec,GERENCIAMENTO EMPRESARIAL
35,es,1,FGV - Fundacao Getulio Vargas,02/2007,03/2008,espec,Administrativa
35,es,2,FAMEG - Faculdade Metropolitana de Guaramirim,02/2002,02/2006,gradu,Arministrativa
36,pt,1,Universidade de Ribeirão Preto - UNAERP,02/1990,12/1994,gradu,Administração de Empresas
38,pt,1,UNIDESC Universidade,07/2002,07/2006,gradu,Administração
39,pt,1,Faculdade de Ciências Econômicas da Universidade Federal de Minas Gerais,06/1966,06/1971,gradu,Administração
40,pt,1,Universidade Federal de Minas Gerais - Faculdade de ciência Econômica,08/1987,02/1992,gradu,Administração
40,pt,2,Faculdades Milton Campos,08/2003,04/2009,gradu,Direito
43,pt,1,UNC - UNIVERSIDADE DO CONTESTADO,07/1990,06/2000,espec,ADMINISTRAÇÃO
43,pt,2,UNOESC,07/1999,11/2000,espec,ADMINISTRAÇÃO
44,pt,1,Universidad Interamericana de Panamá,01/2009,10/2009,espec,Gerencia de Projetos
50,pt,1,Instituto de Ensino Superior COC,01/2007,12/2010,gradu,Administração de Empresas
51,es,1,Escuela Complutense de Verano - Universidad Complutense de Madrid - España,07/2005,07/2005,espec,"Comunicación Corporativa, Publicitária y Política"
51,es,2,Fundace / USP - Ribeirão Preto,07/2001,07/2003,espec,Marketing
51,es,3,Universidad de Ribeirão Preto,02/1993,12/1996,gradu,Comunicação Social - Publicidade e Propaganda
51,pt,1,Escuela Complutense de Verano - Universidad Complutense de Madrid - Espanha,07/2005,07/2005,espec,"Comunicação Corporativa, Publicitária e Política"
51,pt,2,Fundace / USP - Ribeirão Preto,07/2001,07/2003,espec,Marketing
51,pt,3,Universidade de Ribeirão Preto,02/1993,12/1996,gradu,Comunicação Social - Publicidade e Propaganda
52,es,1,Universidad de Antioquia,03/2003,07/2007,gradu,Comunicación Social - Periodismo
52,es,2,Secretaria Especial dos Direitos Humanos da Presidência da República. Brasil,10/2008,02/2009,espec,Curso: Derechos Humanos y resolución de conflictos
52,es,3,Servicio Nacional de Aprendizaje SENA. Colombia. 2008,02/2008,04/2008,espec,Curso ZEstrategias pedagógicas para el desarrollo del pensamiento
