id,id_diagnostico,id_quesito,id_usuario,nota,peso,nota_ponderada,comentario,data,evidencia,id_anexo_evidencia
53,10,26,22895523053,2,1,2,,2023-05-16 19:02:14.201549,,
54,10,27,22895523053,2,1,2,,2023-05-16 19:02:14.264522,,
55,10,28,22895523053,2,1,2,,2023-05-16 19:02:14.319687,,
56,10,29,22895523053,2,1,2,,2023-05-16 19:02:14.373807,,
57,10,30,22895523053,2,1,2,,2023-05-16 19:02:14.426228,,
58,10,49,22895523053,2,1,2,,2023-05-16 19:02:14.478073,,
65,10,76,22895523053,2,1,2,,2023-05-16 19:02:45.357704,,
66,10,77,22895523053,2,1,2,,2023-05-16 19:02:45.407487,,
67,10,78,22895523053,2,1,2,,2023-05-16 19:02:45.45217,,
68,10,79,22895523053,2,1,2,,2023-05-16 19:02:45.504157,,
76,10,108,22895523053,2,1,2,,2023-05-16 19:03:15.808776,,
77,10,109,22895523053,2,1,2,,2023-05-16 19:03:15.864567,,
80,10,112,22895523053,2,1,2,,2023-05-16 19:03:29.430227,,
92,12,70,22895523053,1,1,1,,2023-05-16 19:05:53.328173,,
93,12,71,22895523053,1,1,1,,2023-05-16 19:05:53.372979,,
94,12,72,22895523053,1,1,1,,2023-05-16 19:05:53.413926,,
95,12,73,22895523053,1,1,1,,2023-05-16 19:05:53.459381,,
96,12,74,22895523053,1,1,1,,2023-05-16 19:05:53.508334,,
97,12,75,22895523053,1,1,1,,2023-05-16 19:05:53.558512,,
102,12,89,22895523053,1,1,1,,2023-05-16 19:06:16.472719,,
103,12,90,22895523053,1,1,1,,2023-05-16 19:06:16.518808,,
109,12,108,22895523053,1,1,1,,2023-05-16 19:06:42.70693,,
113,12,112,22895523053,1,1,1,,2023-05-16 19:06:55.544077,,
82,12,2,22895523053,3,1,0,,2023-05-16 19:05:13.249181,,
83,12,14,22895523053,3,1,0,,2023-05-16 19:05:13.29683,,
84,12,15,22895523053,3,1,0,,2023-05-16 19:05:13.345651,,
85,12,16,22895523053,3,1,0,,2023-05-16 19:05:13.38928,,
110,12,109,22895523053,2,1,0,,2023-05-16 19:06:42.759368,,
121,14,108,22895523053,1,1,1,,2023-05-16 20:01:43.390491,,
122,14,109,22895523053,1,1,1,,2023-05-16 20:01:43.448066,,
124,14,1,22895523053,,1,,,2023-05-17 11:38:39.336161,Teste de arquivo de evidência,3446
59,10,70,22895523053,2,1,2,,2023-05-16 19:02:28.59141,,
60,10,71,22895523053,2,1,2,,2023-05-16 19:02:28.679012,,
61,10,72,22895523053,2,1,2,,2023-05-16 19:02:28.732943,,
62,10,73,22895523053,2,1,2,,2023-05-16 19:02:28.784048,,
63,10,74,22895523053,2,1,2,,2023-05-16 19:02:28.831762,,
64,10,75,22895523053,2,1,2,,2023-05-16 19:02:28.884304,,
69,10,89,22895523053,2,1,2,,2023-05-16 19:03:07.085667,,
70,10,90,22895523053,2,1,2,,2023-05-16 19:03:07.139211,,
71,10,91,22895523053,2,1,2,,2023-05-16 19:03:07.184392,,
72,10,92,22895523053,2,1,2,,2023-05-16 19:03:07.233603,,
73,10,93,22895523053,2,1,2,,2023-05-16 19:03:07.284271,,
74,10,94,22895523053,2,1,2,,2023-05-16 19:03:07.331591,,
75,10,95,22895523053,2,1,2,,2023-05-16 19:03:07.378543,,
78,10,110,22895523053,2,1,2,,2023-05-16 19:03:22.847181,,
79,10,111,22895523053,2,1,2,,2023-05-16 19:03:22.914356,,
86,12,26,22895523053,1,1,1,,2023-05-16 19:05:35.681464,,
87,12,27,22895523053,1,1,1,,2023-05-16 19:05:35.728223,,
88,12,28,22895523053,1,1,1,,2023-05-16 19:05:35.784028,,
89,12,29,22895523053,1,1,1,,2023-05-16 19:05:35.830569,,
90,12,30,22895523053,1,1,1,,2023-05-16 19:05:35.881638,,
91,12,49,22895523053,1,1,1,,2023-05-16 19:05:35.928822,,
98,12,76,22895523053,1,1,1,,2023-05-16 19:06:05.316393,,
99,12,77,22895523053,1,1,1,,2023-05-16 19:06:05.358618,,
100,12,78,22895523053,1,1,1,,2023-05-16 19:06:05.401535,,
101,12,79,22895523053,1,1,1,,2023-05-16 19:06:05.451031,,
104,12,91,22895523053,1,1,1,,2023-05-16 19:06:35.566936,,
105,12,92,22895523053,1,1,1,,2023-05-16 19:06:35.611488,,
106,12,93,22895523053,1,1,1,,2023-05-16 19:06:35.657451,,
107,12,94,22895523053,1,1,1,,2023-05-16 19:06:35.702573,,
108,12,95,22895523053,1,1,1,,2023-05-16 19:06:35.748413,,
111,12,110,22895523053,1,1,1,,2023-05-16 19:06:49.482992,,
112,12,111,22895523053,1,1,1,,2023-05-16 19:06:49.529712,,
81,12,1,22895523053,3,1,0,,2023-05-16 19:04:49.910046,,
114,14,89,22895523053,1,1,1,,2023-05-16 19:15:41.594179,,
115,14,90,22895523053,1,1,1,,2023-05-16 19:15:41.643027,,
116,14,91,22895523053,1,1,1,,2023-05-16 19:15:41.683322,,
117,14,92,22895523053,1,1,1,,2023-05-16 19:15:41.724787,,
118,14,93,22895523053,1,1,1,,2023-05-16 19:15:41.767183,,
119,14,94,22895523053,1,1,1,,2023-05-16 19:15:41.810395,,
120,14,95,22895523053,1,1,1,,2023-05-16 19:15:41.850519,,
123,14,76,22895523053,1,1,1,,2023-05-17 11:37:32.431884,,
125,15,1,22895523053,2,1,2,,2023-05-17 11:59:10.041134,,
48,10,1,22895523053,2,1,2,,2023-05-16 19:01:57.898727,,
49,10,2,22895523053,2,1,2,,2023-05-16 19:01:57.960153,,
50,10,14,22895523053,2,1,2,,2023-05-16 19:01:58.01131,,
51,10,15,22895523053,2,1,2,,2023-05-16 19:01:58.066011,,
52,10,16,22895523053,2,1,2,,2023-05-16 19:01:58.119581,,
