id,grupo,id_anexo,versao,status_doc,referencia,id_recurso
3,PDE - Interno,803,1,1,Sem referência,194
7,E - Normas internas,807,1,1,Sem referência,195
10,Empreender,816,1,1,Sem referência,0
11,Portal do Empreender,817,1,0,Sem referência,0
12,Portal do Empreender,818,1,1,Sem referência,0
18,Portal do Empreender,832,1.0,1,preferencias,0
21,PDE - Interno,861,1,1,Sem referência,195
22,PDE - Interno,862,1,1,faq interno,195
25,Empreender,908,1,1,Sem referência,0
26,Empreender,939,1.1,0,Manual do Empreender atualizado.,0
27,Empreender,940,1,0,Redes de empresariais de negócio,0
28,Empreender,941,1,0,Redes de empresariais de negócio,0
29,Empreender,942,1,0,Redes de empresariais de negócio,0
30,Empreender,943,1,0,Redes de empresariais de negócio,0
31,Empreender,944,1,0,Redes de empresariais de negócio,0
32,Empreender,945,1,0,Gestão de ACEs,0
33,Empreender,946,1,0,Gestão de ACEs,0
34,Empreender,947,1,0,Gestão de ACEs,0
35,Empreender,948,1,0,Gestão de ACEs,0
36,Prêmio Empreender 2021,949,08 07 2022,1,Empreender,0
37,Prêmio Empreender 2021,950,1,1,premio21_edital,0
40,Prêmio Empreender 2021,1076,1,1,Sem referência,0
41,Prêmio Empreender 2021,1130,1,1,Sem referência,0
42,Prêmio Empreender 2021,1138,1,1,Sem referência,0
44,Portal do Empreender,1242,1.1,0,Sem referência,0
46,Portal do Empreender,1392,2,1,anotacao,0
47,Portal do Empreender,1458,03 11 2021,0,cad_usuario,0
48,PDE - Interno,1583,1,1,,122
49,Portal do Empreender,1713,1,1,,0
82,Portal do Empreender,1747,1,1,,0
83,PDE - Interno,2065,1,1,,195
84,Portal do Empreender,2067,22 04 2022,1,Sem referência,0
85,Normas Sebrae,2072,1,1,,0
86,Portal do Empreender,2073,1,1,,0
87,Documentação,2076,1,0,,0
88,Documentação,2077,1,0,,0
89,Empreender,2079,1,1,,0
90,E - Normas internas,2083,29 03 2022,0,,195
91,E - Normas internas,2084,1,1,,195
92,E - Normas internas,2085,1,0,,195
93,Normas Sebrae,2095,1,1,,0
94,Normas Sebrae,2096,1,1,,0
95,E2022 - Apoio a demandas,2097,1,1,planilha_custo_e2022,0
96,E2022 - Apoio a demandas,2098,1,1,modelo_proposta_e2022,0
97,E2022 - Apoio a demandas,2099,1,1,chamada_proposta_e2022,0
98,E2022 - Apoio a demandas,2134,1,0,ajuda_inclusao_proposta,0
99,E2022 - Apoio a demandas,2135,08 07 2022,1,,0
100,Portal do Empreender,2173,1.0,1,lista_projetos,0
101,E2022 - Apoio a demandas,2177,Única,1,avisos_importantes,0
102,E - Normas internas,2532,21 09 2022,0,,195
103,E - Normas internas,2590,11 10 2022,1,,0
104,E2022 - Apoio a demandas,2692,28 11 22,0,,195
105,E2022 - Estados e Munícipios,2807,0,1,modelo_proposta_docx_enem,0
106,E2022 - Estados e Munícipios,2808,2,1,avisos_importantes_enem,0
108,E2022 - Estados e Munícipios,2829,1,1,chamada_proposta_e2022_enem,0
109,E2022 - Estados e Munícipios,2841,1,1,,0
110,Termo de uso,2882,16 12 2022,0,,0
111,E - Normas internas,2949,06 01 2023,1,,0
112,Portal do Empreender,2988,20 01 2023,1,,0
113,PDE - Interno,3151,1,1,,0
116,Portal do Empreender,3165,1,1,cad_usuario,0
117,E2022 - Apoio a demandas,3214,16 02 2023,1,,195
150,Concurso,3335,1,1,manifestacao_interesse_alinvest,0
151,Concurso,3336,1,1,avisos_importantes_alinvest,0
152,AL Invest Verde,3337,1,1,planilha_alinvest,0
153,E2022 - Apoio a demandas,3398,1,1,,0
154,E2022 - Apoio a demandas,3427,1,1,,0
801,Normas Sebrae,801,1,1,Sem referência,0
804,E - Normas internas,804,1,1,Sem referência,195
805,Normas Sebrae,805,1,1,Sem referência,0
806,Portal do Empreender,806,1,1,Núcleos - Mensagens,0
808,Empreender,808,1,1,Sem referência,0
830,Portal do Empreender,830,1.0,0,documentos,0
831,PDE - Interno,831,1.0,1,documentacao_adici,195
833,Portal do Empreender,833,1,1,lista de núcleos,0
855,Portal do Empreender,855,1,0,Sem referência,0
