id,idempresa,origem
107439,55456,CEF
107440,55457,CEF
107441,55461,CEF
107442,54166,CEF
107443,55528,CEF
107444,55464,CEF
107445,55530,CEF
107446,55465,CEF
107447,55532,CEF
107448,55469,CEF
107449,55536,CEF
107450,55529,CEF
107451,55471,CEF
107452,55539,CEF
107453,55531,CEF
107454,55474,CEF
107455,55544,CEF
107456,55533,CEF
107457,55476,CEF
107458,55547,CEF
107459,55535,CEF
107460,55478,CEF
107461,55550,CEF
107462,55537,CEF
107463,55479,CEF
107464,55557,CEF
107465,55541,CEF
107466,55480,CEF
107467,55559,CEF
107468,55543,CEF
107469,55481,CEF
107470,55560,CEF
107471,55546,CEF
107472,55483,CEF
107473,55560,CEF
107474,55549,CEF
107475,55485,CEF
107476,55563,CEF
107477,55551,CEF
107478,55566,CEF
107479,55487,CEF
107480,55553,CEF
107481,55568,CEF
107482,55489,CEF
107483,55555,CEF
107484,55572,CEF
107485,55490,CEF
107486,55561,CEF
107487,55575,CEF
107488,55534,CEF
107489,55564,CEF
107490,55578,CEF
107491,55538,CEF
107492,55567,CEF
107493,55580,CEF
107494,55540,CEF
107495,55569,CEF
107496,55582,CEF
107497,55542,CEF
107498,55571,CEF
107499,55584,CEF
107500,55545,CEF
107501,55574,CEF
107502,55590,CEF
107503,55548,CEF
107504,55576,CEF
107505,55591,CEF
107506,55552,CEF
107507,55579,CEF
107508,55593,CEF
107509,55554,CEF
107510,55583,CEF
107511,55596,CEF
107512,55556,CEF
107513,55586,CEF
107514,39174,CEF
107515,55558,CEF
107516,55589,CEF
107517,36024,CEF
107518,55562,CEF
107519,55589,CEF
107520,55599,CEF
107521,55565,CEF
107522,55592,CEF
107523,55602,CEF
107524,55570,CEF
107525,55598,CEF
107526,55604,CEF
107527,55573,CEF
107528,55600,CEF
107529,55607,CEF
107530,55577,CEF
107531,55603,CEF
107532,55608,CEF
107533,55581,CEF
107534,55606,CEF
107535,55611,CEF
107536,55585,CEF
107537,55609,CEF
107538,55615,CEF
107539,55587,CEF
107540,55612,CEF
107541,55619,CEF
107542,55588,CEF
107543,55614,CEF
107544,55621,CEF
107545,55594,CEF
107546,55618,CEF
107547,55624,CEF
107548,55595,CEF
107549,55620,CEF
107550,55627,CEF
107551,55597,CEF
107552,55623,CEF
107553,55630,CEF
107554,55601,CEF
107555,55625,CEF
107556,55632,CEF
107557,55628,CEF
107558,55605,CEF
107559,55635,CEF
107560,55629,CEF
107561,55610,CEF
107562,55637,CEF
107563,55633,CEF
107564,32313,CEF
107565,55639,CEF
107566,55633,CEF
107567,55613,CEF
107568,55643,CEF
107569,55634,CEF
107570,55616,CEF
107571,55646,CEF
107572,55634,CEF
107573,55617,CEF
107574,55649,CEF
107575,55636,CEF
107576,55622,CEF
107577,55652,CEF
107578,55638,CEF
107579,55626,CEF
107580,55655,CEF
107581,55640,CEF
107582,55631,CEF
107583,55658,CEF
107584,55642,CEF
107585,55641,CEF
107586,55662,CEF
107587,55644,CEF
107588,55641,CEF
107589,55666,CEF
107590,55648,CEF
107591,55645,CEF
107592,55669,CEF
107593,55650,CEF
107594,55647,CEF
107595,37448,CEF
107596,55653,CEF
107597,55651,CEF
107598,55673,CEF
107599,55656,CEF
107600,55654,CEF
107601,55675,CEF
107602,55656,CEF
107603,55657,CEF
107604,55678,CEF
107605,55659,CEF
107606,55660,CEF
107607,55683,CEF
107608,55661,CEF
107609,55663,CEF
107610,55685,CEF
107611,55664,CEF
107612,55665,CEF
107613,55688,CEF
107614,55668,CEF
107615,55667,CEF
107616,55691,CEF
107617,55671,CEF
107618,55670,CEF
107619,55695,CEF
107620,55674,CEF
107621,55672,CEF
107622,55696,CEF
107623,55676,CEF
107624,55677,CEF
107625,55698,CEF
107626,55680,CEF
107627,55679,CEF
107628,55702,CEF
107629,55682,CEF
107630,55681,CEF
107631,55705,CEF
107632,55687,CEF
107633,55684,CEF
107634,55705,CEF
107635,55690,CEF
107636,55686,CEF
107637,55708,CEF
107638,55693,CEF
107639,55689,CEF
107640,55712,CEF
107641,55699,CEF
107642,55692,CEF
107643,55714,CEF
107644,55701,CEF
107645,55694,CEF
107646,33412,CEF
107647,55704,CEF
107648,32284,CEF
107649,55717,CEF
107650,55707,CEF
107651,55697,CEF
107652,55719,CEF
107653,55709,CEF
107654,55700,CEF
107655,55722,CEF
107656,55711,CEF
107657,55703,CEF
107658,55723,CEF
107659,55713,CEF
107660,55706,CEF
107661,55724,CEF
107662,55713,CEF
107663,55710,CEF
107664,55726,CEF
107665,55716,CEF
107666,55715,CEF
107667,55727,CEF
107668,55718,CEF
107669,55720,CEF
107670,55730,CEF
107671,55718,CEF
107672,55731,CEF
107673,55732,CEF
107674,55721,CEF
107675,55735,CEF
107676,55734,CEF
107677,55725,CEF
107678,55738,CEF
107679,55739,CEF
107680,55728,CEF
107681,55740,CEF
107682,55744,CEF
107683,55729,CEF
107684,55743,CEF
107685,55748,CEF
107686,55733,CEF
107687,55745,CEF
107688,55751,CEF
107689,55736,CEF
107690,55749,CEF
107691,55753,CEF
107692,55737,CEF
107693,55752,CEF
107694,55754,CEF
107695,55741,CEF
107696,55755,CEF
107697,33099,CEF
107698,55742,CEF
107699,55757,CEF
107700,55758,CEF
107701,55746,CEF
107702,55760,CEF
107703,55761,CEF
107704,55747,CEF
107705,55764,CEF
107706,55765,CEF
107707,55750,CEF
107708,55767,CEF
107709,55766,CEF
107710,55756,CEF
107711,55769,CEF
107712,55772,CEF
107713,55759,CEF
107714,55771,CEF
107715,55776,CEF
107716,55762,CEF
107717,55782,CEF
107718,55778,CEF
107719,55763,CEF
107720,55784,CEF
107721,55780,CEF
107722,55768,CEF
107723,55787,CEF
107724,55785,CEF
107725,55768,CEF
107726,55788,CEF
107727,55791,CEF
107728,55770,CEF
107729,55790,CEF
107730,55794,CEF
