idfaq,cdsistema,cdmodulo,txpergunta,txresposta,dtcadastro,flativo,nuordem
2,Empreender Competitivo,Acompanhamento técnico,Podem ser realizadas contratações de pessoas físicas? Essas pessoas podem ser pagas com RPA? Dentre orçamentos de pessoas jurídicas pode haver orçamentos de pessoas físicas?,"Sim, podem ser realizadas contratações de pessoas físicas, porém, nesse caso, somente poderá ser feito com recursos de contrapartida.",2017-09-04,N,4
3,Empreender Competitivo,Acompanhamento técnico,Os projetos podem devolver recursos?,"Sim, podem. Basta devolver os recursos não utilizados ao final do projeto.
 A situação ideal é que os recursos sejam consumidos em sua totalidade nas ações previstas do projeto.",2017-09-04,N,2
4,Empreender Competitivo,Acompanhamento técnico,É possível alterar as datas de realização das ações?,"Sim, é possível. As novas datas devem estar compreendidas entre o início e o fim do projeto.",2017-08-17,N,3
5,Empreender Competitivo,Acompanhamento técnico,É possível alterar as ações do projeto?,"Sim, é possível",2017-09-04,N,7
6,Empreender Competitivo,Acompanhamento técnico,Como proceder para alterar a data de realização das ações ou as ações do projetos?,"A entidade proponente deve encaminhar a solicitação à CACB que irá avaliar a possibilidade de se atender a demanda. O consultor, no momento da visita, pode avaliar e, quando couber, solicitar o encaminhamento da solicitação à CACB.",2017-09-04,N,8
7,Empreender Competitivo,Acompanhamento técnico,Os projetos podem ter uma contrapartida superior à aprovada?,Sim. Desde que obedeça o valor da contrapartida financeira. Não é necessário solicitar à CACB qualquer tipo de alteração.,2015-03-04,N,9
8,Empreender Competitivo,Acompanhamento técnico,São aplicadas as normas do SEBRAE na utilização dos recursos da contrapartida?,Não. Deve-se atentar para a correta aplicação do recurso. Um projeto que prevê missões no Brasil não pode conter despesas referentes à uma viagem internacional mesmo que com recursos da contrapartida.,2018-05-10,N,23
9,Empreender Competitivo,Acompanhamento técnico,Como fica a contrapartida em caso de inexecução física de uma ou mais ações ou execução parcial física e financeira do projeto?,"Em qualquer um dos casos,  o valor da contrapartida deve ser proporcional ao valor aprovado no projeto. Por exemplo, se a proposta possui uma contrapartida de 50%, a execução parcial física ou financeira deve atentar para uma contrapartida de igual proporção. Os projetos que tiverem uma ou mais ações canceladas podem reduzir a contrapartida de forma proporcional.",2017-09-04,N,6
10,Empreender Competitivo,Acompanhamento técnico,Quais os dados devem ser contemplados na lista de presença do  Núcleo Setorial?,"Para a inclusão de informações obrigatórias no sistema Siacweb do SEBRAE são necessárias informações como: CPF, nome completo, endereço completo (inclusive com cep e bairro),telefone ( residencial, comercial e celular), sexo , data de nascimento . Estas informações necessárias podem ser verificadas na imagem em anexo.

       Sugere-se que seja realizado um cadastro dos participantes potenciais para quaisquer eventos de atendimento com estas informações . Com isto as listas de presença podem ser simplificadas desde que se contenham estas informações.",2017-08-17,N,1
11,PrestContas,Parcelas,Contrapartida econômica -  O que pode ser contabilizado como contrapartida econômica?,"Segundo as informações dadas na 1º Oficina de Gestão do EC, realizada entre outubro e novembro de 2013, “Os recursos econômicos são aqueles representados por bens, serviços ou mão de obra disponibilizada pelos empresários, ACE, Federação ou parceiros para viabilizar a execução de ações do projeto”.

Seguem alguns exemplos de contrapartidas econômicas: disponibilização de salas para reuniões, projetor, tela de projeção, telefone, internet, maquinário, mão de obra como assessor de comunicação ou qualquer outro funcionário da associação, espaços em mídias (páginas em jornal, spots em rádio, panfletos, matérias em telejornais, internet e afins) e demais recursos não financeiros.

Para a comprovação da contrapartida econômica devem ser apresentadas declarações por parte da entidade parceira informando a unidade de recursos utilizados, o valor unitário e total, o período de uso dos bens ou serviços e a assinatura do responsável legal. Ainda, podem ser anexadas comprovantes de despesas efetuados pelo parceiro cujos recursos não foram depositados na conta do convênio",2017-09-04,N,10
12,PrestContas,Ações,É possível se remanejar valores entre as ações? Qual é o procedimento?,"O remanejamento de recursos entre as atividades previstas e aprovadas no projeto somente poderá ser feita mediante autorização expressa da CACB. A entidade proponente deverá enviar um comunicado à CACB, que após a avaliação irá deferir ou indeferir a solicitação.",2017-09-04,N,5
13,Empreender Competitivo,Planos de Ação,Pode ser contratado MEI? Há alguma orientação específica para este tipo de contratação?,"Não há nenhum restrição quanto à contratação do MEI. Aliás, ele foi criado com este objetivo. Por outro lado, deve-se atentar para o cumprimento da contratação de serviços e produtos definidos nas normas.",2017-09-04,N,11
14,Empreender Competitivo,Planos de Ação,Para contratações do Sebrae Estadual é necessário a apresentação de 03 orçamentos?,"A instrução normativa não faz nenhuma menção à contratação do SEBRAE. Assim, deve haver três propostas, exceto nos casos de exclusividade na realização do serviço:  EMPRETEC, Feira do Empreendedor e outros serviços específicos.",2017-09-04,N,12
15,PrestContas,Parcelas,Em que casos são permitidos reembolso para a ACI?,O projeto não prevê reembolsos. Os recursos devem ser aplicados com previstos no plano de trabalho aprovado.,2017-09-04,N,13
