id,tipogestor,idrecurso,flativo,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao
1,federacao,6,S,2020-03-25 16:05:01,,2020-03-25 16:05:01,
2,federacao,7,S,2020-03-25 16:05:01,,2020-03-25 16:05:01,
3,federacao,10,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
4,federacao,22,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
5,federacao,23,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
6,federacao,24,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
7,federacao,26,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
8,federacao,30,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
9,federacao,31,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
10,federacao,36,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
11,federacao,45,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
12,federacao,48,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
13,federacao,72,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
14,federacao,73,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
15,federacao,76,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
16,federacao,81,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
17,federacao,82,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
18,federacao,83,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
19,federacao,85,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
20,federacao,100,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
21,federacao,103,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
22,federacao,104,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
23,federacao,105,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
24,associacao,7,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
26,associacao,22,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
27,associacao,23,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
28,associacao,24,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
29,associacao,26,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
30,associacao,30,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
