id,nome,descricao,ativo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2,Despesa não contemplada no projeto,,false,2018-03-19 08:51:31,nmabeck,2022-03-14 17:06:30,nmabeck
4,Arquivo em anexo vazio,,false,2018-03-19 08:52:56,nmabeck,2019-01-28 13:54:37,renato.rossi
5,Fonte do recurso incorreta,,false,2018-03-19 08:53:23,nmabeck,2019-01-28 13:57:13,nmabeck
6,Ausência de documentos comprobatórios,,false,2018-03-19 08:53:50,nmabeck,2022-03-14 16:58:19,nmabeck
7,Documento anexado não se refere ao lançamento,,false,2018-03-19 08:54:17,nmabeck,2022-03-14 17:01:04,nmabeck
8,Ausência de assinatura no documento,,false,2018-03-19 08:54:39,nmabeck,2019-01-28 13:56:49,nmabeck
9,Valor do lançamento ultrapassou o valor estabelecido no projeto,,false,2018-03-19 08:55:06,nmabeck,2022-03-14 17:10:22,nmabeck
10,Lançamento devolvido a pedido da entidade,,true,2018-03-19 08:57:54,nmabeck,2018-03-19 08:57:54,nmabeck
11,Documento já aprovado em outro lançamento,,true,2018-03-19 09:04:19,nmabeck,2022-03-14 17:08:06,nmabeck
12,Documentação apresenta valores/datas inconsistentes,,false,2018-03-19 09:04:52,nmabeck,2022-03-14 17:00:21,nmabeck
13,Despesa efetuada fora da vigência do convênio,,false,2018-03-19 09:14:23,nmabeck,2022-03-14 17:05:39,nmabeck
14,Arquivo danificado,,false,2018-03-19 09:14:57,nmabeck,2022-03-14 16:55:39,nmabeck
15,Documentos ilegíveis,,false,2018-03-19 09:16:10,nmabeck,2022-03-14 16:58:49,nmabeck
16,Valor do lançamento incorreto,,false,2018-03-19 09:16:24,nmabeck,2022-03-14 17:20:19,nmabeck
17,Ajuste financeiro do projeto,,false,2018-03-19 12:16:26,nmabeck,2022-03-14 17:11:47,nmabeck
19,Documento apresenta informações incompletas,,false,2018-03-29 10:35:20,nmabeck,2022-03-14 17:02:19,nmabeck
20,Lançamento engloba vários meses,,false,2018-04-05 13:16:04,nmabeck,2019-01-28 13:55:20,nmabeck
21,Documento em duplicidade,,false,2018-04-19 15:36:09,patriciarego,2022-03-14 17:15:36,nmabeck
22,Excluir lançamento,,false,2018-08-14 10:06:47,nmabeck,2022-03-14 17:16:28,nmabeck
23,Ausência de comprovação do depósito de contrapartida financeira,"Esta comprovação é feita pelo envio mensal do extrato da conta exclusiva, digitalizado e registrado no Portal Empreender.",false,2018-08-14 15:25:27,patriciarego,2022-03-14 17:12:29,nmabeck
24,Participação de empresa  que não integra o grupo de empresas beneficiárias do projeto,Excluir ou Justificar participação,false,2018-10-19 11:14:35,patriciarego,2022-03-14 17:18:29,nmabeck
25,Ratear o valor do lançamento entre Recurso CACB e Contrapartida Financeira,,false,2019-01-28 13:58:51,nmabeck,2022-03-14 17:19:15,nmabeck
26,Documento apresenta informações incorretas,,false,2019-02-27 10:28:24,nmabeck,2022-03-14 17:15:05,nmabeck
27,Sistema em Manutenção,Dificuldade temporária com os sistema.,false,2019-05-24 15:47:14,patriciarego,2022-03-14 17:19:41,nmabeck
