id,cnpj,idassociacao,porcento_mulheres,pagantes_servico,pagantes_comercio,pagantes_industria,pagantes_agro,pagantes_liberal,pagantes_mei,pagantes_outros,atividade_economica,area_comercial,vendedores_atuantes,certificado_origem,certificado_digital,servico_analise_credito,servico_intermediacao_estagio,servico_concessao_credito,carta_exclusividade,plano_saude,camara_mediacao,faculdade_comercio,aluguel_salas,conselho_comites,sede_associacao,condicao_sede,taxa_associativismo_min,taxa_associativismo_max,faturamento_produtos_servicos,faturamento_taxa_associativismo,data_atualizacao
100,01923291000152,3374,de 26 a 50%,0,50,0,0,0,0,0,Comério e Serviço,Não,Não há vendedor.,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede/Sala Alugada,otimo,0,135,até 25%,de 26 a 50%,2023-04-05 05:36:31.448034
101,28783217000134,11816,de 51 a 75%,0,28,0,0,0,2,0,Agronegócio,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não tem,Sede/Sala Alugada,Prédio conservado,0,30,de 76 a 100%,até 25%,2023-04-05 05:36:31.459867
102,06008847000107,11003,de 0 a 25%,0,20,2,0,0,0,0,Indústria,Não,de 1 a 3 vendedores,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não tem,Sede Própria,Espaço pequeno para escritório,0,70,até 25%,de 51 a 75%,2023-04-05 05:36:31.470365
103,64612104000130,2766,Não possuem a informação,0,32,0,0,0,0,0,Não possuem a informação,Não,Não há vendedor.,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 100 PESSOAS, POSSUI SALA REUNIÃO PARA 100 PESSOAS, POSSUI SALA TREINAMENTO PARA 100 PESSOAS,",0,49,até 25%,Não informado,2023-04-05 05:36:31.48782
104,45745551000112,1875,Não possuem a informação,0,207,1,1,0,11,1,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 50 PESSOAS, POSSUI SALA REUNIÃO PARA 50 PESSOAS, POSSUI SALA TREINAMENTO PARA 50 PESSOAS,",1,48,até 25%,Não informado,2023-04-05 05:36:31.499099
105,05495654000157,11415,Não possuem a informação,0,12,0,0,0,2,0,Não possuem a informação,Não,Não há vendedor.,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não tem,Não informado,"NÃO POSSUI AUDITORIO, NÃO POSSUI SALA REUNIAO, NÃO POSSUI SALA TREINAMENTO.",0,38,até 25%,de 76 a 100%,2023-04-05 05:36:31.509174
106,02276749000191,11910,de 51 a 75%,150,255,80,35,50,120,0,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Da Mulher,Sede Própria,"Prédio é de 02 pisos, sendo o piso inferior com salas alugadas para prefeitura municipal que instalou a sala do empreendedor; já no piso superior possui sala administrativa, câmara de mediação e arbitragem, auditório para 120 pessoas, salas de treinamento e coworking. O prédio foi totalmente revitalizado/reformado recentemente.",35,350,até 25%,de 51 a 75%,2023-04-05 05:36:31.519887
107,51082659000175,11420,Não possuem a informação,150,330,5,0,0,10,6,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Sim,NÃO,Sim,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 200 PESSOAS, POSSUI SALA REUNIÃO PARA 70 PESSOAS, POSSUI SALA TREINAMENTO PARA 70 PESSOAS,",0,40,DE 51 A 75%,Não informado,2023-04-05 05:36:31.535008
108,49704927000100,11346,Não possuem a informação,151,280,10,4,0,14,33,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 120 PESSOAS, POSSUI SALA REUNIÃO PARA 10 PESSOAS, POSSUI SALA TREINAMENTO PARA 60 PESSOAS,",4,85,DE 26 A 50%,Não informado,2023-04-05 05:36:31.545982
109,55859425000142,3236,Não possuem a informação,153,324,31,42,0,29,34,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 80 PESSOAS, POSSUI SALA REUNIÃO PARA 20 PESSOAS, POSSUI SALA TREINAMENTO PARA 50 PESSOAS,",42,80,DE 51 A 75%,Não informado,2023-04-05 05:36:31.556103
