id,idperfil_clone,idrecurso,flativo,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao,nmperfil,cod_perfil
1,mastr,1,S,2020-03-23 12:55:01,,2020-03-23 12:55:01,,Master,1
2,mastr,2,S,2020-03-23 12:55:01,,2020-03-23 12:55:01,,Master,1
3,mastr,3,S,2020-03-23 12:55:01,,2020-03-23 12:55:01,,Master,1
4,mastr,4,S,2020-03-23 12:55:01,,2020-03-23 12:55:01,,Master,1
5,mastr,5,S,2020-03-23 12:55:01,,2020-03-23 12:55:01,,Master,1
6,mastr,6,S,2020-03-23 12:55:01,,2020-03-23 12:55:01,,Master,1
7,mastr,7,S,2020-03-23 12:55:01,,2020-03-23 12:55:01,,Master,1
8,mastr,8,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
9,mastr,9,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
10,mastr,10,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
11,mastr,11,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
12,mastr,12,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
13,mastr,13,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
14,mastr,14,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
15,mastr,15,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
16,mastr,16,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
17,mastr,17,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
18,mastr,18,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
19,mastr,19,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
20,mastr,20,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
21,mastr,21,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
22,mastr,22,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
23,mastr,23,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
24,mastr,24,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
25,mastr,25,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
26,mastr,26,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
27,mastr,27,S,2020-03-23 12:55:02,,2020-03-23 12:55:02,,Master,1
