id_pj_base,id_projeto,grupo,edicao,dimensao,indice
189,1001,MEG,T0,Índice MEG,"64,5"
189,1002,MEG,T0,Índice MEG,"75,38"
189,1007,MEG,T0,Índice MEG,"70,02"
189,1036,MEG,T0,Índice MEG,"64,02"
189,1037,MEG,T0,Índice MEG,"61,94"
189,1052,MEG,T0,Índice MEG,"54,05"
189,1059,MEG,T0,Índice MEG,"70,69"
189,1061,MEG,T0,Índice MEG,"75,15"
189,1062,MEG,T0,Índice MEG,"73,87"
189,1065,MEG,T0,Índice MEG,"57,53"
189,1066,MEG,T0,Índice MEG,"75,93"
189,1067,MEG,T0,Índice MEG,"40,2"
189,1070,MEG,T0,Índice MEG,"65,84"
189,1075,MEG,T0,Índice MEG,"72,02"
189,1080,MEG,T0,Índice MEG,"61,36"
189,1081,MEG,T0,Índice MEG,"59,77"
189,1082,MEG,T0,Índice MEG,"74,49"
189,1087,MEG,T0,Índice MEG,"59,01"
189,1089,MEG,T0,Índice MEG,"71,71"
189,1091,MEG,T0,Índice MEG,"66,47"
189,1092,MEG,T0,Índice MEG,"65,44"
189,1096,MEG,T0,Índice MEG,"64,87"
189,1098,MEG,T0,Índice MEG,"54,39"
189,1101,MEG,T0,Índice MEG,"65,59"
189,1112,MEG,T0,Índice MEG,"78,6"
189,1113,MEG,T0,Índice MEG,"66,44"
189,1118,MEG,T0,Índice MEG,"54,65"
189,1125,MEG,T0,Índice MEG,"80,07"
189,1129,MEG,T0,Índice MEG,"62,28"
189,1133,MEG,T0,Índice MEG,"67,01"
189,1136,MEG,T0,Índice MEG,"51,74"
189,1137,MEG,T0,Índice MEG,"61,53"
189,1138,MEG,T0,Índice MEG,"63,14"
189,1150,MEG,T0,Índice MEG,"74,83"
189,1151,MEG,T0,Índice MEG,"78,9"
189,1155,MEG,T0,Índice MEG,"64,19"
189,1158,MEG,T0,Índice MEG,"80,07"
189,1161,MEG,T0,Índice MEG,"59,27"
189,1162,MEG,T0,Índice MEG,"66,44"
189,1166,MEG,T0,Índice MEG,"60,41"
189,1170,MEG,T0,Índice MEG,"51,82"
189,1172,MEG,T0,Índice MEG,"54,79"
189,1173,MEG,T0,Índice MEG,"75,55"
189,1176,MEG,T0,Índice MEG,"96,4"
189,1178,MEG,T0,Índice MEG,"99,47"
189,1179,MEG,T0,Índice MEG,"96,91"
189,1182,MEG,T0,Índice MEG,"66,5"
189,1183,MEG,T0,Índice MEG,"63,76"
189,1184,MEG,T0,Índice MEG,"64,08"
189,1192,MEG,T0,Índice MEG,"67,27"
189,1193,MEG,T0,Índice MEG,"82,56"
189,1194,MEG,T0,Índice MEG,"52,42"
189,1206,MEG,T0,Índice MEG,"63,77"
189,1218,MEG,T0,Índice MEG,"70,81"
189,1219,MEG,T0,Índice MEG,"57,43"
189,1228,MEG,T0,Índice MEG,"61,49"
189,1235,MEG,T0,Índice MEG,"62,5"
189,1237,MEG,T0,Índice MEG,"70,61"
189,1240,MEG,T0,Índice MEG,"69,41"
189,1241,MEG,T0,Índice MEG,"78,78"
189,1242,MEG,T0,Índice MEG,"71,42"
189,1001,MEG,T0,Liderança,"71,83"
189,1002,MEG,T0,Liderança,"81,82"
189,1007,MEG,T0,Liderança,"73,44"
189,1036,MEG,T0,Liderança,"64,93"
189,1037,MEG,T0,Liderança,"68,06"
189,1052,MEG,T0,Liderança,"62,5"
189,1059,MEG,T0,Liderança,"73,44"
189,1061,MEG,T0,Liderança,"73,61"
189,1062,MEG,T0,Liderança,"72,92"
189,1065,MEG,T0,Liderança,"61,9"
189,1066,MEG,T0,Liderança,"86,39"
189,1067,MEG,T0,Liderança,50
189,1070,MEG,T0,Liderança,"74,54"
189,1075,MEG,T0,Liderança,"79,86"
189,1080,MEG,T0,Liderança,"68,94"
189,1081,MEG,T0,Liderança,"64,58"
189,1082,MEG,T0,Liderança,"84,06"
189,1087,MEG,T0,Liderança,"59,72"
189,1089,MEG,T0,Liderança,"80,73"
