idnucleo,nuano,nuplacao,dtcriacao,nmplacao,txresultado,txindicador,txdescricao,dtpinicio,dtpfim,nmresponsavel,nmcolaboradores,nmparceiros,txrecursos,nmfiscal,dtultimaalteracao,stplacao,faceb
14025,2010,1,2010-10-26,"Aumento de mercado e a melhoria na gestão das empresas do Núcleo da Mulher Empresária de São Francisco do Sul, da ACISFS","1: Aumento do faturamento em 4% das empresas participantes até o fim do projeto;  2:Promover a melhoria de pelo menos uma estratégia nova implantada pelas empresas participantes até o fim do projeto;  3:Número de pessoas capacitadas 110 pessoas, até o fim do projeto;  Aumento em 6% na carteira de clientes das empresas participantes, até o final do projeto.",,"Desenvolver a gestão das empresárias e líderes, promovendo o crescimento e o aprimoramento das empresas integrantes do núcleo da mulher empresária da...",2010-07-01,2011-12-31,Geovana Aparecida Fusile,,Portal NetBabillons,"R$168.199,00",Geovana Aparecida Fusile,,atras,false
14040,2010,1,2010-10-21,Fortalecimento do setor gastronômico e turístico do Vale do Contestado e caminho dos Príncipes,1:Aumentar em 5% a quantidade de postos de trabalho nas empresas até o fim do projeto;  2:Aumentar em 10% o faturamento das empresas até o fim do projeto;  3:Promover a melhoria de pelo menos 02 processos empresariais nos empreendimentos participantes até o fim do projeto;  4: Aumentar em 80% a capacitação dos colaboradores envolvidos neste projeto;  5:Atender 15% dos turistas que freqüentam a cidade.,,Especializar as empresas nucleadas efetivando-as como referência no mercado turístico das regiões Vale do Contestado (Sub-governaça Trilhos e Caminhos do...,2010-07-01,2011-12-31,Adriano Huebner,,"Prefeitura de Porto União, UNC e Secretaria de Desenvolvimento Econômico da Prefeitura Municipal de Rio Negrinho /SC","R$172.750,00",Adriano Huebner,,atras,false
14044,2010,1,2010-10-26,Promoção & Consolidação do Design no Desenvolvimento Têxtil Regional,1:Aumentar em 5% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto;  2:Aumentar em 10% o faturamento das empresas;  3:Promover a melhoria de pelo menos 3 processos empresariais  nos empreendimentos participantes até o fim do projeto.  4:Aumentar em 7% a produção das empresas participantes até o final do projeto.,,"Promover a expansão do setor da moda, criando e consolidando um diferencial competitivo e uma identidade regional, que através da inovação e da produção seja...",2010-07-01,2011-12-31,Lenir Peres Pavan,,Expresso São Miguel e LÊnius Embalagens,"R$286.000,00",Lenir Peres Pavan,,atras,false
14053,2010,1,2010-10-21,Aumento da competitividade das empresas do Núcleo de Farmácias de manipulação ACIJ,"1: Aumentar em 7% a carteira de clientes até o fim do projeto.  2: Ampliação de mercado de atuação das empresas participantes em 5%, até o final do projeto;  3:Aumentar em 10% o faturamento das empresas participantes até o fim do projeto.",,"Promover o desenvolvimento sustentável das empresas integrantes do Núcleo Setorial de Farmácias de Manipulação vinculadas a AIJ, por meio do aumento da ...",2010-07-01,2011-12-31,Geovana Aparecida Fusile,,UNIVILLE,"r$44.600,00",Geovana Aparecida Fusile,,atras,false
14092,2010,1,2010-10-20,Desenvolvimento comercial do munincípio de Maravilha,1: Aumentar em 10% o faturamento das empresas nucleadas em relação ao mesmo período do ano anterior;  2: Aumentar em 5% a carteira geral de clientes ativos até o final do projeto;  3: Aumentar em 10% o número de clientes de outros municípios até o fim do projeto;  4: Aumentar em 5% a quantidade de postos de trabalho até o fim do projeto;  5: Aumentar o ticket médio de vendas em 10% até o fim do projeto.,,Fortalecimento das empresas nucleadas objetivando o desenvolvimento e a sustentabilidade das empresas concentrando renda e gerando empregos.,2010-07-01,2011-12-31,Olavo Henrique Prass,,CDL,"R$99.220,00",Olavo Henrique Prass,,atras,false
14093,2010,1,2010-10-25,Aumento da competitividade das empresas do núcleo de automação,"1: Aumentar em 7% o faturamento até o fim do projeto;  2:Ampliação do mercado de atuação em 5% das empresas participantes, até o fim do projeto;  3:Aumentar em 4% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto;  4:Promover a melhoria de pelo menos 01 processo empresarial  nos empreendimentos.",,"Promover o crescimento das empresas integrantes do Núcleo Setorial de Automação, vinculados a ACIJ, por meio de melhoria na gestão, estratégicas...",2010-11-16,2012-05-13,Geovana Aparecida Fusile,,SENAI/SC e SOFTVILLE,"R$107.540,00",Geovana Aparecida Fusile,,atras,false
14098,2010,1,2010-10-20,Aumento da competitividade das empresas do núcleo de empresas contábeis,"1: Aumentar em 20% a venda de serviços das empresas participantes até o fim do projeto;  2: Aumentar o faturamento em 10% das empresas, até o fim do projeto;  3:Desenvolvimento de pelo menos 01 produto ou serviços diferenciados até o fim do projeto;",,"Promover o aumetno da competitividade das empresas integrantes do núcleo de empresas contábeis, ampliar a capacidade de gestão das empresas e aumetnar a ...",2010-07-01,2011-12-31,Geovana Aparecida Fusile,,Sindicontjlle,"R$117.000,00",Geovana Aparecida Fusile,,atras,false
14100,2010,1,2010-10-25,Aumento da competitividade das empresas do Núcleo de Usinagem e Ferramentaria da ACIJ,1:Aumentar em 10% a quantidade de postos de trabalho nas empresas até o fim do projeto;  2:Aumentar em 20% o faturamento das empresas até o fim do projeto;  3: Promovera melhoria de 02 processos empresariais nos empreendimentos participantes até o final do projeto;  4:Aumentar em 20% o o número de clientes ativos das empresas participantes até o fim do projeto.,,"Promover o aumento da competitividade das empresas integrantes do núcleo setorial de Usinagem e Ferramentaria, por meio da cooperação, aprendizado coletivo...",2010-11-16,2012-05-13,Geovana Aparecida Fusile,,Revista Ferramental e JungIndustrial,"R$220.500,00",Geovana Aparecida Fusile,,atras,false
14121,2010,1,2010-10-22,Desenvolvimento Sustentável do Segmento de Confecções de Santo Antonio de Jesus - Bahia,1: Aumentar em 20% Novos postos de trabalho formais até dezembro de 2012.  2: Aumentar em 10% os lucros das empresas até dezembro de 2012;  3:Elevar o faturamento das empresas participantes em 20% até dezembro de 2012.,,"Promover o desenvolvimento e a qualificação do setor de indústrias de confecções, contemplando o aumento da competitividade, a geração de emprego e renda e a ..",2010-11-01,2012-12-31,Ivani Bomfim Quadros Farias,,,"R$111.500,00",Ivani Bomfim Quadros Farias,2017-07-06,termi,false
20015,2010,1,2010-09-15,Beleza Potiguar,Resultado 1: Aumentar em 10% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto;  Resultado 2 - Aumentar em 5% o faturamento das empresas participantes até o fim do projeto;  Resultado 3: Promover a melhoria de pelo menos três processos empresariais nos empreendimentos participantes até o fim do projeto.,,"Promover o desenvolvimento sustentável das empresas que fazem parte do núcleo setorial de beleza de Natal, traduzindo no aumento da receita, da produtividade",2010-06-21,2011-12-31,Clauber Wagner Martins de Araújo,CACB e SEBRAE,"Associação Comercial e Empresarial do Rio Grande do Norte, UNICRED, SENAC.","R$ 126.770,00",,,atras,false
