idprojeto,nuacao,nmacao,dsacao,dtinicio,dtfim,vlrecucacb,vlrecuentidecon,vlrecuentidfina,vlrecucontrapar,vlrecutotal,stacao,aprovacao_previa,centro_custo,centro_custo_adm,idtipo,nome_responsavel,telefone_responsavel,email_responsavel,dtinicio_realizada,dtfim_realizada,dtaprova_encerra_analista,dtaprova_encerra_entidadeprop,dtaprova_encerra_entidadeexec,motivo_encerramento,iddocscomprobatorios,iddocsencerramento,idmodelosimpressao,dtinicio_nova_previsao,dtfim_nova_previsao,comentario
1,1,Estruturação do Projeto,Ação obrigatória formada pelo conjunto de atividades necessárias ao planejamento e estruturação do projeto.,2013-08-05,2013-08-30,0.00,923.73,0.00,923.73,923.73,con,,,,,,,,,,,,,,,,,2013-08-05,2013-08-30,
1,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-02,2015-07-30,0.00,3923.73,0.00,3923.73,3923.73,con,,,,,,,,,,,,,,,,,2013-08-02,2015-07-30,
1,3,Acompanhamento da Execução das Mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-09-05,2015-07-28,7345.84,0.00,0.00,0.00,7345.84,con,,,,,,,,,,,,,,,,,2013-09-05,2015-07-28,
1,4,Acompanhamento da Execução das Avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será desenvolvida como auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base para a análise do projeto.",2013-10-10,2015-06-10,0.00,923.73,0.00,923.73,923.73,con,,,,,,,,,,,,,,,,,2013-10-10,2015-06-10,
1,5,Diagnóstico Integrado,Realizar um diagnóstico integrado nas empresas participantes do Projeto.,2013-09-02,2013-10-30,5174.40,0.00,4065.60,4065.60,9240.00,con,,,,,,,,,,,,,,,,,2013-09-02,2013-10-30,
1,6,"Consultoria de Organização, Sistemas e Método","Criar ou aprimorar métodos de trabalho, agilizar a execução das atividades, eliminar atividades em duplicidade, padronizar, melhorar o controle, fazer o gerenciamento dos processos e solucionar problemas, também chamados de patologias organizacionais.",2013-11-21,2014-02-22,12320.00,0.00,9680.00,9680.00,22000.00,con,,,,,,,,,,,,,,,,,2013-11-21,2014-02-22,
1,7,Acesso a Mercados,"Organizar a participação de empresas em encontros/rodadas de negócios, feiras e missões empresariais, de forma que as mesmas possam estar atualizadas com as principais tendências nacionais e internacionais do mercado óptico.",2013-09-06,2015-01-06,25200.00,9900.00,12914.28,22814.28,48014.28,con,,,,,,,,,,,,,,,,,2013-09-06,2015-01-06,
1,8,Capacitação Técnica e de Gestão,Realizar capacitações focadas para a melhoria do conhecimento técnico e de gestão dos colaboradores e empresários,2013-08-15,2015-02-20,24080.00,0.00,15905.71,15905.71,39985.71,con,,,,,,,,,,,,,,,,,2013-08-15,2015-02-20,
2,1,Estruturação do projeto,Ação formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2013-08-31,3920.00,1540.00,1540.00,3080.00,7000.00,con,,,,,,,,,,,,,,,,,2013-08-01,2013-08-31,
2,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2015-07-31,3920.00,1540.00,1540.00,3080.00,7000.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
