idprojeto,nuacao,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
189,1,2017-07-31,di,2020-04-16 08:14:02,renato.rossi,2020-04-16 08:14:02,renato.rossi
189,1,2017-08-29,df,2020-04-16 08:14:02,renato.rossi,2020-04-16 08:14:02,renato.rossi
189,9,2018-06-29,np,2021-02-18 15:52:26,renato.rossi,2021-02-18 15:52:26,renato.rossi
189,9,2020-12-31,fp,2021-02-18 15:52:26,renato.rossi,2021-02-18 15:52:26,renato.rossi
189,10,2021-02-18,di,2021-02-18 15:57:07,renato.rossi,2021-02-18 15:57:07,renato.rossi
1001,11,2020-01-01,di,2020-04-16 15:16:33,patriciarego,2020-04-16 15:16:33,patriciarego
1036,10,2021-04-01,di,2021-05-04 14:53:41,amauger,2021-05-04 14:53:41,amauger
1036,11,2021-04-01,di,2021-05-04 14:54:22,amauger,2021-05-04 14:54:22,amauger
1036,12,2021-05-01,di,2021-05-04 14:55:11,amauger,2021-05-04 14:55:11,amauger
1037,10,2021-04-01,di,2021-05-04 14:47:54,amauger,2021-05-04 14:47:54,amauger
1037,11,2021-04-01,di,2021-05-04 14:48:37,amauger,2021-05-04 14:48:37,amauger
1037,12,2021-04-01,di,2021-05-04 14:49:36,amauger,2021-05-04 14:49:36,amauger
1082,10,2019-11-20,di,2020-04-16 16:08:49,patriciarego,2020-04-16 16:08:49,patriciarego
1082,10,2020-04-23,di,2020-04-16 15:48:05,renato.rossi,2020-04-16 15:48:05,renato.rossi
1082,10,2020-05-20,df,2020-04-16 16:08:49,patriciarego,2020-04-16 16:08:49,patriciarego
1092,2,2020-10-30,df,2020-04-01 15:54:44,goliveira,2020-04-01 15:54:44,goliveira
1092,3,2020-10-30,df,2020-04-01 15:56:14,goliveira,2020-04-01 15:56:14,goliveira
1092,4,2020-10-30,df,2020-04-01 15:56:52,goliveira,2020-04-01 15:56:52,goliveira
1096,9,2019-12-01,di,2020-04-16 16:00:49,renato.rossi,2020-04-16 16:00:49,renato.rossi
1096,9,2020-04-16,di,2020-04-16 15:56:41,patriciarego,2020-04-16 15:56:41,patriciarego
1096,9,2020-09-30,df,2020-04-16 16:00:49,renato.rossi,2020-04-16 16:00:49,renato.rossi
1096,9,2020-10-01,df,2020-04-16 16:27:58,renato.rossi,2020-04-16 16:27:58,renato.rossi
1098,10,2019-12-01,di,2020-04-16 16:28:36,patriciarego,2020-04-16 16:28:36,patriciarego
1098,10,2020-04-16,di,2020-04-16 16:28:04,patriciarego,2020-04-16 16:28:04,patriciarego
1098,10,2020-07-24,df,2020-04-16 16:28:36,patriciarego,2020-04-16 16:28:36,patriciarego
1113,9,2019-12-01,di,2020-04-16 16:39:32,patriciarego,2020-04-16 16:39:32,patriciarego
1113,9,2020-04-16,di,2020-04-16 16:38:55,patriciarego,2020-04-16 16:38:55,patriciarego
1113,9,2020-09-30,df,2020-04-16 16:39:32,patriciarego,2020-04-16 16:39:32,patriciarego
1181,1,2019-05-01,di,2020-03-26 18:27:26,goliveira,2020-03-26 18:27:26,goliveira
1181,1,2019-05-31,df,2020-03-26 18:27:26,goliveira,2020-03-26 18:27:26,goliveira
1181,2,2019-05-01,di,2020-03-26 18:35:39,goliveira,2020-03-26 18:35:39,goliveira
1181,2,2020-11-01,df,2020-03-26 18:35:39,goliveira,2020-03-26 18:35:39,goliveira
1181,3,2019-05-01,di,2020-03-26 21:06:03,goliveira,2020-03-26 21:06:03,goliveira
1181,3,2020-11-01,df,2020-03-26 21:06:03,goliveira,2020-03-26 21:06:03,goliveira
1181,4,2019-05-01,di,2020-03-26 21:08:06,goliveira,2020-03-26 21:08:06,goliveira
1181,4,2020-11-01,df,2020-03-26 21:08:06,goliveira,2020-03-26 21:08:06,goliveira
1181,5,2019-09-01,di,2020-03-26 21:26:43,goliveira,2020-03-26 21:26:43,goliveira
1181,5,2019-12-15,df,2020-03-26 21:26:43,goliveira,2020-03-26 21:26:43,goliveira
1181,6,2019-06-10,di,2020-03-26 21:28:52,goliveira,2020-03-26 21:28:52,goliveira
1181,6,2019-12-30,df,2020-03-26 21:28:52,goliveira,2020-03-26 21:28:52,goliveira
1181,7,2019-08-01,di,2020-03-26 21:31:24,goliveira,2020-03-26 21:31:24,goliveira
1181,7,2020-04-30,df,2020-03-26 21:31:24,goliveira,2020-03-26 21:31:24,goliveira
1181,8,2019-10-01,di,2020-03-26 21:34:45,goliveira,2020-03-26 21:34:45,goliveira
1181,8,2020-09-01,df,2020-03-26 21:34:45,goliveira,2020-03-26 21:34:45,goliveira
1181,9,2020-02-01,di,2020-03-26 21:35:48,goliveira,2020-03-26 21:35:48,goliveira
1181,9,2020-09-30,df,2020-03-26 21:35:48,goliveira,2020-03-26 21:35:48,goliveira
1181,10,2019-05-01,di,2020-03-27 15:41:25,goliveira,2020-03-27 15:41:25,goliveira
1181,10,2020-10-30,df,2020-03-27 15:41:25,goliveira,2020-03-27 15:41:25,goliveira
1193,12,2020-10-01,di,2021-01-11 13:32:52,amauger,2021-01-11 13:32:52,amauger
2004,1,2019-10-10,di,2020-07-01 15:53:29,ogalimberti,2020-07-01 15:53:29,ogalimberti
2004,1,2020-06-08,di,2020-06-18 17:15:57,ogalimberti,2020-06-18 17:15:57,ogalimberti
2004,1,2020-06-18,di,2020-06-18 17:14:31,ogalimberti,2020-06-18 17:14:31,ogalimberti
2004,1,2020-12-31,df,2020-06-18 17:15:57,ogalimberti,2020-06-18 17:15:57,ogalimberti
