idprojeto,id_pracao_marco,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
189,1,2017-12-29,di,2020-05-13 09:46:56,renato.rossi,2020-05-13 09:46:56,renato.rossi
189,2,2018-06-29,di,2020-05-13 09:50:05,renato.rossi,2020-05-13 09:50:05,renato.rossi
189,3,2018-08-31,di,2020-05-13 09:53:47,renato.rossi,2020-05-13 09:53:47,renato.rossi
189,4,2019-03-29,di,2020-05-13 09:56:48,renato.rossi,2020-05-13 09:56:48,renato.rossi
189,5,2019-04-30,di,2020-05-13 09:59:20,renato.rossi,2020-05-13 09:59:20,renato.rossi
189,6,2020-01-10,di,2020-05-13 10:04:00,renato.rossi,2020-05-13 10:04:00,renato.rossi
189,7,2020-01-10,di,2020-05-13 10:12:58,renato.rossi,2020-05-13 10:12:58,renato.rossi
189,8,2017-07-31,di,2020-05-13 14:10:05,renato.rossi,2020-05-13 14:10:05,renato.rossi
189,9,2017-07-31,di,2020-05-13 14:12:04,renato.rossi,2020-05-13 14:12:04,renato.rossi
189,10,2017-08-21,di,2020-05-13 14:13:54,renato.rossi,2020-05-13 14:13:54,renato.rossi
189,11,2017-08-21,di,2020-05-13 14:16:16,renato.rossi,2020-05-13 14:16:16,renato.rossi
189,12,2018-02-16,di,2020-05-28 08:44:52,renato.rossi,2020-05-28 08:44:52,renato.rossi
189,13,2018-11-30,di,2020-05-28 08:48:25,renato.rossi,2020-05-28 08:48:25,renato.rossi
189,14,2019-12-13,di,2020-05-28 08:49:37,renato.rossi,2020-05-28 08:49:37,renato.rossi
189,15,2017-12-08,di,2020-05-28 09:04:15,renato.rossi,2020-05-28 09:04:15,renato.rossi
189,16,2018-06-15,di,2020-05-28 09:06:45,renato.rossi,2020-05-28 09:06:45,renato.rossi
189,17,2018-12-21,di,2020-05-28 09:08:02,renato.rossi,2020-05-28 09:08:02,renato.rossi
189,18,2019-06-28,di,2020-05-28 09:09:39,renato.rossi,2020-05-28 09:09:39,renato.rossi
189,19,2020-01-10,di,2020-05-28 09:12:01,renato.rossi,2020-05-28 09:12:01,renato.rossi
189,20,2020-01-10,di,2020-05-28 09:13:54,renato.rossi,2020-05-28 09:13:54,renato.rossi
189,21,2017-08-25,di,2020-05-28 09:43:37,renato.rossi,2020-05-28 09:43:37,renato.rossi
189,22,2017-08-28,di,2020-05-28 09:45:51,renato.rossi,2020-05-28 09:45:51,renato.rossi
189,23,2017-11-03,di,2020-05-28 09:48:15,renato.rossi,2020-05-28 09:48:15,renato.rossi
189,24,2017-11-03,di,2020-05-28 09:50:20,renato.rossi,2020-05-28 09:50:20,renato.rossi
189,25,2017-11-24,di,2020-05-28 09:51:56,renato.rossi,2020-05-28 09:51:56,renato.rossi
189,26,2017-12-08,di,2020-05-28 09:55:24,renato.rossi,2020-05-28 09:55:24,renato.rossi
189,27,2017-12-08,di,2020-05-28 09:56:42,renato.rossi,2020-05-28 09:56:42,renato.rossi
189,28,2017-09-08,di,2020-05-28 10:01:43,renato.rossi,2020-05-28 10:01:43,renato.rossi
189,30,2017-12-29,di,2020-05-28 10:05:16,renato.rossi,2020-05-28 10:05:16,renato.rossi
189,31,2018-02-28,di,2020-05-28 10:19:23,renato.rossi,2020-05-28 10:19:23,renato.rossi
189,32,2019-08-02,di,2020-05-28 10:15:50,renato.rossi,2020-05-28 10:15:50,renato.rossi
189,33,2019-08-16,di,2020-05-28 10:17:16,renato.rossi,2020-05-28 10:17:16,renato.rossi
189,34,2019-09-20,di,2020-05-28 10:18:16,renato.rossi,2020-05-28 10:18:16,renato.rossi
189,35,2019-09-20,di,2020-05-28 10:21:12,renato.rossi,2020-05-28 10:21:12,renato.rossi
189,36,2018-08-17,di,2020-05-28 10:24:27,renato.rossi,2020-05-28 10:24:27,renato.rossi
189,37,2019-04-26,di,2020-05-28 10:26:16,renato.rossi,2020-05-28 10:26:16,renato.rossi
189,38,2020-01-03,di,2020-05-28 10:29:52,renato.rossi,2020-05-28 10:29:52,renato.rossi
189,39,2020-01-10,di,2020-05-28 10:30:46,renato.rossi,2020-05-28 10:30:46,renato.rossi
2012,40,2020-06-01,di,2020-09-22 15:52:51,amauger,2020-09-22 15:52:51,amauger
2012,41,2020-09-15,di,2020-09-22 16:02:19,amauger,2020-09-22 16:02:19,amauger
2012,42,2021-02-20,di,2020-09-22 16:03:17,amauger,2020-09-22 16:03:17,amauger
2012,43,2020-07-15,di,2020-09-22 16:29:20,amauger,2020-09-22 16:29:20,amauger
2012,44,2021-01-30,di,2020-09-22 16:31:07,amauger,2020-09-22 16:31:07,amauger
2012,45,2021-02-28,di,2020-09-22 16:33:26,amauger,2020-09-22 16:33:26,amauger
2012,46,2020-08-10,di,2020-09-22 16:52:53,amauger,2020-09-22 16:52:53,amauger
2012,47,2021-02-15,di,2020-09-22 16:53:59,amauger,2020-09-22 16:53:59,amauger
2012,48,2021-02-15,di,2020-09-22 16:55:02,amauger,2020-09-22 16:55:02,amauger
