id,idprojeto,nuacao,nome,descricao,tipo,unidade,quantidade,realizado,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,comentario,valor_moeda_adicional,valor_reais
1,2006,4,Empresas atendidas,Nº de empresas atendidas no grupo de Turismo de Alagoas,at,1,8,,2020-07-20 13:00:32,goliveira,2020-07-20 13:00:32,goliveira,,,
2,2012,1,Consultoria,Meta de Atendimento referente as horas de consultoria prestada.,at,Número de horas de Consultoria,24,,2020-09-22 15:45:42,amauger,2020-09-22 15:45:42,amauger,,,
3,2012,1,Adesão,Meta de atendimento referente ao número de adesões.,at,Número de adesões,200,1,2020-09-22 15:47:17,amauger,2020-09-22 15:47:17,renato.rossi,,,
4,2012,1,Projeto Estruturado,Meta de entrega referente ao número de projetos estruturados.,en,Número de projetos estruturados,1,,2020-09-22 15:48:08,amauger,2020-09-22 15:48:08,amauger,,,
5,2012,2,Consultoria,Meta de atendimento referente ao número de horas de consultoria prestada.,at,Número de horas de Consultoria,128,,2020-09-22 15:58:22,amauger,2020-09-22 15:58:22,amauger,,,
6,2012,2,Gerenciamento e monitoramento das Ações,Meta de entrega referente a documentação comprobatório dos acompanhamentos realizados.,en,Número de Relatórios,2,,2020-09-22 15:59:46,amauger,2020-09-22 15:59:46,amauger,,,
7,2012,3,Entidades participantes,Meta de atendimento referente ao número de entidades participantes,at,Número de entidades participantes,1,,2020-09-22 16:07:06,amauger,2020-09-22 16:07:06,amauger,,,
8,2012,3,Empresas participantes,Meta de atendimento referente ao número de empresas participantes.,at,Número de empresas participantes,200,,2020-09-22 16:17:05,amauger,2020-09-22 16:17:05,amauger,,,
9,2012,4,Consultoria,Meta de atendimento referente ao número de horas de consultoria prestada.,at,Número de horas de Consultoria,65,,2020-09-22 16:41:45,amauger,2020-09-22 16:41:45,amauger,,,
10,2012,4,Empresas participantes,Meta de entrega referente ao número de empresas participantes cadastradas no portal,en,Número de empresas cadastradas no portal do Empreender,200,,2020-09-22 16:44:54,amauger,2020-09-22 16:44:54,amauger,,,
11,2012,4,Avaliação,Meta de entrega referente ao número de Relatórios de Avaliação a serem entregues.,en,Número de Relatórios,2,,2020-09-22 16:46:33,amauger,2020-09-22 16:46:33,amauger,,,
12,2012,5,Empresas participantes,Meta de atendimento referente ao número de empresas participantes na Ação,at,Número de empresas participantes,50,,2020-09-22 17:02:28,amauger,2020-09-22 17:02:28,amauger,,,
