idprojeto,nuacao,idacomp,stacaoacomp
1,1,3,con
1,1,240,con
1,1,241,con
1,1,317,con
1,1,456,con
1,1,530,con
1,1,606,con
1,1,635,con
1,1,856,con
1,1,964,con
1,1,1039,con
1,1,1060,con
1,1,1149,con
1,1,1172,con
1,1,1186,con
1,2,3,atr
1,2,240,and
1,2,241,and
1,2,317,and
1,2,456,and
1,2,530,and
1,2,606,and
1,2,635,and
1,2,856,and
1,2,964,and
1,2,1039,and
1,2,1060,and
1,2,1149,con
1,2,1172,con
1,2,1186,con
1,3,3,and
1,3,240,and
1,3,241,and
1,3,317,and
1,3,456,and
1,3,530,and
1,3,606,and
1,3,635,and
1,3,856,and
1,3,964,and
1,3,1039,and
1,3,1060,and
1,3,1149,con
1,3,1172,con
1,3,1186,con
1,4,3,and
1,4,240,and
1,4,241,and
1,4,317,and
1,4,456,and
1,4,530,and
1,4,606,and
1,4,635,and
1,4,856,and
1,4,964,and
1,4,1039,and
1,4,1060,and
1,4,1149,con
1,4,1172,con
1,4,1186,con
1,5,3,atr
1,5,240,atr
1,5,241,atr
1,5,317,and
1,5,456,con
1,5,530,con
1,5,606,con
1,5,635,con
1,5,856,con
1,5,964,con
1,5,1039,con
1,5,1060,con
1,5,1149,con
1,5,1172,con
1,5,1186,con
1,6,3,atr
1,6,240,atr
1,6,241,and
1,6,317,and
1,6,456,and
1,6,530,con
1,6,606,con
1,6,635,con
1,6,856,con
1,6,964,con
1,6,1039,con
1,6,1060,con
1,6,1149,con
1,6,1172,con
1,6,1186,con
1,7,3,and
1,7,240,and
1,7,241,and
1,7,317,and
1,7,456,con
1,7,530,con
1,7,606,con
1,7,635,con
1,7,856,con
1,7,964,con
1,7,1039,con
1,7,1060,con
1,7,1149,con
1,7,1172,con
1,7,1186,con
1,8,3,atr
1,8,240,atr
1,8,241,and
1,8,317,and
1,8,456,and
1,8,530,and
1,8,606,and
1,8,635,and
1,8,856,atr
1,8,964,atr
1,8,1039,con
1,8,1060,con
1,8,1149,con
1,8,1172,con
1,8,1186,con
2,1,4,con
2,1,148,con
2,1,239,con
2,1,369,con
2,1,526,con
2,1,527,con
2,1,816,con
2,1,855,con
2,1,1045,con
2,1,1063,con
2,1,1150,con
2,1,1241,con
2,2,4,and
2,2,148,and
2,2,239,and
2,2,369,and
2,2,526,and
2,2,527,and
2,2,816,and
2,2,855,and
2,2,1045,and
2,2,1063,and
2,2,1150,and
2,2,1241,con
2,3,4,atr
2,3,148,and
2,3,239,and
2,3,369,and
2,3,526,and
2,3,527,and
2,3,816,and
2,3,855,and
2,3,1045,and
2,3,1063,and
2,3,1150,and
2,3,1241,con
2,4,4,atr
2,4,148,ini
2,4,239,and
2,4,369,and
2,4,526,and
2,4,527,and
2,4,816,and
2,4,855,and
2,4,1045,and
2,4,1063,and
2,4,1150,and
2,4,1241,con
2,5,4,atr
2,5,148,atr
2,5,239,ini
2,5,369,ini
2,5,526,ini
2,5,527,ini
2,5,816,and
2,5,855,and
2,5,1045,and
2,5,1063,and
2,5,1150,con
2,5,1241,con
2,6,4,atr
2,6,148,atr
2,6,239,and
2,6,369,con
2,6,526,con
2,6,527,con
2,6,816,con
2,6,855,con
2,6,1045,con
2,6,1063,con
2,6,1150,con
2,6,1241,con
2,7,4,atr
2,7,148,atr
2,7,239,red
2,7,369,and
2,7,526,and
2,7,527,con
2,7,816,con
2,7,855,con
2,7,1045,con
2,7,1063,con
2,7,1150,con
2,7,1241,con
2,8,4,atr
2,8,148,atr
2,8,239,red
2,8,369,and
2,8,526,and
2,8,527,con
2,8,816,con
2,8,855,con
2,8,1045,con
2,8,1063,con
2,8,1150,con
2,8,1241,con
2,9,4,and
2,9,148,atr
2,9,239,red
2,9,369,and
2,9,526,and
2,9,527,red
2,9,816,and
2,9,855,con
2,9,1045,con
2,9,1063,con
2,9,1150,con
2,9,1241,con
2,10,4,atr
2,10,148,atr
2,10,239,red
2,10,369,and
2,10,526,and
2,10,527,and
2,10,816,con
2,10,855,con
2,10,1045,con
2,10,1063,con
2,10,1150,con
2,10,1241,con
2,11,4,and
2,11,148,ini
2,11,239,red
2,11,369,and
2,11,526,and
2,11,527,and
2,11,816,and
2,11,855,and
2,11,1045,and
2,11,1063,and
2,11,1150,and
2,11,1241,con
2,12,4,and
2,12,148,ini
2,12,239,ini
2,12,369,and
2,12,526,and
2,12,527,con
2,12,816,con
2,12,855,con
2,12,1045,con
2,12,1063,con
2,12,1150,con
2,12,1241,con
2,13,4,and
2,13,148,ini
2,13,239,ini
2,13,369,and
2,13,526,and
2,13,527,con
