idgrupo,nmgrupo,ativo
00wr4,AL Invest,true
00yet,AL Invest Verde,true
041eq,Serviços,true
08h7e,Viagens..........,true
0dnfi,TIC,true
0g2lz,Apoio a projetos,true
0j01z,Diversos,true
0jbew,Pessoal,true
0mdd4,Infraestrutura,true
0mgby,Ajustes,true
0wmfs,Eventos,true
alugu,Alugueis,true
dedes,Demais despesas operacionais,true
destr,Despesas tributarias e financeiras,true
desvi,Viagens,true
divan,"Divulgação, anúncios, publicidade e propaganda",true
matco,Material de consumo / expediente,true
pesen,"Pessoal, encargos e beneficios",true
serco,Serviços gráficos de comunicação em geral,true
sergr,Serviços gráficos e de reprodução,true
serpr,Serviços profissionais,true
sertr,Serviços contratados,true
teces,Serviços técnicos especializados,true
