identidadeprop,idtipoentidade,identidade,nmchamada,nmconvenio,idbanco,dsagencia,dsconta,nmentidade,nuoperacao,idcidade,flativo,sigla,conta_tipo,pix_tipo,pix_chave,idprojeto
1,ass,11763,2013/01,112,1  ,1523-7,24169-5,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE ALAGOAS - FEDERALAGOAS,,109,S,FEDERALAGOAS13,Corrente,,,
2,ass,1946,2013/01,118,1  ,704,21877,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROPECUÁRIA DE PONTALINA",,2286,S,ACIAP,Corrente,,,
3,ass,11786,2013/01,114,104,84,3542-7,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,0,2754,S,FEDERAMINAS 13,Corrente,,,
4,ass,11789,2013/01,116,1  ,1622-5,19.001-X,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP 2013,Corrente,,,
5,ass,11787,2013/01,113,1  ,22-1,230.268-3,Federação das Associações Comerciais do Rio Grande do Norte  - FACERN,,7221,S,FACERN 2013,Corrente,,,
6,ass,11612,2013/01,110,1  ,2871-1,65000-5,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,7566,S,MICROEMPA 2013,Corrente,,,
7,ass,3494,2013/01,111,1  ,4863,37054-1,"CÂMARA INDÚSTRIA, COMÉRCIO E SERVIÇO DE FARROUPILHA",0,7710,S,CICS-FAR ANTIGA,Corrente,,,
8,ass,11794,2013/01,117,1  ,4236-6,3300-6,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC 2013,Corrente,,,
9,ass,11779,2013/01,115,1  ,3344-8,956387-3,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP 2013,Corrente,,,
12,ass,11770,2015/01,144/2015,1  ,2912-2,14382-0,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO ESTADO DO MATO GROSSO - FACMAT,,4347,S,FACMAT,Corrente,,,
13,ass,11774,2015/01,147/2015,1  ,2912-2,14382-0,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DA BAHIA - FACEB,,988,S,FACEB,Corrente,,,
14,ass,11776,2015/01,146/2015,1  ,2912-2,14382-0,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE PERNAMBUCO - FACEP,,5406,S,FACEP 2015,Corrente,,,
15,ass,11786,2015/01,143/2015,1  ,2912-2,14382-0,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS 15,Corrente,,,
16,ass,11790,2015/01,145/2015,1  ,2912-2,14382-0,Associação das Empresas de Pequeno Porte da Região Nordeste do RS,,7566,S,MICROEMPA 2015,Corrente,,,
17,ass,10943,2017/01,049/2021,104,2458,30264-4,ASSOCIAÇÃO COMERCIAL DO DISTRITO FEDERAL - ACDF,Operação 003,1778,S,ACDF,Corrente,,,2005
18,ass,11788,2015/01,055,1  ,000,0000,FEDERAÇÃO DE ENTIDADES EMPRESARIAIS DO RIO GRANDE DO SUL - FEDERASUL,0000,7994,S,FEDERASUL,Corrente,,,
19,ass,11739,2018/01,1,1  ,1,1,CACB - ACE,,1778,S,CACB - ACE,Corrente,,,2022
