idprojeto,idempresa,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,flativo
1,3864,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
1,5361,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
1,5364,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
1,5365,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
1,5368,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:08:50,gladson.lima,S
1,5371,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
1,26528,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
1,26530,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
1,27155,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
1,54617,2023-03-22 17:42:55,amauger,2023-04-11 20:17:30,amauger,S
3,4469,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
3,4470,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
3,26783,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
4,22205,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:08:53,gladson.lima,S
4,22206,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
4,22210,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:08:53,gladson.lima,S
4,22212,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:08:53,gladson.lima,S
4,22214,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:08:54,gladson.lima,S
4,22217,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:08:54,gladson.lima,S
4,22218,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:08:54,gladson.lima,S
4,22219,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:08:54,gladson.lima,S
4,25986,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
