idprojeto,identidadeprop,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,tipo_vinculo
2028,11793,2022-02-21 15:04:19,renato.rossi,2022-02-21 15:04:19,renato.rossi,1
2028,11793,2022-02-21 15:04:19,renato.rossi,2022-02-21 15:04:19,renato.rossi,4
2028,11740,2022-02-21 15:04:19,renato.rossi,2022-02-21 15:04:19,renato.rossi,2
2028,11793,2022-02-21 15:04:19,renato.rossi,2022-02-21 15:04:19,renato.rossi,2
1025,11786,2022-02-21 16:01:02,renato.rossi,2022-02-21 16:01:02,renato.rossi,1
192,11793,2022-02-21 16:05:09,renato.rossi,2022-02-21 16:05:09,renato.rossi,1
191,11793,2022-02-21 16:07:39,renato.rossi,2022-02-21 16:07:39,renato.rossi,1
180,11612,2022-02-22 09:07:13,renato.rossi,2022-02-22 09:07:13,renato.rossi,1
2042,11786,2023-02-02 17:56:08,amauger,2023-02-02 17:56:08,amauger,1
2042,11786,2023-02-02 17:56:08,amauger,2023-02-02 17:56:08,amauger,4
2042,11786,2023-02-02 17:56:08,amauger,2023-02-02 17:56:08,amauger,2
2042,11793,2023-02-02 17:56:08,amauger,2023-02-02 17:56:08,amauger,2
1034,3021,2022-03-18 13:45:07,Mluiza,2022-03-18 13:45:07,Mluiza,1
1224,3021,2022-03-18 14:02:00,Mluiza,2022-03-18 14:02:00,Mluiza,1
2006,11740,2021-12-17 02:30:24,nmabeck,2021-12-17 02:30:24,nmabeck,2
2013,11795,2021-12-09 14:25:23,nmabeck,2021-12-09 14:25:23,nmabeck,2
2005,10943,2021-12-17 02:11:47,nmabeck,2021-12-17 02:11:47,nmabeck,2
2015,11793,2021-10-19 16:32:10,luiz.santos,2021-10-19 16:32:10,luiz.santos,2
2014,11793,2021-10-22 10:32:33,luiz.santos,2021-10-22 10:32:33,luiz.santos,2
2013,11793,2021-12-09 14:25:23,nmabeck,2021-12-09 14:25:23,nmabeck,2
2005,11793,2021-12-17 02:11:47,nmabeck,2021-12-17 02:11:47,nmabeck,2
2015,11786,2021-10-19 16:32:10,luiz.santos,2021-10-19 16:32:10,luiz.santos,2
2014,11786,2021-10-22 10:32:33,luiz.santos,2021-10-22 10:32:33,luiz.santos,2
2021,2129,2021-12-17 01:05:38,nmabeck,2022-02-18 23:55:55,nmabeck,3
2006,11740,2021-12-17 02:30:24,nmabeck,2022-02-18 23:55:55,nmabeck,3
1170,11352,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1096,2027,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1184,2363,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1237,11612,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1070,11316,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1153,2245,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1219,11058,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1091,1790,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
2020,3119,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1206,11712,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1235,11612,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1136,2221,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1176,11377,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1161,2486,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1180,2213,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1002,11165,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1067,3404,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1080,2388,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1133,2957,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1175,2787,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1194,2465,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1183,11386,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1104,2054,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1098,2027,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
2003,11742,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1179,11377,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1075,2208,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1182,3412,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1158,2369,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1120,2228,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1017,2897,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1110,3528,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1137,2535,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1053,3071,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1052,3071,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1118,11316,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
1218,11058,2022-02-18 23:59:07,sistema,2022-02-18 23:59:07,sistema,4
