idprojeto,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
180,2017-07-19,in,2022-02-22 09:07:13,renato.rossi,2022-02-22 09:07:13,renato.rossi
180,2018-01-19,fn,2022-02-22 09:07:13,renato.rossi,2022-02-22 09:07:13,renato.rossi
189,2017-06-01,in,2020-09-23 10:10:14,gabriel.lima,2020-09-23 10:10:14,gabriel.lima
189,2020-01-01,fn,2020-09-23 10:10:14,gabriel.lima,2020-09-23 10:10:14,gabriel.lima
189,2020-01-13,fn,2020-09-28 14:41:55,renato.rossi,2020-09-28 14:41:55,renato.rossi
189,2021-01-13,fn,2020-09-28 14:42:48,renato.rossi,2020-09-28 14:42:48,renato.rossi
189,2021-06-30,fn,2021-02-15 14:25:42,renato.rossi,2021-02-15 14:25:42,renato.rossi
189,2021-08-13,fn,2021-05-13 15:09:54,renato.rossi,2021-05-13 15:09:54,renato.rossi
189,2021-08-18,fn,2021-03-04 17:05:55,renato.rossi,2021-03-04 17:05:55,renato.rossi
189,2021-11-13,fn,2021-07-01 15:35:40,renato.rossi,2021-07-01 15:35:40,renato.rossi
190,2013-01-01,in,2021-09-24 09:02:09,renato.rossi,2021-09-24 09:02:09,renato.rossi
190,2015-07-01,fn,2021-09-24 09:02:09,renato.rossi,2021-09-24 09:02:09,renato.rossi
191,2010-01-01,in,2022-02-19 08:44:53,renato.rossi,2022-02-19 08:44:53,renato.rossi
191,2012-07-01,fn,2022-02-19 08:44:53,renato.rossi,2022-02-19 08:44:53,renato.rossi
192,2015-01-01,in,2021-02-08 09:52:25,renato.rossi,2021-02-08 09:52:25,renato.rossi
192,2018-05-01,fn,2021-02-08 09:52:25,renato.rossi,2021-02-08 09:52:25,renato.rossi
193,2018-01-01,in,2021-02-08 09:51:38,renato.rossi,2021-02-08 09:51:38,renato.rossi
193,2019-07-01,fn,2021-02-08 09:51:38,renato.rossi,2021-02-08 09:51:38,renato.rossi
501,2010-01-01,in,2022-07-06 09:07:16,Mluiza,2022-07-06 09:07:16,Mluiza
501,2012-07-01,fn,2022-07-06 09:07:16,Mluiza,2022-07-06 09:07:16,Mluiza
502,2010-01-01,in,2022-07-06 09:04:26,Mluiza,2022-07-06 09:04:26,Mluiza
502,2012-07-01,fn,2022-07-06 09:04:26,Mluiza,2022-07-06 09:04:26,Mluiza
503,2010-01-01,in,2022-07-06 09:03:18,Mluiza,2022-07-06 09:03:18,Mluiza
503,2012-07-01,fn,2022-07-06 09:03:18,Mluiza,2022-07-06 09:03:18,Mluiza
504,2010-01-01,in,2022-07-06 09:01:06,Mluiza,2022-07-06 09:01:06,Mluiza
504,2012-07-01,fn,2022-07-06 09:01:06,Mluiza,2022-07-06 09:01:06,Mluiza
505,2010-01-01,in,2022-08-11 12:03:18,Mluiza,2022-08-11 12:03:18,Mluiza
505,2012-07-01,fn,2022-08-11 12:03:18,Mluiza,2022-08-11 12:03:18,Mluiza
506,2010-01-01,in,2022-08-11 12:04:27,Mluiza,2022-08-11 12:04:27,Mluiza
506,2012-07-01,fn,2022-08-11 12:04:27,Mluiza,2022-08-11 12:04:27,Mluiza
507,2010-01-01,in,2022-08-11 12:05:21,Mluiza,2022-08-11 12:05:21,Mluiza
507,2012-07-01,fn,2022-08-11 12:05:21,Mluiza,2022-08-11 12:05:21,Mluiza
508,2010-01-01,in,2022-07-21 08:56:56,Mluiza,2022-07-21 08:56:56,Mluiza
508,2012-07-01,fn,2022-07-21 08:56:56,Mluiza,2022-07-21 08:56:56,Mluiza
509,0010-12-01,in,2022-07-21 08:55:57,Mluiza,2022-07-21 08:55:57,Mluiza
509,2012-07-01,fn,2022-07-21 08:55:57,Mluiza,2022-07-21 08:55:57,Mluiza
510,2010-01-01,in,2022-08-11 12:10:59,Mluiza,2022-08-11 12:10:59,Mluiza
510,2012-07-01,fn,2022-08-11 12:10:59,Mluiza,2022-08-11 12:10:59,Mluiza
511,2010-01-01,in,2022-08-11 12:10:05,Mluiza,2022-08-11 12:10:05,Mluiza
511,2012-07-01,fn,2022-08-11 12:10:05,Mluiza,2022-08-11 12:10:05,Mluiza
512,2010-01-01,in,2022-07-06 08:57:26,Mluiza,2022-07-06 08:57:26,Mluiza
512,2012-07-01,fn,2022-07-06 08:57:26,Mluiza,2022-07-06 08:57:26,Mluiza
513,2010-01-01,in,2022-07-06 08:55:39,Mluiza,2022-07-06 08:55:39,Mluiza
513,2012-07-01,fn,2022-07-06 08:55:39,Mluiza,2022-07-06 08:55:39,Mluiza
514,2010-01-01,in,2022-07-06 08:53:09,Mluiza,2022-07-06 08:53:09,Mluiza
514,2012-07-01,fn,2022-07-06 08:53:09,Mluiza,2022-07-06 08:53:09,Mluiza
515,2010-01-01,in,2022-07-06 08:52:04,Mluiza,2022-07-06 08:52:04,Mluiza
515,2012-07-01,fn,2022-07-06 08:52:04,Mluiza,2022-07-06 08:52:04,Mluiza
516,2010-01-01,in,2022-07-06 08:50:07,Mluiza,2022-07-06 08:50:07,Mluiza
516,2012-07-01,fn,2022-07-06 08:50:07,Mluiza,2022-07-06 08:50:07,Mluiza
517,2010-01-01,in,2022-07-06 08:47:32,Mluiza,2022-07-06 08:47:32,Mluiza
517,2012-07-01,fn,2022-07-06 08:47:32,Mluiza,2022-07-06 08:47:32,Mluiza
518,2010-01-01,in,2022-07-06 08:45:56,Mluiza,2022-07-06 08:45:56,Mluiza
518,2012-07-01,fn,2022-07-06 08:45:56,Mluiza,2022-07-06 08:45:56,Mluiza
519,2010-01-01,in,2022-07-06 08:44:52,Mluiza,2022-07-06 08:44:52,Mluiza
519,2012-07-01,fn,2022-07-06 08:44:52,Mluiza,2022-07-06 08:44:52,Mluiza
