id,idprojeto,nome,descricao,tipo,unidade,quantidade,realizado,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,comentario,valor_reais,valor_moeda_adicional
1,189,Apoio a núcleos setoriais,"Apoiar 70 núcleos setoriais escolhidos mediante processo de seleção, no período entre abril de 2017 a outubro de 2019;",en,Núcleo apoiado,70,,2020-05-28 07:08:07,renato.rossi,2020-05-28 07:08:07,renato.rossi,,,
2,189,Apoio ao desenvolvimento de empresas,"Apoiar o desenvolvimento de 700 empresas vinculadas aos núcleos setoriais envolvidos, no período de abril de 2017 a outubro de 2019",en,Empresa apoiada,700,,2020-05-28 07:09:23,renato.rossi,2020-05-28 07:09:23,renato.rossi,,,
3,2028,Núcleos criados ou apoiados,Apoiar a criação ou operação de 730 núcleos setoriais no período de setembro até novembro de 2024.,en,Núcleo,730,,2022-02-07 16:25:28,renato.rossi,2022-02-07 16:25:28,renato.rossi,,,
4,2028,Apoio a empresas,Apoiar 9400 empresas nucleadas até novembro de 2024.,en,Empresa,9400,,2022-02-07 16:26:06,renato.rossi,2022-02-07 16:26:06,renato.rossi,,,
5,2028,Apoio a entidades empresariais,Apoiar 400 entidades empresariais com atividades de planejamento e estratégico e o acompanhamento de sua execução.,en,Entidade,400,,2022-02-07 16:26:58,renato.rossi,2022-02-07 16:26:58,renato.rossi,,,
6,2028,Atendimento a ações,"Promover 4800 atendimentos por meio de apoio às ações dos grupos de empresas vinculadas às ACEs, no período de dezembro de 2021 a novembro de 2024.",en,Atendimento,4800,,2022-02-07 16:28:08,renato.rossi,2022-02-07 16:28:08,renato.rossi,,,
7,2028,Atendimento a empresas - ações coletivas,Atender 2.400 empresas por meio de apoio às ações coletivas sendo 960 empresas vinculadas às entidades empresariais e 1.440 nucleadas e vinculadas às entidades empresariais.,en,empresas,2400,,2022-02-07 16:28:54,renato.rossi,2022-02-07 16:28:54,renato.rossi,,,
8,2032,meta teste,wew,en,un,10,,2023-01-12 08:04:52,renato.rossi,2023-01-12 08:04:52,renato.rossi,ewe,,
9,2030,0.1 MPEs que adotam práticas econômicas sustentáveis e digitais,Número de empresas que adotam práticas econômicas sustentáveis e digitais,at,Empresa,5017,,2023-01-16 16:55:59,renato.rossi,2023-01-16 16:55:59,amauger,,,
10,2030,0.2 Empregos verdes e digitais sustentados e criados,Equivalente em tempo integral a empregos verdes e digitais (desagregados por sexo e idade) sustentado/criado como resultado direto do apoio,en,Empregos verdes,1543,,2023-01-19 19:49:07,amauger,2023-01-19 19:49:07,amauger,,,
11,2030,1.1 MPEs que participam no AL-Invest Verde,Empresas que participam no AL-Invest Verde (dividas por setor e tamanho),at,Empresas,9647,,2023-01-19 19:54:17,amauger,2023-01-19 19:54:17,amauger,,,
12,2030,1.2 MPEs que obtém certificação para padrões de sustentabilidade específicos da empresa,Empresas que obtém certificação para padrões de sustentabilidade específicos da empresa,at,Empresas,964,,2023-01-19 19:55:49,amauger,2023-01-19 19:55:49,amauger,,,
13,2030,1.3 MPEs declaram ter aumentado o seu volume de negócios como resultado direto do apoio recebido,Empresas que declaram ter aumentado o seu volume de negócios como resultado direto do apoio recebido,at,Empresas,3859,,2023-01-19 19:58:05,amauger,2023-01-19 19:58:05,amauger,,,
14,2030,1.4 MPEs relatam economia no uso de recursos,Empresas que relatam economia no uso de recursos,at,Empresas,4245,,2023-01-19 19:59:24,amauger,2023-01-19 19:59:24,amauger,,,
15,2030,1.5 Funcionários das instituições adquirem conhecimento para a oferta de serviços verdes e digitais para MPEs,Funcionários das instituições (BMOs) adquiriram conhecimento para a oferta de serviços verdes e digitais para MPEs,at,Funcionários formados,231,,2023-01-19 20:01:37,amauger,2023-01-19 20:01:37,amauger,,,
16,2030,1.6 Novos serviços digitais e verdes desenvolvidos pelas instituições,Novos serviços digitais e verdes desenvolvidos pelas instituições (BMOs),en,Serviços verdes,8,,2023-01-19 20:04:46,amauger,2023-01-19 20:04:46,amauger,,,
17,2030,2.1 Participantes nos eventos para divulgar a experiência e o conhecimento proporcionado pelos projetos,2.1 Participantes nos eventos para divulgar a experiência e o conhecimento proporcionado pelos projetos inovadores (desagregados por sexo).,at,Pessoas participantes,10998,,2023-01-19 20:07:25,amauger,2023-01-19 20:07:25,amauger,,,
18,2030,2.2 Encontros empresariais e eventos B2B (parcial ou total) promovidos pelo programa,Encontros empresariais e eventos B2B (parcial ou total) promovidos pelo programa,en,Encontros,29,,2023-01-19 20:08:30,amauger,2023-01-19 20:08:30,amauger,,,
19,2030,2.3 Funcionários de MPEs com maior conhecimento em termos de acesso ao financiamento,Pessoal de MPEs com maior conhecimento em termos de acesso ao financiamento (desagregado por sexo).,at,Funcionários formados,3087,,2023-01-19 20:11:06,amauger,2023-01-19 20:11:06,amauger,,,
20,2030,2.4 Participantes alcançados em eventos B2B,Participantes alcançados em eventos B2B,at,Pessoas participantes,367,,2023-01-19 20:14:41,amauger,2023-01-19 20:14:41,amauger,,,
21,2030,2.5 Acordos firmados para apoio na transição de uma economia circular voltada para a eficiencia de recursos,Parcerias assinadas através de acordos para apoio na transição de uma economia circular voltada para a eficiencia de recursos na America Latina,en,Acordos firmados,8,,2023-01-19 20:18:20,amauger,2023-01-19 20:18:20,amauger,,,
22,2030,2.6 Desenvolvimento de projetos financiáveis ​​que serão apresentados a instituições financeiras,Desenvolvimento de projetos financiáveis ​​que serão apresentados a instituições financeiras,en,Projetos financiáveis,8,,2023-01-19 20:19:54,amauger,2023-01-19 20:19:54,amauger,,,
