idprojeto,idnucleo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
1,20004,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
1,22141,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
2,21136,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
2,22224,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
3,22109,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
3,22143,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
4,22144,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
4,22835,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
5,21659,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
5,22145,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
6,22142,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
7,22227,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
8,21718,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
8,22139,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
9,22112,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
9,22140,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
10,21735,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
10,22138,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
11,21577,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
11,22167,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
12,20085,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
12,22168,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
13,20173,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
13,22166,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
14,20091,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
14,22178,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
15,21252,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
15,22171,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
16,22102,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
16,22179,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
17,20183,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
17,22174,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
18,21733,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
18,22218,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
19,20508,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
19,22176,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
20,20764,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
20,22232,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
21,22165,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
21,23038,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
22,21568,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
22,22172,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
23,21570,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
23,22173,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
24,22170,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
24,22773,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
25,20231,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
25,22177,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
26,22105,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
26,22151,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
27,20811,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
27,22146,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
28,21294,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
28,22159,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
29,22096,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
29,22160,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
30,21529,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
30,22161,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
31,20740,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
31,22154,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
32,22127,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
32,22219,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
33,22155,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
34,20796,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
34,22220,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
35,22106,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
35,22147,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
36,21594,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
36,22149,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
37,20907,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
37,22221,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
38,20754,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
38,22150,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
39,20820,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
39,22152,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
40,20689,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
40,22223,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
41,21375,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
41,22162,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
42,20601,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
42,22163,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
43,20607,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
43,22164,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
44,21760,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
44,22158,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
45,20864,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
