id,id_orcamento_pai,idprojeto,nuacao,idnat,idgrupo,identidadeprop,descricao,valor_economico,valor_financeiro,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,id_centro_custo
2,,189,2,salas,alugu,45,Gestão e monitoramento,0.00,230008.84,2019-01-15 10:39:22,renato.rossi,2019-07-24 16:56:05,renato.rossi,9
3,,189,3,epesq,teces,86,Mensuração,0.00,127823.85,2019-01-15 10:39:22,renato.rossi,2019-07-24 16:56:05,renato.rossi,10
4,,189,5,0g847,0wmfs,86,Chamada de projetos,0.00,15779.95,2019-01-15 10:39:22,renato.rossi,2021-05-12 17:49:34,renato.rossi,15
5,,189,6,otece,teces,86,Portal do Empreender,0.00,436893.15,2019-01-15 10:39:22,renato.rossi,2021-05-21 10:26:57,renato.rossi,18
6,,189,7,0g847,0wmfs,86,Prêmio Empreender,0.00,14083.33,2019-01-15 10:39:22,renato.rossi,2019-07-24 16:56:05,renato.rossi,20
7,,189,2,079f4,0mdd4,45,Gestão e monitoramento,23250.00,0.00,2019-01-15 11:23:06,renato.rossi,2019-07-24 16:56:05,renato.rossi,7
8,,189,2,05qgl,0jbew,45,Gestão e monitoramento,93620.00,0.00,2019-01-15 11:23:06,renato.rossi,2019-07-24 16:56:05,renato.rossi,2
9,,189,2,frete,dedes,86,Gestão e monitoramento,0.00,15500.00,2019-01-15 11:23:07,renato.rossi,2019-07-24 16:56:05,renato.rossi,8
10,,189,2,consu,serpr,86,Gestão e monitoramento,0.00,1629980.00,2019-01-15 11:23:07,renato.rossi,2019-07-24 16:56:05,renato.rossi,3
11,,189,2,0xfcj,matco,86,Gestão e monitoramento,0.00,112342.76,2019-01-15 11:54:35,renato.rossi,2019-07-24 16:56:05,renato.rossi,5
12,,189,2,079f4,0mdd4,86,Gestão e monitoramento,0.00,46748.62,2019-01-15 11:56:11,renato.rossi,2019-07-24 16:56:05,renato.rossi,7
13,,189,2,hospd,desvi,86,Gestão e monitoramento,0.00,27327.30,2019-01-15 11:57:32,renato.rossi,2019-07-24 16:56:05,renato.rossi,4
14,,189,2,aerea,desvi,86,Gestão e monitoramento,0.00,27300.00,2019-01-15 11:57:32,renato.rossi,2019-07-24 16:56:05,renato.rossi,6
15,,189,5,hospd,desvi,86,Chamada de projetos,0.00,18381.12,2019-01-15 12:02:51,renato.rossi,2021-05-12 17:49:33,renato.rossi,14
16,,189,5,aerea,desvi,86,Chamada de projetos,0.00,16736.46,2019-01-15 12:02:51,renato.rossi,2021-05-12 17:49:33,renato.rossi,16
17,,189,5,0e49f,0wmfs,86,Chamada de projetos,0.00,0.00,2019-01-15 12:02:52,renato.rossi,2021-05-12 17:49:34,renato.rossi,17
18,,189,5,consu,serpr,86,Chamada de projetos,0.00,71135.00,2019-01-15 12:02:53,renato.rossi,2021-05-12 17:49:34,renato.rossi,13
19,,189,7,08s8t,0wmfs,86,Prêmio Empreender,0.00,5746.67,2019-01-15 12:05:29,renato.rossi,2019-07-24 16:56:05,renato.rossi,25
20,,189,7,hospd,desvi,86,Prêmio Empreender,0.00,27885.00,2019-01-15 12:09:45,renato.rossi,2019-07-24 16:56:05,renato.rossi,19
21,,189,7,0tq4i,0j01z,86,Prêmio Empreender,0.00,63389.15,2019-01-15 12:09:46,renato.rossi,2019-07-24 16:56:05,renato.rossi,23
22,,189,7,impgr,sergr,86,Prêmio Empreender,0.00,12760.00,2019-01-15 12:09:47,renato.rossi,2019-07-24 16:56:05,renato.rossi,22
23,,189,7,consu,serpr,86,Prêmio Empreender,0.00,57007.74,2019-01-15 12:09:48,renato.rossi,2019-07-25 08:24:20,renato.rossi,11
24,,189,7,otece,teces,86,Prêmio Empreender,0.00,3266.67,2019-01-15 12:09:48,renato.rossi,2019-07-24 16:56:05,renato.rossi,26
25,,189,7,aerea,desvi,86,Prêmio Empreender,0.00,23400.00,2019-01-15 12:13:35,renato.rossi,2019-07-24 16:56:05,renato.rossi,21
26,,189,7,0e49f,0wmfs,86,Prêmio Empreender,0.00,12668.00,2019-01-15 12:14:26,renato.rossi,2019-07-24 16:56:05,renato.rossi,24
27,,189,8,03ia9,0g2lz,45,Desenvolvimento dos projetos,2800000.00,2800000.00,2019-01-15 12:59:40,renato.rossi,2020-02-14 05:54:12,renato.rossi,111
28,,189,8,0g847,0wmfs,86,Desenvolvimento dos projetos,0.00,0.00,2019-01-15 12:59:40,renato.rossi,2021-02-18 15:44:11,renato.rossi,30
29,,189,8,03ia9,0g2lz,86,Desenvolvimento dos projetos,0.00,7700000.00,2019-01-15 12:59:41,renato.rossi,2021-02-18 16:03:33,renato.rossi,110
31,,189,8,consu,serpr,86,Desenvolvimento dos projetos,0.00,2332440.00,2019-01-15 12:59:42,renato.rossi,2019-07-24 16:56:05,renato.rossi,27
33,,189,8,05q43,desvi,86,Desenvolvimento dos projetos,0.00,30780.48,2019-01-15 13:19:32,renato.rossi,2020-01-24 09:51:31,renato.rossi,28
34,,189,8,hospd,desvi,86,Desenvolvimento dos projetos,0.00,192406.50,2019-01-15 13:22:26,renato.rossi,2019-07-25 08:24:20,renato.rossi,29
35,,189,8,aerea,desvi,86,Desenvolvimento dos projetos,0.00,152100.00,2019-01-15 13:22:27,renato.rossi,2019-07-24 16:56:05,renato.rossi,31
36,,1242,1,0tq4i,0j01z,177,Estruturação do projeto,3313.64,0.00,2019-01-16 10:19:24,renato.rossi,2022-02-19 00:22:14,renato.rossi,
37,,1242,2,0tq4i,0j01z,177,Gestão e Monitoramento,3700.00,0.00,2019-01-16 10:19:24,renato.rossi,2022-02-19 00:22:14,renato.rossi,
38,,1242,3,0tq4i,0j01z,177,Acompanhamento da execução das mensurações,3700.00,0.00,2019-01-16 10:19:25,renato.rossi,2022-02-19 00:22:14,renato.rossi,
39,,1242,4,0tq4i,0j01z,177,Acompanhamento da execução das avaliações,3700.00,0.00,2019-01-16 10:19:25,renato.rossi,2022-02-19 00:22:14,renato.rossi,
40,,1242,5,0tq4i,0j01z,177,Visitas Técnicas,33818.18,40005.01,2019-01-16 10:19:25,renato.rossi,2022-02-19 00:22:14,patriciarego,
41,,1242,5,0tq4i,0j01z,325,Visitas Técnicas,0.00,97803.27,2019-01-16 10:19:25,renato.rossi,2022-02-19 00:31:23,patriciarego,
42,,1242,6,0tq4i,0j01z,177,Capacitação,4431.82,15822.85,2019-01-16 10:19:25,renato.rossi,2022-02-19 00:22:14,patriciarego,
