id,idprojeto,identidadeprop,percentual_participacao_economica,percentual_participacao_financeira,participacao_financeira,participacao_economica,valor_total_financeiro,valor_total_economico,controle_documento,controlar_liberacao,contrapartida,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
1,189,86,0.00,55.00,min,neu,13358532.05,0.00,EL,true,nao,2019-01-15 10:39:22,renato.rossi,2022-10-08 10:55:53,renato.rossi
2,189,45,0.00,45.00,max,neu,3030008.84,2916870.00,EL,true,sim,2019-01-15 10:39:22,renato.rossi,2022-10-08 10:55:49,renato.rossi
3,1242,177,0.00,22.50,min,neu,74197.50,66300.00,EL,false,sim,2019-01-16 10:19:24,renato.rossi,2022-10-08 10:55:49,renato.rossi
4,1242,325,0.00,50.00,max,neu,154102.50,0.00,EL,true,nao,2019-01-16 10:19:24,renato.rossi,2022-10-08 10:55:53,arodrigues
5,1235,25,0.00,22.50,min,neu,45978.00,41167.74,EL,false,sim,2019-01-17 17:45:45,renato.rossi,2022-10-08 10:55:49,renato.rossi
6,1235,321,0.00,50.00,max,neu,95822.00,,EL,true,nao,2019-01-17 17:45:45,renato.rossi,2022-10-08 10:55:53,renato.rossi
7,1240,175,0.00,22.50,min,neu,49249.00,43972.26,EL,false,sim,2019-01-18 11:17:02,renato.rossi,2022-10-08 10:55:49,renato.rossi
8,1240,323,0.00,50.00,max,neu,102211.00,,EL,true,nao,2019-01-18 11:17:02,renato.rossi,2022-10-08 10:55:53,renato.rossi
9,1237,174,0.00,22.50,min,neu,69429.50,62310.48,EL,false,sim,2019-01-18 11:17:30,renato.rossi,2022-10-08 10:55:49,patriciarego
10,1237,322,0.00,50.00,max,neu,145195.50,0.00,EL,true,nao,2019-01-18 11:17:31,renato.rossi,2022-10-08 10:55:53,patriciarego
11,1241,176,0.00,22.50,min,neu,72800.00,65032.26,EL,false,sim,2019-01-18 11:17:56,renato.rossi,2022-10-08 10:55:49,renato.rossi
12,1241,324,0.00,50.00,max,neu,151200.00,,EL,true,nao,2019-01-18 11:17:56,renato.rossi,2022-10-08 10:55:53,renato.rossi
13,1160,193,0.00,22.50,min,neu,21843.00,6900.00,EL,false,sim,2019-01-24 11:52:30,renato.rossi,2022-10-08 10:55:49,renato.rossi
14,1160,294,0.00,50.00,max,neu,34983.00,,EL,true,nao,2019-01-24 11:52:30,renato.rossi,2022-10-08 10:55:53,renato.rossi
15,1158,192,0.00,22.50,min,neu,39490.00,17410.00,EL,false,sim,2019-01-24 11:53:54,renato.rossi,2022-10-08 10:55:49,renato.rossi
16,1158,293,0.00,50.00,max,neu,69500.00,,EL,true,nao,2019-01-24 11:53:54,renato.rossi,2022-10-08 10:55:53,renato.rossi
17,1162,195,0.00,22.50,min,neu,63100.00,19157.00,EL,false,sim,2019-01-24 11:55:28,renato.rossi,2022-10-08 10:55:49,patriciarego
18,1162,296,0.00,50.00,max,neu,100340.00,0.00,EL,true,nao,2019-01-24 11:55:28,renato.rossi,2022-10-08 10:55:53,patriciarego
19,1129,22,0.00,22.50,min,neu,23900.00,16600.00,EL,false,sim,2019-01-24 11:57:09,renato.rossi,2022-10-08 10:55:49,renato.rossi
20,1129,283,0.00,50.00,max,neu,49400.00,,EL,true,nao,2019-01-24 11:57:09,renato.rossi,2022-10-08 10:55:53,renato.rossi
21,1161,194,0.00,22.50,min,neu,66100.00,22365.00,EL,false,sim,2019-01-24 11:58:56,renato.rossi,2022-10-08 10:55:49,renato.rossi
22,1161,295,0.00,50.00,max,neu,108130.00,,EL,true,nao,2019-01-24 11:58:56,renato.rossi,2022-10-08 10:55:53,renato.rossi
23,1133,183,0.00,22.50,min,neu,25507.50,12885.00,EL,false,sim,2019-01-24 12:01:30,renato.rossi,2022-10-08 10:55:49,renato.rossi
24,1133,284,0.00,50.00,max,neu,46919.10,,EL,true,nao,2019-01-24 12:01:30,renato.rossi,2022-10-08 10:55:53,renato.rossi
25,1136,184,0.00,22.50,min,neu,54477.30,4678.50,EL,false,sim,2019-01-24 12:03:34,renato.rossi,2022-10-08 10:55:49,renato.rossi
26,1136,285,0.00,50.00,max,neu,71751.00,,EL,true,nao,2019-01-24 12:03:34,renato.rossi,2022-10-08 10:55:53,renato.rossi
27,1137,185,0.00,22.50,min,neu,87200.00,25126.00,EL,false,sim,2019-01-24 12:04:44,renato.rossi,2022-10-08 10:55:49,renato.rossi
28,1137,286,0.00,50.00,max,neu,136800.00,,EL,true,nao,2019-01-24 12:04:44,renato.rossi,2022-10-08 10:55:53,renato.rossi
29,1138,186,0.00,22.50,min,neu,62500.00,35633.00,EL,false,sim,2019-01-24 12:05:45,renato.rossi,2022-10-08 10:55:49,renato.rossi
30,1138,287,0.00,50.00,max,neu,119942.00,,EL,true,nao,2019-01-24 12:05:45,renato.rossi,2022-10-08 10:55:53,renato.rossi
31,1139,187,0.00,22.50,min,neu,74460.00,18200.00,EL,false,sim,2019-01-24 12:06:54,renato.rossi,2022-10-08 10:55:49,renato.rossi
32,1139,288,0.00,50.00,max,neu,113030.00,,EL,true,nao,2019-01-24 12:06:54,renato.rossi,2022-10-08 10:55:53,renato.rossi
33,1142,188,0.00,22.50,min,neu,61770.00,35000.00,EL,false,sim,2019-01-24 12:08:37,renato.rossi,2022-10-08 10:55:49,renato.rossi
34,1142,289,0.00,50.00,max,neu,117775.00,,EL,true,nao,2019-01-24 12:08:37,renato.rossi,2022-10-08 10:55:53,renato.rossi
35,1150,189,0.00,22.50,min,neu,24061.13,0.00,EL,false,sim,2019-01-24 12:09:49,renato.rossi,2022-10-08 10:55:49,renato.rossi
36,1150,290,0.00,50.00,max,neu,28896.37,,EL,true,nao,2019-01-24 12:09:49,renato.rossi,2022-10-08 10:55:53,renato.rossi
37,1151,190,0.00,22.50,min,neu,92893.50,0.00,EL,false,sim,2019-01-24 12:12:03,renato.rossi,2022-10-08 10:55:49,renato.rossi
38,1151,291,0.00,50.00,max,neu,113536.50,,EL,true,nao,2019-01-24 12:12:03,renato.rossi,2022-10-08 10:55:53,renato.rossi
39,1155,191,0.00,22.50,min,neu,63935.00,31500.00,EL,false,sim,2019-01-24 12:13:20,renato.rossi,2022-10-08 10:55:49,patriciarego
40,1155,292,0.00,50.00,max,neu,103490.00,,EL,true,nao,2019-01-24 12:13:20,renato.rossi,2022-10-08 10:55:53,renato.rossi
41,1001,43,0.00,22.50,min,neu,156970.68,156970.68,EL,false,sim,2019-01-24 17:23:34,renato.rossi,2022-10-08 10:55:49,patriciarego
42,1001,237,0.00,50.00,max,neu,383706.11,0.00,EL,true,nao,2019-01-24 17:23:34,renato.rossi,2022-10-08 10:55:53,patriciarego
43,1166,156,0.00,22.50,min,neu,34100.00,25200.00,EL,false,sim,2019-01-25 11:10:08,renato.rossi,2022-10-08 10:55:49,renato.rossi
44,1166,297,0.00,50.00,max,neu,72464.70,,EL,true,nao,2019-01-25 11:10:08,renato.rossi,2022-10-08 10:55:53,renato.rossi
45,1170,157,0.00,22.50,min,neu,35073.53,35073.53,EL,false,sim,2019-01-25 11:11:44,renato.rossi,2022-10-08 10:55:49,renato.rossi
46,1170,298,0.00,50.00,max,neu,85735.29,,EL,true,nao,2019-01-25 11:11:44,renato.rossi,2022-10-08 10:55:53,renato.rossi
47,1172,159,0.00,22.50,min,neu,40844.12,40844.12,EL,false,sim,2019-01-25 11:13:02,renato.rossi,2022-10-08 10:55:49,renato.rossi
48,1172,300,0.00,50.00,max,neu,99841.17,,EL,true,nao,2019-01-25 11:13:02,renato.rossi,2022-10-08 10:55:53,renato.rossi
