id,idprojeto,nome,descricao,tipo_dado,tipo_controle,valor_esperado,forma_verificacao,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,iddocsobrigatorios,comentario
1,100,Resultado Finalístico 1,Aumentar 30% de fórmulas manipuladas,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
2,61,Resultado Finalístico 1,Aumentar o ticket médio 20% ao final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
3,67,Resultado Finalístico 1,Aumentar de 10% a quantidade de postos de trabalho nas empresas participantes até junho/2015,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
4,88,Resultado Finalístico 1,Aumentar em 3% a quantidade de postos de trabalho das empresas participantes até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
5,95,Resultado Finalístico 1,Aumentar em 5% a quantidade de postos de trabalho das empresas participantes até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
6,1003,Resultado Finalístico 1,Aumentar em 20% a quantidade de clientes atendidos até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
7,1004,Resultado Finalístico 1,Aumentar em 10% a carteira de clientes das empresas nucleadas ao final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
8,71,Resultado Finalístico 1,Aumentar em 24% o faturamento das empresas nucleadas em relação ao mesmo período do ano anterior,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
9,6,Resultado Finalístico 1,"\\\\\\\""Aumentar a carteira de clientes das empresas
participantes em 10% até abril de 20\\\\\\\""",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
10,10,Resultado Finalístico 1,Aumentar em 10% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
11,56,Resultado Finalístico 1,Aumentar em 10% o faturamento das empresas participantes até o fim do projeto;,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
12,82,Resultado Finalístico 1,Aumento no numero de clientes atendidos mensalmente em 4% até o final do projeto;,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
