idprojeto,idparcela,dtrecebsolic,nudocumento,dtsolicinterna,nudocencaminha,dtliberacaorec,vlparcliberada
1,1,2013-07-24,9613,2013-07-25,3,2013-08-29,18530.06
2,1,2013-07-24,9513,2013-07-25,4,2013-08-29,43970.00
3,1,2013-07-24,9213,2013-07-25,16513,2013-11-14,20222.22
4,1,2013-07-24,9213,2013-07-25,12713,2013-09-20,12600.00
5,1,2013-07-24,9213,2013-07-25,12313,2013-09-17,41618.00
6,1,2013-07-24,9413,2013-07-25,6,2013-08-29,15477.00
7,1,2013-07-24,9413,2013-07-25,7,2013-08-30,9782.08
8,1,2013-07-24,9013,2013-07-25,1,2013-08-29,29992.21
9,1,2013-08-18,9013,2013-08-19,2,2013-08-29,29382.27
10,1,2013-07-24,9113,2013-07-25,8,2013-08-29,10888.89
11,1,2013-08-01,9813,2013-08-02,11513,2013-08-29,17764.44
12,1,2013-08-05,10213,2013-08-06,11513,2013-08-29,33444.44
13,1,2013-08-01,9813,2013-08-02,11513,2013-08-29,5012.50
14,1,2013-02-01,9813,2013-08-02,11513,2013-08-29,21777.78
15,1,2013-02-01,9813,2013-08-02,11513,2013-08-29,18330.50
16,1,2013-08-01,9813,2013-08-02,11513,2013-08-29,13084.50
17,1,2013-02-01,9813,2013-08-02,11513,2013-08-29,10719.45
18,1,2013-08-01,9813,2013-08-02,11513,2013-08-29,18957.50
19,1,2013-08-01,9813,2013-08-02,11513,2013-08-29,22312.50
20,1,2013-02-01,9813,2013-08-02,11513,2013-08-29,22611.11
21,1,2013-08-01,9813,2013-08-02,11513,2013-08-29,21388.89
22,1,2013-08-01,9813,2013-08-02,11513,2013-08-29,20309.72
23,1,2013-08-01,9813,2013-08-02,11513,2013-08-29,22403.89
24,1,2013-08-13,10713,2013-08-14,126,2013-09-20,11044.73
25,1,2013-08-05,10213,2013-08-06,11513,2013-08-29,8555.55
26,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,15866.67
27,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,19677.78
28,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,20455.56
29,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,20222.22
30,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,20844.45
31,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,25200.00
32,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,24344.45
33,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,23566.67
34,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,19480.56
35,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,25190.67
36,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,18900.00
38,1,2013-08-24,9313,2013-08-25,11413,2013-08-29,19055.55
39,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,22555.55
40,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,22508.89
41,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,20222.22
42,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,20222.22
43,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,19366.67
44,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,21155.56
45,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,21777.78
46,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,18744.45
47,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,20455.56
48,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,21458.89
49,1,2013-08-01,9713,2013-08-02,12013,2013-09-09,14106.95
50,1,2013-08-01,9713,2013-08-02,12013,2013-09-09,52826.39
51,1,2013-08-05,10113,2013-08-06,11813,2013-09-04,23651.39
52,1,2013-08-05,10113,2013-08-06,12013,2013-09-09,19833.89
53,1,2013-08-05,10113,2013-08-06,12013,2013-09-09,45422.22
54,1,2013-08-05,10113,2013-08-06,12013,2013-09-09,20532.87
55,1,2013-08-05,10113,2013-08-06,11613,2013-08-29,11976.39
56,1,2013-08-05,10113,2013-08-06,12013,2013-09-09,14998.61
57,1,2013-08-05,10113,2013-08-06,11813,2013-09-04,18835.00
58,1,2013-08-25,11113,2013-08-26,12013,2013-09-09,43676.11
59,1,2013-08-01,9713,2013-08-02,11813,2013-09-04,12794.45
60,1,2013-08-05,10113,2013-08-06,11613,2013-08-29,17308.98
61,1,2013-08-01,9713,2013-08-02,11613,2013-08-29,21816.67
62,1,2013-08-01,9713,2013-08-02,11613,2013-08-29,21239.28
63,1,2013-08-01,9713,2013-08-02,11613,2013-08-29,21108.89
64,1,2013-08-01,9713,2013-08-02,11613,2013-08-29,23507.56
65,1,2013-08-01,9713,2013-08-02,12013,2013-09-09,23261.78
66,1,2013-08-13,10813,2013-08-14,11813,2013-09-04,23703.55
67,1,2013-08-01,9713,2013-08-02,11813,2013-09-04,33836.44
68,1,2013-08-01,9713,2013-08-02,11813,2013-09-04,35335.04
69,1,2013-08-25,11113,2013-08-26,12013,2013-09-09,22372.00
70,1,2013-08-08,10413,2013-08-09,11813,2013-09-04,23240.00
71,1,2013-08-05,10113,2013-08-06,11613,2013-08-29,13928.44
72,1,2013-08-05,10113,2013-08-06,11613,2013-08-29,42300.00
73,1,2013-08-05,10113,2013-08-06,11613,2013-08-29,20928.45
74,1,2013-08-01,9713,2013-08-02,11813,2013-09-04,29859.72
75,1,2013-08-13,10813,2013-08-14,12513,2013-09-20,12462.53
76,1,2013-08-25,11113,2013-08-26,11613,2013-08-29,14172.06
77,1,2013-08-01,9713,2013-08-02,12013,2013-09-09,35011.78
78,1,2013-08-05,10113,2013-08-06,11613,2013-08-29,9504.45
79,1,2013-08-25,11113,2013-08-26,11613,2013-08-29,11700.89
80,1,2013-08-01,9713,2013-08-02,12013,2013-09-09,10983.33
81,1,2013-08-01,9713,2013-08-02,11613,2013-08-29,23171.56
82,1,2013-08-01,11813,2013-08-02,11813,2013-09-04,17505.56
83,1,2013-08-01,9713,2013-08-02,12013,2013-09-09,31550.22
84,1,2013-08-25,11113,2013-08-26,11613,2013-08-29,4775.28
85,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,21314.22
86,1,2013-08-01,9713,2013-08-02,11613,2013-08-29,6689.45
87,1,2013-07-24,9313,2013-07-25,11413,2013-08-29,21575.56
88,1,2013-08-08,10413,2013-08-09,12013,2013-09-09,14995.56
92,1,2013-10-23,14313,2013-10-24,16013,2013-11-08,14280.00
93,1,2013-10-23,14413,2013-10-24,17513,2013-12-16,13797.22
94,1,2013-07-24,9413,2013-07-25,6,2013-08-29,6930.00
95,1,2013-08-05,10113,2013-08-06,11813,2013-09-04,15054.67
96,1,2013-08-01,9713,2013-08-02,12013,2013-09-09,14465.28
97,1,2013-07-24,9313,2013-07-25,8,2013-08-29,20331.11
98,1,2013-10-23,14513,2013-10-24,16713,2013-11-14,7014.28
99,1,2013-10-23,14513,2013-10-24,16713,2013-11-14,22795.11
100,1,2013-10-23,14513,2013-10-24,16713,2013-11-14,15798.22
101,1,2014-07-24,12014,2014-09-05,35614,2014-09-16,18666.67
102,1,2016-01-18,1,2016-02-03,632016,2016-02-04,10912.50
103,1,2016-01-18,1,2016-02-03,602016,2016-02-04,10912.50
108,1,2016-01-18,1,2016-02-03,662016,2016-02-04,10912.50
109,1,2016-01-18,1,2016-02-03,102016,2016-02-04,10912.50
110,1,2016-01-19,1,2016-02-11,592016,2016-02-12,10912.50
116,1,2016-01-18,1,2016-02-03,622016,2016-02-04,10912.50
117,1,2016-12-12,1,2016-12-12,6722016,2016-12-15,10912.50
118,1,2016-11-25,1,2016-12-05,6352016,2016-12-09,10912.50
119,1,2016-01-18,1,2016-02-03,682016,2016-02-04,10912.50
120,1,2016-01-29,1,2016-02-03,6916,2016-02-04,10912.50
121,1,2016-01-18,1,2016-02-03,712016,2016-02-04,10912.50
122,1,2016-01-18,1,2016-02-03,7016,2016-02-04,10912.50
123,1,2016-03-09,1,2016-03-09,722016,2016-03-11,10912.50
124,1,2016-01-20,1,2016-02-03,7316,2016-02-04,10912.50
125,1,2016-01-18,1,2016-02-03,10416,2016-02-04,10912.50
126,1,2016-01-18,1,2016-02-03,7516,2016-02-04,10912.50
127,1,2016-01-18,1,2016-02-03,762016,2016-02-04,10912.50
128,1,2016-01-18,1,2016-02-03,772016,2016-02-04,10912.50
129,1,2016-02-01,1,2016-02-03,782016,2016-02-04,10912.50
130,1,2016-01-18,1,2016-02-03,792016,2016-02-04,10912.50
132,1,2016-01-29,1,2016-02-03,812016,2016-02-04,10912.50
133,1,2016-01-13,1,2016-01-13,816,2016-02-03,10912.50
134,1,2016-01-18,1,2016-02-03,742016,2016-02-04,10912.50
135,1,2016-03-18,1,2016-03-18,822016,2016-03-23,10912.50
136,1,2016-01-18,1,2016-02-03,832016,2016-02-19,10912.50
137,1,2015-09-27,1,2016-02-03,8416,2016-02-19,10912.50
138,1,2016-01-18,1,2016-02-03,852016,2016-02-04,10912.50
139,1,2016-09-29,1,2016-11-21,5672016,2016-12-06,10912.50
140,1,2016-02-10,1,2016-02-10,872016,2016-02-11,10912.50
141,1,2016-01-18,1,2016-02-03,882016,2016-02-04,10912.50
142,1,2016-01-19,1,2016-02-12,892016,2016-02-12,10912.50
143,1,2016-01-18,1,2016-02-03,902016,2016-02-04,10912.50
144,1,2016-01-18,1,2016-02-03,912016,2016-02-04,10912.50
145,1,2016-01-18,1,2016-02-03,922016,2016-02-04,10912.50
146,1,2016-01-18,1,2016-02-03,932016,2016-02-04,10912.50
