idprojeto,idnucleo,nmprojeto,dtini,dtfim,dsobjetivo,vlcacb,vltotal,idbanco,dsagencia,dsconta,flcompleto,nuctr,operacao,termoadt,dspublicoalvo,dsresultado,dtassinaturaadt,flstatus,idgestorprojeto,vlcontrafinan,vlcontraecono,vlsubtotal,dsprojeto,nuduracao,identidadeprop,dsresultado2,dsresultado3,idprojeto_projeto_base,tipo_projeto,sistematica_financeira,forma_liberacao,orcamento_obrigatorio,identidadeexec,nmfantasia,dtini_realizada,dtfim_realizada,iddocsanexar,iddocsencerramento,idmodelosimpressao,dtfim_nova,dtini_nova,conta_tipo,pix_tipo,pix_chave,termino_solicitado,pj_restrito,premissas,id_projeto_classe,moeda_adicional,metas_vinculadas,financiamento_compartilhado,conta_corrente_cacb
1,22141,Projeto do Núcleo de Ótica da Associação de Maceió,2013-08-01,2015-01-08,Aumentar a competitividade das empresas participantes por meio de ações relacionadas a qualificação profissional e desenvolvimento técnico e tecnológico.,74120.2400000000,132357.02,1  ,1523-7,36050-3,nao  ,,,122,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,"modificado em 17 de setembro - apenas um teste, depois será apagado - Aumentar o volume de vendas em 10% até fevereiro de 2014 e em 15% até agosto de 2014 e 20% até julho de 2015.",2013-08-01,concl,05325036432,41533.6300000000,16703.1500000000,58236.7800000000,"O Projeto de Óticas foi apresentado aos empresários no dia 10 de abril de 2012, também participaram desta reunião os parceiros do projeto o SINDIÓPTICO e o Conselho de Óptica e Optometria do estado de Alagoas. De acordo com o Sindicato, o segmento é composto de 400 óticas formais, sendo que 110 estão vinculados ao Sindicato. Deste universo de empresas, 90% são micro e pequena empresa, cadastradas no Simples, tendo um faturamento médio mensal de R$ 10.000,00. A média de postos de trabalho oferecidos gira em torno de nove colaboradores por empresa, gerando mais de 2.500 empregos diretos. Este projeto tem como prioridade o aumento da Competitividade do seguimento focando a qualificação da mão de obra local.",24,1,Aumentar o número de clientes em 10% até fevereiro de 2014 e em 15% até agosto de 2014 e 20% até julho de 2015.,,190,APOIADO,,,,,AL - MACEIO - Ópticas,2013-08-01,2015-01-08,,,,2015-01-08,2013-08-01,Corrente,,,,false,,,,false,,false
2,22224,Pontalina a Cidade da Moda - II Edição,2013-08-01,2015-08-01,"Posicionar o polo de confecções com reconhecimento no principal mercado nacional;

Promover a melhoria na qualidade dos Produtos Oferecidos pelas Empresas de Confecções;

Aumentar a competitividade com base na melhoria dos processos empresariais;

Aumenta",175880.0000000000,314071.44,1  ,0704-8,21877-4,nao  ,,,212,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar em 20% faturamento das empresas participantes até o fim do projeto,2013-08-01,concl,47051035134,69095.7200000000,69095.7200000000,138191.4400000000,"Pontalina é uma Cidade com 17 mil habitantes e possui um grande número de indústrias de Confecções o que representa a maior parte dos empregos gerados no município, Dentre as variedades de empreendimentos podem ser observados várias empresas no segmento de confecções de roupas em moda íntima jeans e modinha. A apresentação do projeto Pontalina a Cidade da Moda - II Edição visa dar continuidade aos avanços importantes para o setor obtidos na primeira edição, Nesta nova etapa temos a missão de solidificar nossa posição no mercado com sustentabilidade. Certo de que com o apoio financeiro e econômico das entidades e empresas participantes do núcleo empreender de confecções e através de parcerias sólidas hoje visualizamos um novo horizonte que possibilitará as empresas crescerem ainda mais. Dentre as ações propostas, nos orientamos pela necessidade de disponibilidade constante de mão de obra qualificada, Marketing do polo, capacitação dos empresários e funcionários. Propomos aqui ações conjuntas de grande importância para o fortalecimento das empresas e geração de emprego e renda no Município.",24,2,Promover a melhoria de pelo menos 05 processos empresariais nos empreendimentos participantes até o fim do projeto,Aumentar a carteira de clientes em 20% nas empresas participantes até o fim do projeto,190,APOIADO,,,,,GO - PONTALINA - Confecções - indústria,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
3,22143,Empreender Competitivo: Bares e Restaurantes (Alimentação fora do Lare Similares) de Uberaba - MG,2013-08-01,2015-08-01,"Incrementar a competitividade das empresas através da capacitação de seus colaboradores desenvolvendo e implementando ações que promovam a melhoria dos produtos e serviços, processos de informação e gestão, o acesso a novos mercados, o fortalecimento do associativismo e a sustentabilidade do setor.",80888.8600000000,144444.40,104,84,3542-7,nao  ,,,126,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Elevar o faturamento médio por empresa em 5% até julho de 2014 e mais 10% até julho de 2015,2013-08-01,concl,21873299842,31777.7700000000,31777.7700000000,63555.5400000000,"O setor de Bares e Restaurantes possui um papel fundamental no desenvolvimento do turismo. A experiência gastronômica é um dos critérios mais citados como parte fundamental na satisfação de qualquer visitante. Uberaba é um importante centro de negócios e possui um rico calendário de eventos. Oferece uma completa rede de serviços de alimentação e lazer e são aproximadamente 380 estabelecimentos entre restaurantes, lanchonetes, cafés e outros. Continuar apoiando o grupo de empresas participantes do Núcleo é fundamental para estimular o desenvolvimento e a competitividade dos negócios promovendo ações estratégicas e relevantes com vistas á melhoria dos resultados desses empreendimentos.",24,3,Ampliar a quantidade de postos de trabalho em 10 % até dezembro de 2014 e mais 10% até julho de 2015,Ter 50% das empresas participantes com processos de qualidade implementados em até julho de 2014 e mais 30% até julho de 2015,190,APOIADO,,,,,MG - UBERABA - Bares restaurantes e lanchonetes,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
4,22144,Artesanato de Uberlândia: a busca por novos mercados,2013-08-01,2015-08-01,Desenvolver novos canais de venda e distribuição de produtos artesanais e contribuir para inserção do artesanato de Uberlândia no mercado nacional.,50400.0000000000,90000.00,104,84,3542-7,nao  ,,,127,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,"Elevar a produção do artesanato em 5% em 2014, 10% em 2015.",2013-08-01,concl,21873299842,19800.0000000000,19800.0000000000,39600.0000000000,"O Núcleo de Artesanato da ACIUB, fundado em abril de 2010, tem como foco produzir o que o mercado consumidor deseja e nos mais altos padrões de qualidade. O núcleo sempre busca a qualificação e aperfeiçoamento da produção. Contudo, existe uma dificuldade para os artesãos que desejam sobreviver de sua arte; encontrar os mecanismos de colocação da sua produção no mercado e também buscar através do associativismo as parcerias necessárias para isso.
O que caracteriza o artesanato é a transformação da matéria prima em objetos úteis. O artesão reproduz objetos que chegaram até ele através da tradição familiar ou cria novos de acordo com suas necessidades.
Dada sua importância histórica, o artesanato abrange muitos valores, os quais hoje o tornam reconhecido, universalmente.
Possibilitando ao artesão melhores condições de vida e atuando conta o desemprego, o artesanato é considerado elemento de equilíbrio no país e fator de coesão.
A ênfase principal para o atendimento do segmento será o incentivo à conquista de novos mercados, participação em feiras de artesanato nacionais e aumento de participação de mercado.",24,3,"Consolidar 2 novos canais de vendas durante o projeto, sendo 1 em 2014 e 1 em 2015.",,190,APOIADO,,,,,MG - UBERLANDIA - Artesanato,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
5,22145,Consolidação Uberlândia como Capital Nacional da Logística,2013-08-01,2015-08-01,"Consolidar Uberlândia como capital nacional da logística, realizando eventos de integração entre empresas e fornecedores, melhorando a disponibilidade de mão de obra especializada e preparando os gestores das empresas para gestão do pólo nacional da logística.",166472.0000000000,297272.00,104,84,3542-7,nao  ,,,128,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,"Capacitar 40% dos colaboradores nas empresas do núcleo até 2014, 60% até 2015.",2013-08-01,concl,21873299842,85800.0000000000,45000.0000000000,130800.0000000000,"A localização privilegiada, no centro de uma malha viária que liga os quatro pontos cardeais do País, foi decisiva para que Uberlândia (MG) virasse um importante centro de distribuição de mercadorias.
A economia do município com 650 mil habitantes, tem passado por transformações nos últimos anos. O setor atacadista ainda é muito forte, mas outras empresas de logística e transporte de carga têm conquistado seu espaço em Uberlândia.
Uberlândia tem mais de 30 centros de distribuição de grandes empresas de outros ramos, como a AmBev, a Natura e a Coca-Cola.
A ACIUB e a Prefeitura de Uberlândia, com vários parceiros, trabalha o Projeto Plataforma de Valor do Brasil Central, cujo objetivo é fazer melhorias de infraestrutura e estratégia em tudo o que diga respeito a transporte e logística de mercadorias no município.
Como braço da Plataforma de Valor do Brasil Central, o NTLI- Núcleo de Transporte e Logística Integrada – é um núcleo do Programa Empreender, da ACIUB, criado a partir do NIL – Núcleo Integrado de Logística, da mesma entidade. Criado em agosto de 2009, a proposta deste núcleo setorial é colaborar na consolidação da cidade como Capital Nacional da logística.
Várias ações foram desenvolvidas pelo núcleo. Dentre elas podemos destacar participação na organização juntamente com a ACIUB da FENIUB Logística 2011, a primeira feira de logística do município que gerou mais de R$ 5 milhões de reais em negócios em torno dos 76 expositores. Organizou também, a Movimenta, outro feira de logística, com amplitude internacional, em 2012. A Movimenta – Feira Internacional de Logística de Uberlândia reuniu centenas de expositores brasileiros e de outros países para gerar negócios internacionais, além de trocar experiência e divulgar novas tecnologias, produtos e serviços.
A ênfase principal para o atendimento ao segmento será o incentivo à preparação das lideranças para gestão do polo nacional de logística, o incentivo a formação da rede de integração de empresas de logística de Uberlândia e região, divulgação de Uberlândia como polo nacional da logística.",24,3,"Gerar negócios de R$ 2 milhões de reais em 2014, e R$ 4 milhões de reais em 2015 nos eventos do projeto.",Aumentar o faturamento das empresas no núcleo em 10% até 2014 e 15% até 2015.,190,APOIADO,,,,,MG - UBERLANDIA - Transportadoras,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
6,22142,Auto Peças e Auto Mecânicas,2013-08-01,2015-08-01,"Fortalecer as empresas participantes do grupo através do acesso às tendências do setor com participações e exposições em feiras, capacitações para gestores e funcionários em especial à melhoria da gestão ambiental.",61908.0000000000,110550.00,1  ,22-1,230.268-3,nao  ,,,123,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,"\\\\\\\""Aumentar a carteira de clientes das empresas
participantes em 10% até abril de 20\\\\\\\""",2013-08-01,concl,72100370472,24321.0000000000,24321.0000000000,48642.0000000000,"O projeto é composto por 12 empresas que geram em média 03 empregos diretos cada uma delas, com um faturamento mensal médio de 10.000,00. A ênfase principal para o atendimento do segmento será o incentivo à inovação de gestão ambiental, promover a cultura do associativismo e aumento de participação do mercado.",24,5,Aumentar o faturamento em 15% até abril 2015,,190,APOIADO,,,,,RN - APODI - Automecânicas,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
7,22227,Salões de Beleza de Caicó e Cruzeta - RN,2013-08-01,2015-08-01,Capacitar os participantes para adoção de práticas e técnicas inovadoras na execução dos serviços com a participação em feiras e realização de consultorias.,39128.3200000000,69872.00,1  ,22-1,230.268-3,nao  ,,,125,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,"\\\\\\\""Reduzir em 30% o desperdício gerado pelo mau uso
da matéria prima em 2015.\\\\\\\""",2013-08-01,concl,72100370472,15371.8400000000,15371.8400000000,30743.6800000000,"O projeto é composto por 10 empresas do segmento de beleza que geram no mínimo 5 empregos diretos cada uma delas, com um faturamento mensal médio de R$ 20.000,00. O atendimento ao segmento tem como foco gerar sustentabilidade do negócio através da união dos empresários buscando solucionar problemas comuns do setor. Viabilizando a introdução de práticas inovadoras e técnicas de trabalho que aumentam a competitividade das mesmas e otimizem a capacidade instalada de cada uma com a implantação de fluxograma nos processos e atividades desenvolvidas pela empresa.",24,5,Aumentar em 20% da carteira de clientes,,190,APOIADO,,,,,RN - CAICO - Salões de beleza e cabeleireiros,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
8,22139,Núcleo Setorial Moveleiro,2013-08-01,2015-08-01,"Elevar as vendas por meio da implementação de novas tecnologias,
inovações e mercados.",119968.8400000000,237730.08,1  ,2871-1,65000-5,nao  ,,,120,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,"Incrementar em 5% a quantidade de pessoas ocupadas nas empresas
até o fim do projeto",2013-08-01,concl,01263795056,76287.6000000000,41473.6400000000,117761.2400000000,"Em uma iniciativa da Microempa, há 21 anos, organizou-se o Grupo
da Madeira com o objetivo de buscar melhores condições de trabalho e
qualificação profissional. Em 2005, com a necessidade de ter identidade
própria, foi criado o Grupo Empresarial do Mobiliário de Caxias do Sul
(Emob). Hoje conta com 16 empresas em diferentes áreas dentro do setor
moveleiro. Segundo os dados de 2011 da MOVERGS (Associação das
Indústrias de Móveis do Estado do Rio Grande do Sul) o setor moveleiro no
Rio Grande do Sul é formado por um conjunto de 2.370 empresas, o que
representa 14,4% do total de empresas no Brasil. Deste universo 94% são
micro e pequenas empresas. Em Caxias do Sul existem 182 empresas que
geram 2.277 postos de trabalho formais. O faturamento do setor moveleiro
no Rio Grande do Sul em 2011 foi de R$ 5,6 bilhões. Com este projeto
almeja-se o incremento nas vendas das empresas, buscar novas tecnologias
e inovações, além de prospectar novas interações comerciais.",24,6,Incrementar a venda de produtos em 7% até o fim do projeto,,190,APOIADO,,,,,RS - CAXIAS DO SUL - Móveis - indústria,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
9,22140,AGEEL Grupo das Empresas Eletroeletrônicas,2013-08-01,2015-08-01,"Promover melhoria nos processos, bem como aumento do faturamento, por meio de visitas técnicas e capacitação para colaboradores e empresários.",117529.0900000000,218373.39,1  ,2871-1,45471-0,nao  ,,,119,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Incrementar em 10% o faturamento das empresas participantes até o final do projeto.,2013-08-01,concl,01263795056,77191.7000000000,23652.6000000000,100844.3000000000,"A Associação Gaúcha de Empresas Eletroeletrônicas – AGEEL - com
sede no município de Caxias do Sul – RS foi fundada no dia 22 de março
de 2010 com modelo associativo que tem através da cooperação o
objetivo de garantir competitividade para micro e pequenas empresas do
segmento eletroeletrônico. A associação iniciou com o apoio do governo
estadual, através da Secretaria de Desenvolvimento e dos Assuntos
Internacionais (SEDAI) e hoje está amparada pelas políticas da Associação
das Empresas de Pequeno Porte do RS (Microempa). Segundo os dados de
2011 da Associação Brasileira da Indústria Elétrica e Eletrônica (ABINEE)
foram identificadas 198 empresas na indústria elétrica e eletrônica no Rio
Grande do Sul que empregam pouco mais de 21mil funcionários. A cidade
de Caxias do Sul conta 16% das empresas do RS. O faturamento do setor
no Rio Grande do Sul em 2011 foi de R$ 4,6 bilhões. Com este projeto
almeja-se o incremento no faturamento das empresas, melhoria nos
processos produtivos, buscar novas tecnologias e inovações, além de
prospectar novas interações comerciais.",24,6,Aumentar em 4% a quantidade de pessoas ocupadas nas empresas participantes até o final do projeto.,,190,APOIADO,,,,,RS - CAXIAS DO SUL - Eletro-eletrônicos,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
10,22138,Capacidade Técnica - REVFAR,2013-08-01,2015-08-01,"Promover o desenvolvimento das micro e pequenas empresas, participantes da REVFAR - Rede de Reparadores Veiculares associados a CICS - Câmara da Indústria, Comércio e Serviços de Farroupilha, através de projeto de Capacitação Tècnica.",43555.5600000000,77777.78,1  ,4863,37054-1,nao  ,,,121,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar em 10% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto,2013-08-01,concl,38639254087,17111.1100000000,17111.1100000000,34222.2200000000,"A REVFAR é composta por 21 empresa de reparação veicular que reunen-se periodicamente com a metodologia do Empreender desde 2006, para resolverem problemas, trocar conhecimentos e buscar experiências que promovam o desenvolvimento sustentável de suas empresas..
O atual desafio das oficinas mecânicas independentes é competir com a “garantias estendidas” oferecida pelas fábricas e concessionárias e acompanhar o constante avanço tecnológico dos veículos somados a estrutura física dos grandes concorrentes, aos modernos equipamentos e atendimento diferenciado que podem oferecer a seus clientes.
Diante desta realidade os empresários da REVFAR pretendem implementar o projeto de Capacitação Tecnológica, para que em rede possam buscar o conhecimento necessário para competir neste mercado dinâmico.",24,7,Aumentar em 10% o faturamento das empresas participantes até o fim do projeto,,190,APOIADO,,,,,RS - FARROUPILHA - Automecânicas,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
