idramoativ,nmramoativ
0111200,CULTIVO DE CEREAIS
0111201,CULTIVO DE ARROZ
0111202,CULTIVO DE MILHO
0111203,CULTIVO DE TRIGO
0111299,CULTIVO DE OUTROS CEREAIS
0112000,CULTIVO DE ALGODÃO HERBÁCEO
0113900,CULTIVO DE CANA DE AÇÚCAR
0114700,CULTIVO DE FUMO
0115500,CULTIVO DE SOJA
0115501,COM VAREJISTA DE SOJA
0119800,CULTIVO DE OUTROS PROD TEMPORÁRIOS
0119801,CULTIVO DE ABACAXI
0119802,CULTIVO DE AMENDOIM
0119803,CULTIVO DE BATATA INGLESA
0119805,CULTIVO DE MANDIOCA
0119806,CULTIVO DE FEIJÃO
0119807,CULTIVO DE JUTA
0119808,CULTIVO DE MAMONA
0119809,CULTIVO DE MELÃO
0119810,CULTIVO DE TOMATE
0119811,CULTIVO HORTALIÇAS LEGUMES ESP HORTICOL
0119816,PROD SEMENTES CERTIFICADAS P/ PASTO-FORR
0119899,PRODUÇÃO DE OUTRAS LAVOURAS TEMPORÁRIAS
0121001,CULTIVO DE CEBOLA
0121002,CULTIVO DE ALHO
0121003,CULTIVO DE MORANGO
0121099,CULTIVO DE OUTROS PRODUTOS HORTICULTURA
0122800,CULTIVO FLORES PLANTAS ORNAMENTAIS
0122801,COM VAREJISTA DE FOLHAGEM EM GERAL
0131700,CULTIVO FRUTAS CÍTRICAS
0131701,CULTIVO DE LARANJA
0131799,CULTIVO DE OUTROS CÍTRICOS
0132500,CULTIVO DE CAFÉ
0133300,CULTIVO DE CACAU
0134100,CULTIVO DE UVA
0139200,CULTIVO OUTRAS FRUTAS FRUTOS SECOS
0139201,CULTIVO DE BANANA
0139202,CULTIVO DE CAJU
0139203,CULTIVO DE COCO DA BAHIA
0139204,CULTIVO DE PIMENTA DO REINO
0139205,CULTIVO DE CHA DA INDIA
0139206,CULTIVO DE MAÇA
0139207,CULTIVO DE MAMÃO
0139208,CULTIVO DE MANGA
0139209,CULTIVO DE MARACUJA
0139210,CULTIVO DE ERVA MATE
0139211,CULTIVO DE ACAI
0139212,CULTIVO DE PESSEGO
0139213,CULTIVO DE SERINGUEIRA
0139214,CULTIVO DE GUARANA
0139215,CULTIVO DE DENDE
0139216,CULTIVO OUTRAS PLANTAS PARA CONDIMENTO
0139217,CULTIVOS AQUATICOS NAO ESPECIFICADOS
0139299,CULTIVO OUTROS PRODS LAVOURA PERMANENTE
0141400,CRIACAO DE BOVINOS
0141401,CRIACAO DE BOVINOS PARA CORTE
0141402,CRIACAO DE BOVINOS PARA LEITE
0142200,CRIACAO OUTROS ANIMAIS GRANDE PORTE
0142201,CRIACAO DE BUBALINOS
0142202,CRIACAO DE EQUINOS
0142299,CRIACAO OUTROS ANIMAIS DE GRANDE PORTE
0143000,CRIACAO DE OVINOS E PRODUCAO DE LA
0144900,CRIACAO DE SUINOS
0145700,CRIACAO DE AVES
0145701,CRIACAO DE GALINACEOS PARA CORTE
0145702,CRIACAO DE PINTOS DE UM DIA
0145703,CRIACAO DE OUTRAS AVES
0145704,PRODUCAO DE OVOS
0145705,COM ATAC AVES PEQ ANIMAIS E DERIVADOS
0146500,CRIACAO DE OUTROS ANIMAIS
0146501,CRIACAO DE CAPRINOS
0146502,SERICICULTURA
0146503,APICULTURA
0146504,RANICULTURA
0146505,CRIACAO DE ESCARGOT
0146506,CRIACAO DE ANIMAIS DOMESTICOS
0146599,CRIACAO DE OUTROS ANIMAIS
0150300,PRODUCAO MISTA LAVOURA E PECUARIA
0161900,ATIV SERV RELACIONADOS AGRICULTURA
0161901,SERV JARDINAGEM PLANTIO GRAMADO
0161902,SERV PULVERIZACAO AEREA
0161903,SERVICO DE PODA DE ARVORES
0161904,SERVICO DE COLHEITA
0161905,SERV RELAC TRAT PRODS AGRICOLAS
0161906,COM VAREJISTA EQUIP DE JARDINAGEM
0161907,AGROPECUÁRIA
0161999,OUTRAS ATIV SERV RELAC AGRICULTURA
0162700,SERV RELAC PECUARIA EXCETO VETERINARIAS
0162701,SERVICO INSEMINACAO ARTIFICIAL
0162702,SERVICO INSPECAO SANITARIA
0162703,SERVICO DE TOSQUIAMENTO DE OVELHAS
0162704,SERVICO DE MANEJO DE ANIMAIS
0162799,OUTRAS ATIV SERV RELAC COM A PECUARIA
0211900,SILVICULTURA
0211901,CULTIVO DE EUCALIPTO
0211902,CULTIVO DE ACACIA
0211903,CULTIVO DE PINUS
0211904,CULTIVO DE TECA
0211905,CULTIVO DE OUTRAS ESPECIES MADEIRA
0211906,CULTIVO DE VIVEIROS FLORESTAIS
0212700,EXPLORACAO FLORESTAL
0212701,EXTRACAO DE MADEIRA
0212702,PRODUCAO DE CASCA DE ACACIA
0212703,COLETA DE LATEX (BORRACHA EXTRATIVA)
0212704,COLETA DE CASTANHA DO PARA
0212705,COLETA DE PALMITO
0212799,COLETA OUTROS PROD FLORESTAIS SILVESTRES
0213500,ATIV SERV REL SILVICULT EXPLOR FLORESTAL
0511800,PESCA
0511801,PESCA DE PEIXES
0511802,"PESCA DE CRUSTACEOS, MOLUSCOS"
0511803,COLETA DE PRODUTOS ORIGEM MARINHA
0511804,ATIV SERV RELACIONADOS A PESCA
0512600,AGRICULTURA
0512601,CRIACAO DE PEIXES
0512602,CRIACAO DE CAMAROES
0512603,CRIACAO DE MARISCOS
0512604,CRIACAO DE PEIXES ORNAMENTAIS
0512605,ATIV SERV RELAC A AGRICULTURA
0512606,RANICULTURA
0512699,OUTROS CULTIVOS SEMICULTIVOS AGRICULTURA
1000600,EXTRACAO DE CARVAO MINERAL
1000601,EXTRACAO DE CARVAO MINERAL
1000602,BENEFICIAMENTO DE CARVAO MINERAL
1110000,EXTRACAO PETROLEO E GAS NATURAL
1110001,EXTRACAO DE PETROLEO E GAS NATURAL
1110002,EXTRACAO E BENEFICIAMENTO DE XISTO
1110003,EXTRACAO BENEF AREIAS BETUMINOSAS
1111111,TESTE INSERT
1120700,SERV REL EXTRACAO PETROLEO GAS EXCETO
1310200,EXTRACAO DE MINERIO DE FERRO
1310201,EXTRACAO DE MINERIO DE FERRO
1310202,PELOTIZACAO SINTERIZACAO MINERIO FERRO
1321800,EXTRACAO DE MINERIO ALUMINIO
1321801,EXTRACAO DE MINERIO DE ALUMINIO
1321802,BENEFICIAMENTO MINERIO DE ALUMINIO
1322600,EXTRACAO DE MINERIO ESTANHO
1322601,EXTRACAO DE MINERIO DE ESTANHO
1322602,BENEFICIAMENTO DE MINERIO DE ESTANHO
1323400,EXTRACAO DE MINERIO MANGANES
1323401,EXTRACAO DE MINERIO DE MANGANES
1323402,BENEFICIAMENTO DE MINERIO DE MANGANES
1324200,EXTRACAO DE MINERIO METAIS PRECIOSOS
1324201,EXTRACAO DE MINERIOS DE METAIS PRECIOSOS
1324202,BENEF MINERIO METAIS PREC ASSOC CONT EXT
1324203,EXTRACAO DE MINERAIS
1324204,EXTRACAO DE MINERAIS METALICOS
1324205,"EXTRACAO DE OURO PRATA PLATINA, ETC"
1324206,EXTRACAO DE URANIO TORIO AREIA MONAZITIC
1324207,EXTRACAO DE ITABIRITO HEMATITA CANGA ETC
1324208,COM VAREJISTA DE OURO E PRATA
1325000,EXTRACAO DE MINERAIS RADIOATIVOS
1329300,EXTRACAO OUT MINERAIS METAL NAO FERROSOS
1329301,EXTRACAO DE NIOBIO E TITANIO
1329302,EXTRACAO DE TUNGSTENIO
1329303,EXTRACAO DE NIQUEL
1329304,"EXTRACAO COBRE,CHUMBO,ZINCO OUT MINERAIS"
1329305,BENEF COBRE CHUMBO ZINCO NIQUEL OUT MET
1329399,"BENEF COBRE,CHUMBO,ZINCO,NIQUEL"
1410900,EXTRACAO DE PEDRA AREIA ARGILA
1410901,EXTRACAO DE ARDOSIA BENEF ASSOCIADO
1410902,EXTRACAO GRANITO BENEF ASSOCIADO
1410903,EXTRACAO DE MARMORE BENEF ASSOCIADO
1410904,"EXTRACAO CALCARIO,DOLOMITA BENEF ASSOC"
1410905,EXTRACAO GESSO E CAULIM BENEF ASSOCIADO
