idrecurso,nmrecurso,descricao,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao,grupo,nome
1,aca_adici,Permite adicionar ações,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Ações,Adição de ação
2,aca_consu,Permite consultar lista/detalhe das ações,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Ações,Consulta lista e detalhes de ação
3,aca_edita,Permite editar ações,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Ações,Edição de ações
4,aca_exclu,Permite excluir ação do projeto,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Exclusão de ação de projeto
5,aca_expor,Permite exportar lista de ações do projeto,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Ações,Exportação de lista ações
6,ace_adici,Permite adicionar entidades,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Entidades,Adição de Entidades
7,ace_consu,Permite consultar lista/detalhe das entidades,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Entidades,Consulta lista e detalhes de Entidades
8,ace_defge,Permite definir o gestor das entidades.,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Entidades,Definição de gestor de Entidade
9,ace_edita,"Permite editar entidades. Também inclui ""pedir atualização""",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Entidades,Edição de Entidades
10,ace_expor,"Permite exportar lista de entidades, bem como os contatos dessa entidade.",2020-03-23 12:52:35,,2022-08-31 22:58:27,emanoel,Entidades,Exportação de lista de Entidades e Contatos
11,aco_adici,Permite adicionar acompanhamentos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Acompanhamentos,Adição de acompanhamento
12,aco_consu,Permite consultar lista/detalhe dos acompanhamentos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Acompanhamentos,Consulta lista e detalhes de acompanhamentos
13,aco_edita,Permite editar acompanhamentos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Acompanhamentos,Edição de acompanhamentos
14,aco_exclu,Permite excluir acompanhamentos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Acompanhamentos,Exclusão de acompanhamento
15,aco_expor,Permite exportar lista de acompanhamentos do projeto,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Ações,Exportação de lista de acompanhamentos
16,adm_files,Permite gerenciar os arquivos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Arquivos,Gerenciamento de arquivos
17,adm_utils,Permite acesso ao módulo ADM do portal,2020-03-23 12:52:35,,2021-02-19 09:22:14,renato.rossi,ADM,Acesso ADM
18,cur_permi,"Permite adicionar os relatórios gerados,Permite consultar currículos e usuários do sistema de currículos, Permite consultar currículos e usuários do sistema de currículos",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Relátorios,Adição de relatório II
19,dah_grsta,Permite consultar o gráfico de status das ações,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Lançamentos,Consulta ao gráfico de status das ações
20,dah_grstl,Permite consultar o gráfico de status dos lançamentos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Lançamentos,Consulta ao gráfico de status de lançamentos
21,dah_grstp,Permite consultar o gráfico de status dos projetos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Lançamentos,Consulta ao gráfico de status de lançamentos
22,dah_icinc,Permite consultar o indicador 5 (Planos de Ação),2020-03-23 12:52:35,,2020-03-23 12:52:35,,Indicadores,Consultar do indicador 5 (Planos de Ação)
23,dah_idois,Permite consultar o indicador 2 (Resumo do Empreender Competitivo),2020-03-23 12:52:35,,2020-03-23 12:52:35,,Indicadores,Consulta do indicador 2 (Resumo do Empreender Competitivo)
24,dah_indum,Permite consultar o indicador 1 (Atividade dos Cadastros),2020-03-23 12:52:35,,2020-03-23 12:52:35,,Indicadores,Consulta do indicador 1 (Atividade dos Cadastros)
25,dah_ioito,Permite consultar o indicador 8 (Quadro Acesso ao Sistema),2020-03-23 12:52:35,,2020-03-23 12:52:35,,Indicadores,Consultar do indicador 8 (Quadro Acesso ao Sistema)
26,dah_iquat,Permite consultar o indicador 4 (Reuniões),2020-03-23 12:52:35,,2020-03-23 12:52:35,,Reuniões,Consulta do indicador 4 (Reuniões)
27,dah_iseis,Permite consultar o indicador 6 (Projetos com Lançamentos Pendentes de Aprovação),2020-03-23 12:52:35,,2020-03-23 12:52:35,,Indicadores,Consultar do indicador 6 (Projetos com Lançamentos Pendentes de Aprovação)
