idrelatorio,idtemplrel,nmrelatorio,tpgestor,argroup,arfield,arorder,arwhere,dsrelatorio,arwherelista,tpagrup,dtcriado,dtultimaalteracao
3,proxaca,Prazos das ações,cacb,,"a:11:{s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:12:""nuc.nmnucleo"";N;s:13:""pro.nmprojeto"";N;s:9:""pro.dtini"";N;s:9:""pro.dtfim"";N;s:10:""aca.nuacao"";N;s:10:""aca.stacao"";N;s:10:""aca.nmacao"";N;s:12:""aca.dtinicio"";N;s:6:""adtfim"";s:19:""aca.dtfim AS adtfim"";}","a:3:{s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";s:6:""nucleo"";s:3:""asc"";}",,Informações diversas sobre as ações de todos os projetos,"a:1:{i:0;s:2:""uf"";}",,2014-04-10,2014-04-18
4,proxaca,Ações II,cacb,,"a:6:{s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:12:""nuc.nmnucleo"";N;s:10:""aca.nuacao"";N;s:10:""aca.nmacao"";N;s:10:""aca.dsacao"";N;}","a:2:{s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";}",,"UF, Cidade, Núcleo, Nome e Descrição","a:1:{i:0;s:2:""uf"";}",,2014-04-11,2014-04-11
9,proxlan,Data do pagamento,cacb,,"a:10:{s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:13:""pro.nmprojeto"";N;s:10:""lan.idlanc"";N;s:14:""lan.tpfonterec"";N;s:15:""lan.dtaprovacao"";N;s:15:""lan.dtpagamento"";N;s:10:""lan.tplanc"";N;s:12:""lan.flecofin"";N;s:10:""lan.vllanc"";N;}","a:3:{s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";s:4:""proj"";s:3:""asc"";}",,verificar data de pagamento,"a:1:{i:0;s:2:""uf"";}",,2014-11-04,
10,proxaca,Término de projetos,cacb,,"a:4:{s:12:""cdd.nmcidade"";N;s:14:""epp.nmentidade"";N;s:12:""nuc.nmnucleo"";N;s:9:""pro.dtfim"";N;}","a:2:{s:5:""cidad"";s:3:""asc"";s:6:""nucleo"";s:3:""asc"";}",,Relaciona as datas de encerramento dos projetos,"a:1:{i:0;s:5:""cidad"";}",,2014-11-12,
12,proxlan,EC 2013 - Receitas e Despesas,cacb,"cdd.iduf, cdd.nmcidade","a:9:{s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:8:""totalpro"";s:42:""COUNT(DISTINCT pro.idprojeto) AS totalproj"";s:7:""vlrcacb"";s:102:""SUM(CASE WHEN lan.tpfonterec = 'rcacb' AND lan.tplanc = 'recei' THEN lan.vllanc ELSE 0 END) AS vlrcacb"";s:7:""vlrcsub"";s:102:""SUM(CASE WHEN lan.tpfonterec = 'contr' AND lan.tplanc = 'recei' THEN lan.vllanc ELSE 0 END) AS vlrcsub"";s:6:""vlrtot"";s:72:""SUM(CASE WHEN lan.tplanc = 'recei' THEN lan.vllanc ELSE 0 END) AS vlrtot"";s:7:""vldcacb"";s:102:""SUM(CASE WHEN lan.tpfonterec = 'rcacb' AND lan.tplanc = 'despe' THEN lan.vllanc ELSE 0 END) AS vldcacb"";s:7:""vldcsub"";s:102:""SUM(CASE WHEN lan.tpfonterec = 'contr' AND lan.tplanc = 'despe' THEN lan.vllanc ELSE 0 END) AS vldcsub"";s:6:""vldtot"";s:72:""SUM(CASE WHEN lan.tplanc = 'despe' THEN lan.vllanc ELSE 0 END) AS vldtot"";}",,,,,ufp,2014-11-25,2014-11-25
13,proxlan,Receita - tentativa,cacb,"cdd.iduf, cdd.iduf, cdd.nmcidade","a:4:{s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:7:""vlrcacb"";s:102:""SUM(CASE WHEN lan.tpfonterec = 'rcacb' AND lan.tplanc = 'recei' THEN lan.vllanc ELSE 0 END) AS vlrcacb"";s:7:""vlrcsub"";s:102:""SUM(CASE WHEN lan.tpfonterec = 'contr' AND lan.tplanc = 'recei' THEN lan.vllanc ELSE 0 END) AS vlrcsub"";}","a:2:{s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";}",,Apenas uma tentativa de verificar as receitas dos projetos,"a:1:{i:0;s:5:""cidad"";}",ufp,2014-11-26,
14,proxpar,Parcelas,cacb,,"a:5:{s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:12:""nuc.nmnucleo"";N;s:13:""par.idparcela"";N;s:18:""par.dtliberacaorec"";N;}","a:3:{s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";s:6:""nucleo"";s:3:""asc"";}",,Mostra a última parcela liberada ao projeto,,,2015-01-21,2015-01-21
15,empxpro,Empresas,cacb,,"a:8:{s:8:""cid.iduf"";N;s:14:""epp.nmentidade"";N;s:12:""cid.nmcidade"";N;s:12:""pro.flstatus"";N;s:16:""emp.flfiliadoace"";N;s:14:""emp.nmfantasia"";N;s:17:""emp.nurazaosocial"";N;s:12:""nuc.nmnucleo"";N;}",,,Relação das empresas participantes,,,2015-02-19,2015-02-19
16,proxlan,Relatório Analítico,cacb,,"a:16:{s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:12:""nuc.nmnucleo"";N;s:13:""pro.nmprojeto"";N;s:14:""lan.tpfonterec"";N;s:10:""lan.idlanc"";N;s:15:""lan.dtdocumento"";N;s:10:""lan.dtlanc"";N;s:10:""lan.dsdesp"";N;s:14:""lan.flnatureza"";N;s:12:""lan.nmcredor"";N;s:16:""lan.stlancamento"";N;s:10:""lan.tplanc"";N;s:10:""lan.vllanc"";N;s:15:""lan.dtpagamento"";N;s:12:""lan.flecofin"";N;}","a:3:{s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";s:4:""proj"";s:3:""asc"";}","a:1:{s:1:""f"";a:1:{i:0;s:2:""uf"";}}",Avaliação dos lançamentos,"a:1:{i:0;s:2:""uf"";}",,2015-03-05,2015-03-09
18,proxaca,Relatório Status,cacb,,"a:8:{s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:12:""nuc.nmnucleo"";N;s:10:""aca.nuacao"";N;s:10:""aca.stacao"";N;s:14:""aca.vlrecucacb"";N;s:19:""aca.vlrecuentidecon"";N;s:19:""aca.vlrecuentidfina"";N;}","a:3:{s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";s:6:""nucleo"";s:3:""asc"";}",,Status técnico X Financeiro,,,2015-03-11,
