id,data_modificacao,status,quantidade_status,data_inclusao,usuario_inclusao,id_concurso
290553,2023-03-01 00:00:00,Nova,1,2023-04-20 11:12:13,renato.rossi,3
290554,2023-04-20 00:00:00,Em habilitação da entidade,1,2023-04-20 11:12:13,renato.rossi,3
296590,2022-07-20 00:00:00,Em homologação,1,2023-08-10 11:33:32,gabriel.lima,2
296591,2022-07-22 00:00:00,Nova,1,2023-08-10 11:33:32,gabriel.lima,2
296592,2022-07-22 00:00:00,Em homologação,1,2023-08-10 11:33:32,gabriel.lima,2
296593,2022-07-25 00:00:00,Nova,1,2023-08-10 11:33:32,gabriel.lima,2
296594,2022-07-25 00:00:00,Em homologação,2,2023-08-10 11:33:32,gabriel.lima,2
296595,2022-07-26 00:00:00,Nova,1,2023-08-10 11:33:32,gabriel.lima,2
296596,2022-07-26 00:00:00,Em homologação,3,2023-08-10 11:33:32,gabriel.lima,2
296597,2022-07-27 00:00:00,Em homologação,5,2023-08-10 11:33:32,gabriel.lima,2
296598,2022-07-29 00:00:00,Em homologação,4,2023-08-10 11:33:33,gabriel.lima,2
296599,2022-07-29 00:00:00,Pendente,1,2023-08-10 11:33:33,gabriel.lima,2
296600,2022-08-01 00:00:00,Nova,1,2023-08-10 11:33:33,gabriel.lima,2
296601,2022-08-01 00:00:00,Em homologação,1,2023-08-10 11:33:33,gabriel.lima,2
296602,2022-08-01 00:00:00,Pendente,4,2023-08-10 11:33:33,gabriel.lima,2
296603,2022-08-02 00:00:00,Pendente,6,2023-08-10 11:33:33,gabriel.lima,2
296604,2022-08-03 00:00:00,Nova,2,2023-08-10 11:33:33,gabriel.lima,2
296605,2022-08-03 00:00:00,Pendente,6,2023-08-10 11:33:33,gabriel.lima,2
296606,2022-08-04 00:00:00,Em avaliação I,1,2023-08-10 11:33:33,gabriel.lima,2
296607,2022-08-04 00:00:00,Em homologação,5,2023-08-10 11:33:33,gabriel.lima,2
296608,2022-08-04 00:00:00,Pendente,2,2023-08-10 11:33:33,gabriel.lima,2
296609,2022-08-05 00:00:00,Em avaliação I,1,2023-08-10 11:33:33,gabriel.lima,2
296610,2022-08-05 00:00:00,Em homologação,3,2023-08-10 11:33:33,gabriel.lima,2
296611,2022-08-05 00:00:00,Pendente,5,2023-08-10 11:33:33,gabriel.lima,2
296612,2022-08-08 00:00:00,Nova,1,2023-08-10 11:33:33,gabriel.lima,2
296613,2022-08-08 00:00:00,Em avaliação I,1,2023-08-10 11:33:33,gabriel.lima,2
296614,2022-08-08 00:00:00,Em homologação,7,2023-08-10 11:33:33,gabriel.lima,2
296615,2022-08-08 00:00:00,Pendente,1,2023-08-10 11:33:33,gabriel.lima,2
296616,2022-08-09 00:00:00,Em avaliação I,1,2023-08-10 11:33:33,gabriel.lima,2
296617,2022-08-09 00:00:00,Em homologação,8,2023-08-10 11:33:33,gabriel.lima,2
296618,2022-08-09 00:00:00,Pendente,1,2023-08-10 11:33:33,gabriel.lima,2
296619,2022-08-10 00:00:00,Em avaliação I,5,2023-08-10 11:33:33,gabriel.lima,2
296620,2022-08-10 00:00:00,Em homologação,4,2023-08-10 11:33:33,gabriel.lima,2
296621,2022-08-10 00:00:00,Pendente,1,2023-08-10 11:33:33,gabriel.lima,2
