idfile,idreuniao,dsfile,nmfile,dtupload,dsextensao
001654ae3e5ab966a337807b67fb8d71,7780,Ata,ata 14,2010-01-19,doc
0017fd55f751b4a468ecfdfbcfb5277b,2779,Reunião 14/08/2007,LISTA PRESENÇA  14 08,2008-12-12,doc
002aad721dd5bb0b526085f6329c3c3b,5729,5ª reunião,5-quinta reunião,2009-09-17,doc
0030b435d816a59af673b1fa3b21b544,1425,ata da reunião,10  Ata de reunião  11 08 08 à 15 08 08,2008-08-29,doc
00321b1267e0d38fdf8ab122917a242a,6063,Matéria do Jornal O Imparcial sobre a palestra,Cópia de Palestra ACIPP - Mecanica Preventiva para Mulheres - 29-09-2009.JPG,2009-09-30,jpg
004f2488aa882adcdcb5113f8d0e55e2,10786,RELATÓRIO 23/03/2011,REUNIÃO 23032011,2011-04-13,doc
005fedd5191fe4ddfdce3e02492b217c,952,Integrantes,panificadoras.JPG,2008-07-16,jpg
0076fa00b92b0d932a95ca31e0135609,4121,Ata - 16/04/09,Ata 30 - 16 04 09,2009-06-04,doc
00b8a32e978f1d5512be572d616c9bdf,2057,ATA 20ª REUNIÃO,ATA CONF 20ª 28042005,2008-10-22,doc
00bfea42ccd2ace7dabe9b4d412ef5d2,7749,Lista Presença,lista 1,2010-01-19,doc
00d211cc7f68edd3cee4352d551462b5,8787,Ata de reuniao,ATA REUNIÃO - A E R - SISTEMA VESTIR E CALCAR07JUNHO2010,2010-06-08,doc
00e6fbfda13d0aa9e122773cdf690f98,7811,Lista Presença,LISTA 4,2010-01-22,doc
010b7d1d67d75d253ff38a11f1a4fdc3,6994,RELATORIO,reunião 37 17.11,2009-12-02,doc
01285543bed4f89022401374b76d008f,7095,Local da Reunião,Portal - Sala do Comtur,2009-12-14,jpg
012c5a39dcfd1fdd86606d3a9e94f103,11196,Reunião do dia 02/06/2011,Reunião Hospedagem -02.06.11,2011-06-29,doc
0138d9c242be01f0a4585b5beb8412f3,5632,Reuniao- Nova diretoria,DSC05415.JPG,2009-09-05,jpg
01403247f820b0c0d4a8a547050e6087,5265,Ofício Solicitando Cessão de Sala.,Oficio - Sala EM Ataliba Amadeu Sevá (18-08-2009),2009-08-19,doc
01498e25777c295ae8032d71cb8e0063,2820,ATA,ATA ART 25ª 25022006,2008-12-22,doc
