idreuniao,idempresa,faceb
23,6102,false
23,6110,false
23,6119,false
23,6144,false
23,6145,false
23,6146,false
23,6147,false
24,6102,false
24,6110,false
24,6119,false
24,6144,false
24,6145,false
24,6146,false
24,6147,false
24,6148,false
24,6149,false
25,5589,false
25,5595,false
25,5606,false
25,5629,false
25,5637,false
25,5644,false
25,5650,false
25,6299,false
26,5589,false
26,5595,false
26,5606,false
26,5629,false
26,5637,false
26,5644,false
26,5650,false
26,6299,false
27,5589,false
27,5595,false
27,5606,false
27,5629,false
27,5637,false
27,5644,false
27,5650,false
27,6299,false
28,5589,false
28,5595,false
28,5606,false
28,5629,false
28,5637,false
28,5644,false
28,5650,false
28,6299,false
28,6308,false
29,5589,false
29,5595,false
29,5606,false
29,5629,false
29,5637,false
29,5644,false
29,5650,false
29,6299,false
29,6308,false
30,5589,false
30,5595,false
30,5606,false
30,5629,false
30,5637,false
30,5644,false
30,5650,false
30,6299,false
30,6308,false
31,5589,false
31,5595,false
31,5606,false
31,5629,false
31,5637,false
31,5644,false
31,5650,false
31,6299,false
31,6308,false
32,5589,false
32,5595,false
32,5606,false
32,5629,false
32,5637,false
32,5644,false
32,5650,false
32,6299,false
32,6308,false
33,5589,false
33,5595,false
33,5606,false
33,5629,false
33,5637,false
33,5644,false
33,5650,false
33,6299,false
33,6308,false
34,5888,false
34,5889,false
34,5890,false
34,5891,false
34,5892,false
34,5893,false
34,5894,false
34,5896,false
34,5899,false
34,5901,false
34,5904,false
34,5905,false
34,5906,false
34,5909,false
34,6547,false
34,6608,false
34,6609,false
35,5589,false
35,5595,false
35,5606,false
35,5629,false
35,5637,false
35,5644,false
35,5650,false
35,6299,false
35,6308,false
36,5589,false
36,5595,false
36,5606,false
36,5629,false
36,5637,false
36,5644,false
36,5650,false
36,6299,false
36,6308,false
37,6036,false
37,6037,false
37,6038,false
37,6041,false
37,6043,false
37,6044,false
37,6045,false
37,6046,false
37,6341,false
38,5654,false
38,6387,false
38,6389,false
38,6390,false
39,5722,false
39,5723,false
39,6156,false
39,6157,false
39,6158,false
40,5589,false
40,5595,false
40,5606,false
40,5629,false
40,5637,false
40,5644,false
40,5650,false
40,6299,false
40,6308,false
41,5589,false
41,5595,false
41,5606,false
41,5629,false
41,5637,false
41,5644,false
41,5650,false
41,6299,false
41,6308,false
42,7096,false
42,7097,false
42,7098,false
42,7099,false
42,7100,false
42,7103,false
42,7109,false
42,7110,false
43,7096,false
43,7097,false
43,7098,false
43,7099,false
43,7100,false
43,7102,false
43,7103,false
43,7104,false
43,7106,false
43,7107,false
43,7108,false
43,7109,false
43,7110,false
44,7005,false
44,7007,false
44,7011,false
44,7013,false
44,7016,false
46,7017,false
46,7119,false
46,7120,false
46,7122,false
46,7124,false
46,7127,false
47,7017,false
47,7119,false
47,7120,false
47,7124,false
47,7127,false
47,7131,false
48,7017,false
48,7119,false
48,7120,false
48,7122,false
48,7123,false
48,7124,false
48,7125,false
48,7127,false
48,7129,false
48,7131,false
49,5888,false
49,5889,false
49,5892,false
49,5893,false
49,5894,false
49,5899,false
49,5901,false
49,5905,false
49,5907,false
49,6608,false
49,6609,false
50,6036,false
50,6037,false
50,6038,false
50,6041,false
50,6044,false
50,6045,false
50,6046,false
50,6339,false
50,6343,false
51,6041,false
51,6042,false
51,6043,false
51,6044,false
