idtemplrel,nmtemplrel,dstemplrel,txtemplate
assxnuc,Associações x Núcleos,-,"SELECT ##SELECT## 
FROM nucleo nuc 
LEFT JOIN associacao ass ON nuc.idassociacao = ass.idassociacao 
LEFT JOIN federacao fed	 ON ass.idfederacao = fed.idfederacao 
LEFT JOIN usuario usu 	 ON nuc.idgestornucleo = usu.nucpf 
LEFT JOIN segmento seg 	 ON nuc.idsegmento = seg.idsegmento 
LEFT JOIN cidade cid     ON ass.idcidade = cid.idcidade 
##WHERE## 
##GROUPBY## 
##ORDERBY##"
empxpro,Empresas x Projetos,-,"SELECT ##SELECT## 
FROM prprojeto pro 
LEFT JOIN nucleo nuc     	 ON pro.idnucleo = nuc.idnucleo 
LEFT JOIN nucemp nxe     	 ON nuc.idnucleo = nxe.idnucleo 
LEFT JOIN empresa emp     	 ON nxe.idempresa = emp.idempresa 
LEFT JOIN associacao ace 	 ON nuc.idassociacao = ace.idassociacao 
LEFT JOIN federacao fdr  	 ON ace.idfederacao = fdr.idfederacao 
LEFT JOIN cidade cid	 	 ON ace.idcidade = cid.idcidade 
LEFT JOIN prentidadeprop epp ON pro.identidadeprop = epp.identidadeprop 
LEFT JOIN usuario usu		 ON pro.idgestorprojeto = usu.nucpf 
LEFT JOIN segmento seg		 ON nuc.idsegmento = seg.idsegmento 
##WHERE## 
##GROUPBY##  
##ORDERBY## "
fedxass,Federações x Associações,-,"SELECT ##SELECT## 
FROM federacao fed 
LEFT JOIN associacao ass ON fed.idfederacao = ass.idfederacao 
LEFT JOIN usuario usu    ON ass.idgestorassociacao = usu.nucpf 
LEFT JOIN contato con    ON ass.idassociacao = con.identidade 
	  					AND con.idtipoentidade = 'ACE' 
                        AND con.idcargo = 1 
INNER JOIN cidade cid    ON ass.idcidade = cid.idcidade 
##WHERE## 
##GROUPBY## 
##ORDERBY##"
nucxemp,Núcleos x Empresas,-,"SELECT ##SELECT## 
FROM nucleo nuc 
INNER JOIN nucemp	  	  ON nuc.idnucleo = nucemp.idnucleo  
INNER JOIN empresa emp 	  ON nucemp.idempresa = emp.idempresa  
INNER JOIN associacao ass ON nuc.idassociacao = ass.idassociacao  
INNER JOIN federacao fed  ON ass.idfederacao = fed.idfederacao 
LEFT JOIN cidade cidass   ON ass.idcidade = cidass.idcidade 
LEFT JOIN cidade cidemp   ON emp.idcidade = cidemp.idcidade 
LEFT JOIN setor str		  ON emp.idsetor = str.idsetor 
LEFT JOIN ramoativ ram    ON emp.idramoativ = ram.idramoativ 
LEFT JOIN contato con	  ON emp.idempresa = con.identidade 
						 AND con.idtipoentidade = 'EMP' 
                         AND con.idcargo = 4 
LEFT JOIN segmento seg	  ON nuc.idsegmento = seg.idsegmento 
##WHERE## 
##GROUPBY## 
##ORDERBY## "
_proxaca,Projetos x Lançamentos,-,"SELECT ##SELECT## 
FROM prprojeto pro 
LEFT JOIN prentidadeprop epp ON pro.identidadeprop = epp.identidadeprop 
LEFT JOIN nucleo nuc ON pro.idnucleo = nuc.idnucleo 
LEFT JOIN associacao ace ON nuc.idassociacao = ace.idassociacao 
LEFT JOIN cidade cdd ON ace.idcidade = cdd.idcidade 
LEFT JOIN usuario usu ON pro.idgestorprojeto = usu.nucpf 
LEFT JOIN 
	(SELECT  COUNT(qstacao.*) as qtdacao, qstacao.idprojeto 
      FROM pracao qstacao 
      GROUP BY qstacao.idprojeto 
	 ) AS qstacao ON pro.idprojeto = qstacao.idprojeto 
LEFT JOIN 
	(SELECT  COUNT(acaoini.*) as qtdacaoini, acaoini.idprojeto 
      FROM pracao acaoini 
      WHERE acaoini.stacao = 'ini' 
      GROUP BY acaoini.idprojeto 
	 ) AS acaoini ON pro.idprojeto = acaoini.idprojeto 
LEFT JOIN 
	(SELECT  COUNT(acaoand.*) as qtdacaoand, acaoand.idprojeto 
      FROM pracao acaoand 
      WHERE acaoand.stacao = 'and' 
      GROUP BY acaoand.idprojeto 
	 ) AS acaoand ON pro.idprojeto = acaoand.idprojeto 
LEFT JOIN 
	(SELECT  COUNT(acaoatr.*) as qtdacaoatr, acaoatr.idprojeto 
      FROM pracao acaoatr 
      WHERE acaoatr.stacao = 'atr' 
      GROUP BY acaoatr.idprojeto 
	 ) AS acaoatr ON pro.idprojeto = acaoatr.idprojeto 
LEFT JOIN 
	(SELECT  COUNT(acaored.*) as qtdacaored, acaored.idprojeto 
      FROM pracao acaored 
      WHERE acaored.stacao = 'red' 
      GROUP BY acaored.idprojeto 
	 ) AS acaored ON pro.idprojeto = acaored.idprojeto 
LEFT JOIN 
	(SELECT  COUNT(acaocon.*) as qtdacaocon, acaocon.idprojeto 
      FROM pracao acaocon 
      WHERE acaocon.stacao = 'con' 
      GROUP BY acaocon.idprojeto 
	 ) AS acaocon ON pro.idprojeto = acaocon.idprojeto 
##WHERE## 
##GROUPBY## 
##ORDERBY##"
proxaca,Projetos x Lançamentos,-,"SELECT ##SELECT## 
FROM prprojeto pro 
LEFT JOIN prentidadeprop epp ON pro.identidadeprop = epp.identidadeprop  
LEFT JOIN nucleo nuc ON pro.idnucleo = nuc.idnucleo 
LEFT JOIN associacao ace ON nuc.idassociacao = ace.idassociacao  
LEFT JOIN cidade cdd ON ace.idcidade = cdd.idcidade 
LEFT JOIN usuario usu ON pro.idgestorprojeto = usu.nucpf 
LEFT JOIN pracao aca ON pro.idprojeto = aca.idprojeto 
##WHERE## 
##GROUPBY## 
##ORDERBY##"
_proxlan,Projetos x Lançamentos,-,"SELECT ##SELECT## 
FROM prprojeto pro 
LEFT JOIN prentidadeprop epp ON pro.identidadeprop = epp.identidadeprop 
LEFT JOIN nucleo nuc ON pro.idnucleo = nuc.idnucleo 
LEFT JOIN associacao ace ON nuc.idassociacao = ace.idassociacao 
LEFT JOIN cidade cdd ON ace.idcidade = cdd.idcidade 
LEFT JOIN usuario usu ON pro.idgestorprojeto = usu.nucpf 
LEFT JOIN 
	(SELECT SUM(lrcacb.vllanc) as vlrcacb, lrcacb.idprojeto 
      FROM prlancamento lrcacb 
      WHERE lrcacb.tpfonterec = 'rcacb' AND lrcacb.tplanc = 'recei' 
      GROUP BY lrcacb.idprojeto 
	 ) AS rcacb ON pro.idprojeto = rcacb.idprojeto 
LEFT JOIN 
	(SELECT SUM(lrceco.vllanc) as vlrceco, lrceco.idprojeto 
      FROM prlancamento lrceco 
      WHERE lrceco.tpfonterec = 'contr' AND lrceco.flecofin = 'eco' 
      AND lrceco.tplanc = 'recei'  
      GROUP BY lrceco.idprojeto 
	 ) AS rceco ON pro.idprojeto = rceco.idprojeto 
LEFT JOIN 
	(SELECT SUM(lrcfin.vllanc) as vlrcfin, lrcfin.idprojeto 
      FROM prlancamento lrcfin 
      WHERE lrcfin.tpfonterec = 'contr' AND lrcfin.flecofin = 'fin' 
      AND lrcfin.tplanc = 'recei'  
      GROUP BY lrcfin.idprojeto 
	 ) AS rcfin ON pro.idprojeto = rcfin.idprojeto 
LEFT JOIN 
	(SELECT SUM(lrcsub.vllanc) as vlrcsub, lrcsub.idprojeto 
      FROM prlancamento lrcsub 
      WHERE lrcsub.tpfonterec = 'contr' AND lrcsub.tplanc = 'recei' 
      GROUP BY lrcsub.idprojeto 
	 ) AS rcsub ON pro.idprojeto = rcsub.idprojeto 
LEFT JOIN 
	(SELECT SUM(lrtot.vllanc) as vlrtot, lrtot.idprojeto 
      FROM prlancamento lrtot 
      WHERE lrtot.tplanc = 'recei'  
      GROUP BY lrtot.idprojeto 
	 ) AS rtotal ON pro.idprojeto = rtotal.idprojeto      
LEFT JOIN 
	(SELECT SUM(ldcacb.vllanc) as vldcacb, ldcacb.idprojeto 
      FROM prlancamento ldcacb 
      WHERE ldcacb.tpfonterec = 'rcacb' AND ldcacb.tplanc = 'despe'  
      GROUP BY ldcacb.idprojeto 
	 ) AS dcacb ON pro.idprojeto = dcacb.idprojeto 
LEFT JOIN 
	(SELECT SUM(ldceco.vllanc) as vldceco, ldceco.idprojeto 
      FROM prlancamento ldceco 
      WHERE ldceco.tpfonterec = 'contr' AND ldceco.flecofin = 'eco' 
      AND ldceco.tplanc = 'despe'  
      GROUP BY ldceco.idprojeto 
	 ) AS dceco ON pro.idprojeto = dceco.idprojeto 
LEFT JOIN 
	(SELECT SUM(ldcfin.vllanc) as vldcfin, ldcfin.idprojeto 
      FROM prlancamento ldcfin 
      WHERE ldcfin.tpfonterec = 'contr' AND ldcfin.flecofin = 'fin' 
      AND ldcfin.tplanc = 'despe'  
      GROUP BY ldcfin.idprojeto 
	 ) AS dcfin ON pro.idprojeto = dcfin.idprojeto 
LEFT JOIN 
	(SELECT SUM(ldcsub.vllanc) as vldcsub, ldcsub.idprojeto 
      FROM prlancamento ldcsub 
      WHERE ldcsub.tpfonterec = 'contr' AND ldcsub.tplanc = 'despe'  
      GROUP BY ldcsub.idprojeto 
	 ) AS dcsub ON pro.idprojeto = dcsub.idprojeto 
LEFT JOIN 
	(SELECT SUM(ldtot.vllanc) as vldtot, ldtot.idprojeto 
      FROM prlancamento ldtot 
      WHERE ldtot.tplanc = 'despe'  
      GROUP BY ldtot.idprojeto 
	 ) AS dtotal ON pro.idprojeto = dtotal.idprojeto 
##WHERE## 
##GROUPBY## 
##ORDERBY##"
proxlan,Projetos x Lançamentos,-,"SELECT ##SELECT## 
FROM prprojeto pro 
LEFT JOIN prentidadeprop epp ON pro.identidadeprop = epp.identidadeprop 
LEFT JOIN nucleo nuc ON pro.idnucleo = nuc.idnucleo 
LEFT JOIN associacao ace ON nuc.idassociacao = ace.idassociacao 
LEFT JOIN cidade cdd ON ace.idcidade = cdd.idcidade 
LEFT JOIN usuario usu ON pro.idgestorprojeto = usu.nucpf 
LEFT JOIN prlancamento lan ON pro.idprojeto = lan.idprojeto 
##WHERE## 
##GROUPBY## 
##ORDERBY##"
_proxpar,Projetos x Lançamentos,-,"SELECT ##SELECT## 
FROM prprojeto pro 
LEFT JOIN prentidadeprop epp ON pro.identidadeprop = epp.identidadeprop 
LEFT JOIN nucleo nuc ON pro.idnucleo = nuc.idnucleo 
LEFT JOIN associacao ace ON nuc.idassociacao = ace.idassociacao 
LEFT JOIN cidade cdd ON ace.idcidade = cdd.idcidade 
LEFT JOIN usuario usu ON pro.idgestorprojeto = usu.nucpf 
LEFT JOIN 
	(SELECT COUNT(p1.*) as qtdp1, p1.idprojeto 
      FROM prparcela p1 
      WHERE p1.idparcela = 1 AND p1.dtliberacaorec IS NOT NULL 
      GROUP BY p1.idprojeto 
	 ) AS p1 ON pro.idprojeto = p1.idprojeto 
LEFT JOIN 
	(SELECT  COUNT(p2.*) as qtdp2, p2.idprojeto 
      FROM prparcela p2 
      WHERE p2.idparcela = 2 AND p2.dtliberacaorec IS NOT NULL 
      GROUP BY p2.idprojeto 
	 ) AS p2 ON pro.idprojeto = p2.idprojeto 
LEFT JOIN 
	(SELECT  COUNT(p3.*) as qtdp3, p3.idprojeto 
      FROM prparcela p3 
      WHERE p3.idparcela = 3 AND p3.dtliberacaorec IS NOT NULL 
      GROUP BY p3.idprojeto 
	 ) AS p3 ON pro.idprojeto = p3.idprojeto 
LEFT JOIN 
	(SELECT  COUNT(p4.*) as qtdp4, p4.idprojeto 
      FROM prparcela p4 
      WHERE p4.idparcela = 4 AND p4.dtliberacaorec IS NOT NULL 
      GROUP BY p4.idprojeto 
	 ) AS p4 ON pro.idprojeto = p4.idprojeto 
##WHERE## 
##GROUPBY## 
##ORDERBY##"
proxpar,Projetos x Lançamentos,-,"SELECT ##SELECT## 
FROM prprojeto pro 
LEFT JOIN prentidadeprop epp ON pro.identidadeprop = epp.identidadeprop 
LEFT JOIN nucleo nuc ON pro.idnucleo = nuc.idnucleo 
LEFT JOIN associacao ace ON nuc.idassociacao = ace.idassociacao 
LEFT JOIN cidade cdd ON ace.idcidade = cdd.idcidade 
LEFT JOIN usuario usu ON pro.idgestorprojeto = usu.nucpf 
LEFT JOIN prparcela par ON pro.idprojeto = par.idprojeto 
##WHERE## 
##GROUPBY## 
##ORDERBY##"
