idtemplrel,idcampo,nmcampo,tpcampo,tpfiltro,campoval,fllista
assxnuc,cid.idcidade,Cidade,num_igual,combo,cidad,s
assxnuc,cid.iduf,UF,str_igual,combo,uf,s
assxnuc,fed.idfederacao,Federação,num_igual,combo,razaofed,s
assxnuc,nuc.dtultimaalteracao,Última Alteração,entredata,combo,dtultatu,s
assxnuc,nuc.flativo,Status,str_igual,combo,flativ,s
assxnuc,nuc.idsegmento,Segmento,num_igual,autoc,dsseg,s
assxnuc,usu.nmusuario,Gestor,str_ilike,texto,nmgest,s
empxpro,cid.idcidade,Cidade,num_igual,combo,cidad,s
empxpro,cid.iduf,UF,str_igual,combo,uf,s
empxpro,emp.flfiliadoace,Empresa - Filiação ACE,str_igual,combo,flace,s
empxpro,epp.nmchamada,Chamada,str_ilike,texto,cham,s
empxpro,nuc.idnucleo,Núcleo Setorial,num_igual,autoc,nucleo,s
empxpro,nuc.idsegmento,Segmento,num_igual,autoc,dsseg,s
empxpro,pro.flstatus,Projeto - Status,str_igual,combo,status,s
empxpro,pro.idprojeto,Projeto,str_igual,autoc,proj,s
empxpro,usu.nmusuario,Gestor,str_ilike,texto,nmgest,s
fedxass,ass.dtultimaatualizacao,Última Atualização,entredata,combo,dtultatu,s
fedxass,ass.flativo,Status,str_igual,combo,ativo,s
fedxass,cid.idcidade,Cidade,num_igual,combo,cidad,s
fedxass,cid.iduf,UF,str_igual,combo,uf,s
fedxass,fed.idfederacao,Federação,num_igual,combo,razaofed,s
fedxass,usu.nmusuario,Gestor,str_ilike,texto,nmgest,s
nucxemp,cidass.idcidade,ACE - Cidade,num_igual,combo,cidace,s
nucxemp,cidass.iduf,ACE - UF,str_igual,combo,uface,s
nucxemp,cidemp.idcidade,Empresa - Cidade,num_igual,combo,cidemp,s
nucxemp,cidemp.iduf,Empresa - UF,str_igual,combo,ufemp,s
nucxemp,emp.dtultimaalteracao,Última Alteração,entredata,combo,dtultatu,s
nucxemp,emp.flfiliadoace,Empresa - Filiação ACE,str_igual,combo,flace,s
nucxemp,fed.idfederacao,Federação,num_igual,combo,razaofed,s
nucxemp,nuc.flativo,Núcleo - Status,str_igual,combo,statusn,s
nucxemp,nuc.idnucleo,Núcleo Setorial,num_igual,autoc,nucleo,s
nucxemp,nuc.idsegmento,Núcleo - Segmento,num_igual,autoc,dsseg,s
nucxemp,ram.idramoativ,Ramo de Atividade,str_igual,autoc,ramoativ,s
proxaca,cdd.idcidade,Cidade,num_igual,combo,cidad,s
proxaca,cdd.iduf,UF,str_igual,combo,uf,s
proxaca,epp.nmchamada,Chamada,str_ilike,texto,cham,s
proxaca,epp.nmentidade,Entidade Proponente,str_ilike,texto,nmentprop,s
proxaca,nuc.idnucleo,Núcleo Setorial,num_igual,autoc,nucleo,s
proxaca,pro.dtfim,Projeto - Data Fim,data_igual,data,pdtfim,s
proxaca,pro.dtini,Projeto - Data Início,data_igual,data,pdtini,s
proxaca,pro.flstatus,Projeto - Status,str_igual,combo,status,s
proxaca,pro.idprojeto,Projeto,str_igual,autoc,proj,s
proxaca,stacao,Status da Ação,stacao,combo,stacao,s
proxaca,usu.nmusuario,Gestor,str_ilike,texto,nmgest,s
proxlan,cdd.idcidade,Cidade,num_igual,combo,cidad,s
proxlan,cdd.iduf,UF,str_igual,combo,uf,s
proxlan,epp.nmchamada,Chamada,str_ilike,texto,cham,s
proxlan,epp.nmentidade,Entidade Proponente,str_ilike,texto,nmentprop,s
proxlan,nuc.idnucleo,Núcleo Setorial,num_igual,autoc,nucleo,s
proxlan,pro.dtfim,Projeto - Data Fim,data_igual,data,pdtfim,s
proxlan,pro.dtini,Projeto - Data Início,data_igual,data,pdtini,s
proxlan,pro.flstatus,Projeto - Status,str_igual,combo,status,s
proxlan,pro.idprojeto,Projeto,str_igual,autoc,proj,s
proxlan,stlanc,Status do Lançamento,stlanc,combo,stlanc,s
proxlan,usu.nmusuario,Gestor,str_ilike,texto,nmgest,s
proxpar,cdd.idcidade,Cidade,num_igual,combo,cidad,s
proxpar,cdd.iduf,UF,str_igual,combo,uf,s
proxpar,epp.nmchamada,Chamada,str_ilike,texto,cham,s
proxpar,epp.nmentidade,Entidade Proponente,str_ilike,texto,nmentprop,s
proxpar,nuc.idnucleo,Núcleo Setorial,num_igual,autoc,nucleo,s
proxpar,parlib,Parcelas Liberadas,parlib,combo,parlib,s
proxpar,pro.dtfim,Projeto - Data Fim,data_igual,data,pdtfim,s
proxpar,pro.dtini,Projeto - Data Início,data_igual,data,pdtini,s
proxpar,pro.flstatus,Projeto - Status,str_igual,combo,status,s
proxpar,pro.idprojeto,Projeto,str_igual,autoc,proj,s
proxpar,usu.nmusuario,Gestor,str_ilike,texto,nmgest,s
