idtemplrel,tpgestor,txsqlwhere
assxnuc,assc,ass.idassociacao IN  (##IDSOBJGESTOR##)
assxnuc,cacb,(1 = 1)
assxnuc,fedr,ass.idfederacao IN (##IDSOBJGESTOR##)
empxpro,assc,ass.idassociacao IN  (##IDSOBJGESTOR##)
empxpro,cacb,(1 = 1)
empxpro,empr,emp.idempresa IN (##IDOBJGESTOR##)
empxpro,fedr,ace.idfederacao IN (##IDSOBJGESTOR##)
empxpro,nucl,nuc.idnucleo IN  (##IDSOBJGESTOR##)
fedxass,cacb,(1 = 1)
fedxass,fedr,ass.idfederacao IN (##IDSOBJGESTOR##)
nucxemp,assc,ass.idassociacao IN  (##IDSOBJGESTOR##)
nucxemp,cacb,(1 = 1)
nucxemp,fedr,ass.idfederacao IN (##IDSOBJGESTOR##)
nucxemp,nucl,nuc.idnucleo IN  (##IDSOBJGESTOR##)
proxaca,cacb,(1 = 1)
proxaca,proj,pro.idprojeto IN  (##IDSOBJGESTOR##)
proxlan,cacb,(1 = 1)
proxlan,proj,pro.idprojeto IN  (##IDSOBJGESTOR##)
proxpar,cacb,(1 = 1)
proxpar,proj,pro.idprojeto IN  (##IDSOBJGESTOR##)
