idtemplrel,nmcampo,nmexibicao,campoval
assxnuc,ass.nmrazao,Associação,acerazao
assxnuc,ativos,Qtd. Núcleos Ativos,qtdnuati
assxnuc,cid.iduf,UF,uf
assxnuc,cid.nmcidade,Cidade,cidad
assxnuc,fed.nmrazao,Federação,fedrazao
assxnuc,inativos,Qtd. Núcleos Inativos,qtdnucina
assxnuc,nuc.dtultimaalteracao,Última Atualização,dtultalt
assxnuc,nuc.flativo,Status,flativ
assxnuc,seg.dssegmento,Segmento,dsseg
assxnuc,total,Qtd. Núcleos,qtdnuc
assxnuc,usu.nmusuario,Gestor,nmgest
empxpro,cid.iduf,Projeto - UF,uf
empxpro,cid.nmcidade,Projeto - Cidade,cidad
empxpro,epp.nmchamada,Chamada,cham
empxpro,nuc.nmnucleo,Núcleo Setorial,nucleo
empxpro,pro.dtfim,Projeto - Término,fim
empxpro,pro.dtini,Projeto - Início,ini
empxpro,pro.flstatus,Projeto - Status,status
empxpro,pro.nmprojeto,Projeto - Nome,proj
empxpro,seg.dssegmento,Segmento,segm
empxpro,totalempr,Quantidade de Empresas,qtdemp
empxpro,totalproj,Quantiade de Projetos,qtdproj
fedxass,ass.dtultimaatualizacao,Última Atualização,dtultatu
fedxass,ass.flativo,Status,ativo
fedxass,ativas,"Qtd. ACE's Ativas",qtdaceati
fedxass,cid.iduf,UF,uf
fedxass,cid.nmcidade,Cidade,cidad
fedxass,fed.nmrazao,Federação,razaofed
fedxass,inativas,"Qtd. ACE's Inativas",qtdaceina
fedxass,total,"Qtd. ACE's",qtdace
fedxass,usu.nmusuario,Gestor,nmgest
nucxemp,ass.nmrazao,ACE - Razão Social,acerazao
nucxemp,ativo,Quantidade de Empresas Ativas,qtdati
nucxemp,cidass.iduf,ACE - UF,uface
nucxemp,cidass.nmcidade,ACE - Cidade,cidace
nucxemp,cidemp.iduf,Empresa - UF,ufemp
nucxemp,cidemp.nmcidade,Empresa - Cidade,cidemp
nucxemp,emp.dtultimaalteracao,Empresa - Data da Última Alter,dtultalt
nucxemp,emp.flativo,Empresa - Status,status
nucxemp,emp.nmfantasia,Empresa - Nome Fantasia,nucfantasi
nucxemp,fed.nmrazao,Federação -  Razão Social,fedrazao
nucxemp,flativonuc,Núcleo - Status,statusn
nucxemp,inativo,Quantidade de Empresas Inativa,qtdina
nucxemp,nuc.nmnucleo,Núcleo Setorial,nucleo
nucxemp,ram.nmramoativ,Empresa - Ramo de Atividade,ramoativ
nucxemp,seg.dssegmento,Núcleo - Segmento,dsseg
nucxemp,total,Quantidade. de Núcleos,qtdnuc
nucxemp,totalemp,Quantidade de Empresas,qtdemp
proxaca,cdd.iduf,UF,uf
proxaca,cdd.nmcidade,Cidade,cidad
proxaca,epp.nmchamada,Chamada,cham
proxaca,epp.nmentidade,Entidade Proponente,nmentprop
proxaca,nuc.nmnucleo,Núcleo Setorial,nucleo
proxaca,pro.flstatus,Projeto - Status,status
proxaca,pro.nmprojeto,Projeto - Nome,proj
proxaca,usu.nmusuario,Projeto - Gestor,nmgest
proxlan,cdd.iduf,UF,uf
proxlan,cdd.nmcidade,Cidade,cidad
proxlan,epp.nmchamada,Chamada,cham
proxlan,epp.nmentidade,Entidade Proponente,nmentprop
proxlan,nuc.nmnucleo,Núcleo Setorial,nucleo
proxlan,pro.flstatus,Projeto - Status,status
proxlan,pro.nmprojeto,Projeto - Nome,proj
proxlan,usu.nmusuario,Projeto - Gestor,nmgest
proxpar,cdd.iduf,UF,uf
proxpar,cdd.nmcidade,Cidade,cidad
proxpar,epp.nmchamada,Chamada,cham
proxpar,epp.nmentidade,Entidade Proponente,nmentprop
proxpar,nuc.nmnucleo,Núcleo Setorial,nucleo
proxpar,pro.flstatus,Projeto - Status,status
proxpar,pro.nmprojeto,Projeto - Nome,proj
proxpar,usu.nmusuario,Projeto - Gestor,nmgest
