idtemplrel,nmcampo,nmexibicao,tprelatorio,nmvalue,sqlselect,encoding,format,valagrup
assxnuc,acerazao,ACE - Razão Social,amb,acerazao,ass.nmrazao as acerazao,utf8_decode,,ace
assxnuc,ativo,Quantidade de Núcleos Ativos,sin,qtdnucati,"SUM(CASE nuc.flativo WHEN 'S' THEN 1 ELSE 0 END) AS ativos",,,"fed, ace, seg"
assxnuc,cid.iduf,ACE - UF,amb,uf,,,,"ace, fed, seg"
assxnuc,cid.nmcidade,ACE - Cidade,ana,cidad,,,,
assxnuc,fed.nmrazao,Federação - Razão Social,amb,razaofed,,,,fed
assxnuc,inativo,Quantidade de Núcleos Inativos,sin,qtdnucina,"SUM(CASE nuc.flativo WHEN 'N' THEN 1 ELSE 0 END) AS inativos",,,"fed, ace, seg"
assxnuc,nuc.dshomepage,Núcleo - Homepage,ana,dshome,,,,
assxnuc,nuc.dtcriacao,Núcleo - Data da Criação,ana,dtcri,,,Esgn_Formata::data,
assxnuc,nuc.dtultimaalteracao,Núcleo - Data da Última Alteração,ana,dtultatu,,,Esgn_Formata::data,
assxnuc,nuc.flativo,Núcleo - Status,ana,flativ,,,Esgn_Arrays::statusAntigo,
assxnuc,nuc.idgestornucleo,Núcleo - CPF do Gestor,ana,idgest,,,Esgn_Formata::cpf,
assxnuc,nuc.nmnucleo,Núcleo - Núcleo Setorial,ana,nmnuc,,utf8_decode,,
assxnuc,nuc.txcriacaojustificativa,Núcleo - Justificativa,ana,txjust,,utf8_decode,,
assxnuc,nuc.txestudoviabilidade,Núcleo - Estudo de Viabilidade,ana,txviab,,utf8_decode,,
assxnuc,nuc.txoutrasinformacoes,Núcleo - Outras Informações,ana,txoutr,,utf8_decode,,
assxnuc,seg.dssegmento,Segmento,amb,dsseg,,,,seg
assxnuc,total,Quantidade de Núcleos,sin,qtdnuc,COUNT(nuc.*) AS total,,,"fed, ace, seg"
assxnuc,usu.dsemail,Núcleo - E-mail do Gestor,ana,emailgest,,,,
assxnuc,usu.nmusuario,Núcleo - Gestor,ana,nmgest,,utf8_decode,,
empxpro,cid.iduf,Projeto - UF,amb,uf,,,,"ufc, nuc, pro, seg"
empxpro,cid.nmcidade,Projeto - Cidade,amb,cidad,,,,"ufc, nuc, pro, seg"
empxpro,emp.flfiliadoace,Empresa - Filiação ACE,ana,flace,,,Esgn_Arrays::flFiliadoAce,
empxpro,emp.nmfantasia,Empresa - Nome Fantasia,ana,nmfant,,utf8_decode,,
empxpro,emp.nurazaosocial,Empresa - Razão Social,ana,emprazao,,utf8_decode,,
empxpro,epp.nmchamada,Chamada,ana,cham,,,,
empxpro,epp.nmconvenio,Convênio,ana,conve,,utf8_decode,,
empxpro,epp.nmentidade,Entidade Proponente,ana,entprop,,utf8_decode,,
empxpro,nuc.nmnucleo,Núcleo Setorial,amb,nucleo,,utf8_decode,,nuc
empxpro,pro.dtassinaturaadt,Projeto - Data Assinatura Termo Aditivo,ana,dttermo,,,Esgn_Formata::data,
empxpro,pro.dtfim,Projeto - Término,ana,fim,,,Esgn_Formata::data,
empxpro,pro.dtini,Projeto - Início,ana,ini,,,Esgn_Formata::data,
empxpro,pro.flstatus,Projeto - Status,amb,status,,,Esgn_Arrays::stProjeto,seg
empxpro,pro.nmprojeto,Projeto - Nome,amb,proj,,utf8_decode,,pro
empxpro,pro.nuduracao,Projeto - Duração (meses),ana,durac,,,,
empxpro,pro.termoadt,Projeto - Termo Aditivo,ana,termo,,,,
empxpro,pro.vlcacb,Projeto - Valor CACB,ana,vlcacb,,,Esgn_Formata::valor,
empxpro,pro.vlcontraecono,Projeto - Contrapartida Econômica,ana,coneco,,,Esgn_Formata::valor,
empxpro,pro.vlcontrafinan,Projeto - Contrapartida Financeira,ana,confin,,,Esgn_Formata::valor,
empxpro,pro.vlsubtotal,Projeto - Subtotal,ana,subtotal,,,Esgn_Formata::valor,
empxpro,pro.vltotal,Projeto - Total,ana,total,,,Esgn_Formata::valor,
empxpro,seg.dssegmento,Segmento,amb,dsseg,,,,seg
empxpro,totalempr,Quantidade de Empresas,sin,qtdemp,COUNT(DISTINCT emp.idempresa) AS totalempr,,,"ufc, nuc, pro, seg"
empxpro,totalproj,Quantidade de Projetos,sin,qtdproj,COUNT(DISTINCT pro.idprojeto) AS totalproj,,,"ufc, nuc, seg"
empxpro,usu.nmusuario,Projeto - Gestor,ana,nmgest,,utf8_decode,,
