id,nome,ativo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
1,Ação social,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
2,Acesso a mercados,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
3,Acesso a Novas Tecnologias ,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
4,Acessoria jurídica,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
5,Apoio administrativo,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
6,Aquisição de equipamentos,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
7,Avaliação de projeto,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
8,Benchmarking,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
9,Cadastramento de informações,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
10,Capacitação,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
11,Central de Negócios ,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
12,Centro de formação - implantação,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
13,Certificação,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
14,Chamada de projetos,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
15,Compras conjuntas,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
16,Comunicação ,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
17,Consórcio empresarial,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
18,Consultoria,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
19,Cooperação empresarial,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
20,Coordenação estadual ,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
21,Correção de solo,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
22,Criação de entidade,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
23,Criação de rota turística,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
24,Desenvolvimento de aplicativo ,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
25,Desenvolvimento de produto,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
26,Desenvolvimento de projeto,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
27,Desenvolvimento de software,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
28,Diagnóstico empresarial,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
29,Divulgação ,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
30,Espaço de trabalho compartilhado - implantação,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
31,Estruturação de projeto,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
32,Estudo,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
33,Evento - participação,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
34,Evento - realização,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
35,Feiras - exposição,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
36,Feiras - visitação,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
37,Formação de Equipe ,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
38,Formação de rede de clientes,true,2020-02-26 22:08:38,sistema,2020-02-26 22:08:38,sistema
