iduf,nmuf,regiao
10,OUTROS,
AC,ACRE,NORTE
AL,ALAGOAS,NORDESTE
AM,AMAZONAS,NORTE
AP,AMAPA,NORTE
BA,BAHIA,NORDESTE
CE,CEARA,NORDESTE
DF,DISTRITO FEDERAL,CENTRO-OESTE
ES,ESPIRITO SANTO,SUDESTE
GO,GOIAS,CENTRO-OESTE
MA,MARANHAO,NORDESTE
MG,MINAS GERAIS,SUDESTE
MS,MATO GROSSO DO SUL,CENTRO-OESTE
MT,MATO GROSSO,CENTRO-OESTE
PA,PARA,NORTE
PB,PARAIBA,NORDESTE
PE,PERNAMBUCO,NORDESTE
PI,PIAUI,NORDESTE
PR,PARANA,SUL
RJ,RIO DE JANEIRO,SUDESTE
RN,RIO GRANDE DO NORTE,NORDESTE
RO,RONDONIA,NORTE
RR,RORAIMA,NORTE
RS,RIO GRANDE DO SUL,SUL
SC,SANTA CATARINA,SUL
SE,SERGIPE,NORDESTE
SP,SAO PAULO,SUDESTE
TO,TOCANTIS,NORTE
