"cd_equipe","tx_ine","tx_esf","tx_esf_nome_completo","cd_regiao","cd_ra","cd_ubs","cd_gsap","cd_instrumento","st_ciclo_1","tp_equipe"
971,"2272466","EQUIPE SAFIRA",NULL,2,10,15,14,NULL,NULL,"esf"
972,"2272458","EQUIPE CRISTAL",NULL,2,10,15,14,NULL,NULL,"esf"
973,"2272431","EQUIPE AMETISTA",NULL,2,10,15,14,NULL,NULL,"esf"
974,"17998804","EQUIPE 07 - VERMELHA - AREA 0699",NULL,7,26,69,57,NULL,NULL,"esf"
365," 0468657"," EQUIPE 1 - VERMELHA ÁREA 0058",NULL,6,4,156,101,NULL,True,"esf"
26," 1554263","UBS2 - EQUIPE 01",NULL,3,11,41,16,NULL,True,"esf"
906," 2062763"," ESB CINZA",NULL,5,25,168,56,NULL,False,"esb"
616,"2259206","ESF 2005/50 - CINZA - PL",NULL,5,14,75,90,NULL,False,"esf"
617,"2259214","ESF 2006/51 - VIOLETA - PL",NULL,5,14,75,90,NULL,False,"esf"
618,"2239965","ESF 09 - UBS 10 SAM - ÁREA 3235",NULL,7,19,137,86,NULL,False,"esf"
619,"2193949","EQUIPE 1224/60",NULL,8,7,72,59,NULL,False,"esf"
620,"2236168","EQUIPE 1225/61",NULL,8,20,48,42,NULL,False,"esf"
621,"2198908","EQUIPE 1226/62",NULL,8,20,115,80,NULL,False,"esf"
603,"2235196","EQUIPE 3 - AMARELA",NULL,6,2,5,6,NULL,True,"esf"
604,"2235218","EQUIPE 5 - ROXA",NULL,6,2,5,6,NULL,True,"esf"
975," 2268817"," EQUIPE 17",NULL,3,18,90,40,NULL,NULL,"esf"
326," 2018160"," EQUIPE 2 - VINHA ÁREA 0122",NULL,6,4,156,101,NULL,True,"esf"
248," 1670441"," UBS2 - EQUIPE 02",NULL,3,11,41,16,NULL,True,"esf"
976," "," EQUIPE 07",NULL,3,8,58,50,NULL,NULL,"esf"
879,"1880160","EQUIPE 1201/43",NULL,8,7,38,32,NULL,False,"esb"
880,"1880233","EQUIPE 1202/44",NULL,8,7,57,49,NULL,False,"esb"
945,"2068877","eNASF-AB Ipê Amarelo",NULL,4,21,133,66,NULL,False,"nasf"
260,"2063433","EQUIPE 05",NULL,3,8,58,50,NULL,True,"esf"
605,"2235188","EQUIPE 6 - VIOLETA",NULL,6,4,98,76,NULL,True,"esf"
622,"2203103","EQUIPE ARATICUM",NULL,2,5,8,9,NULL,False,"esb"
623,"2203111","EQUIPE INGÁ",NULL,2,5,8,9,NULL,False,"esb"
624,"2203138","EQUIPE LÍRIO",NULL,2,5,35,31,NULL,False,"esb"
625,"2203073","EQUIPE RUBI",NULL,2,10,15,14,NULL,False,"esb"
626,"2203057","EQUIPE ESTRELA",NULL,2,15,3,4,NULL,False,"esb"
627,"2203022","EQUIPE LARANJA",NULL,2,15,4,5,NULL,False,"esb"
628,"2203030","EQUIPE LILÁS",NULL,2,15,4,5,NULL,False,"esb"
629,"2203049","EQUIPE ROSA",NULL,2,15,4,5,NULL,False,"esb"
630,"2203065","EQUIPE VERMELHA",NULL,2,15,32,28,NULL,False,"esb"
631,"2203081","EQUIPE HARMONIA",NULL,2,27,29,2,NULL,False,"esb"
632,"2117762","ESB 1",NULL,3,3,6,7,NULL,False,"esb"
633,"2117797","ESB 2",NULL,3,3,6,7,NULL,False,"esb"
634,"2117312","ESB 01",NULL,3,8,12,12,NULL,False,"esb"
635,"2117320","ESB 02",NULL,3,8,12,12,NULL,False,"esb"
636,"2117339","ESB 03",NULL,3,8,12,12,NULL,False,"esb"
637,"2117371","ESB 01",NULL,3,8,39,33,NULL,False,"esb"
638,"2117452","ESB 02",NULL,3,8,39,33,NULL,False,"esb"
639,"2117479","ESB 03",NULL,3,8,39,33,NULL,False,"esb"
