"cd_gsap","tx_gsap","cd_ra","cnes"
40,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - RIACHO FUNDO II",18,"3410196"
55,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - SÃO SEBASTIÃO",21,"0736260"
17,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - PARANOÁ",12,"0010634"
35,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - PARANOÁ",12,"3286975"
51,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - PARANOÁ",12,"9572511"
24,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - SÃO SEBASTIÃO",21,"0010790"
43,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - SÃO SEBASTIÃO",21,"3254909"
18,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - PLANALTINA",14,"5167817"
36,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - PLANALTINA",14,"0010650"
61,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 04 - PLANALTINA",14,"2804174"
52,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - PLANALTINA",14,"9768637"
44,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - SOBRADINHO",24,"0011231"
25,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - SOBRADINHO",24,"6770657"
56,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - SOBRADINHO",25,"0011258"
6,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - BRAZLÂNDIA",2,"0011215"
29,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - BRAZLÂNDIA",2,"6662358"
47,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - BRAZLÂNDIA",2,"3144658"
