"cd_ubs","tx_ubs_nome","tx_ubs_sigla","cd_regiao","cd_ra","cnes","tipo_ubs","rural","telefone_unidade","endereco_unidade","horario_funcionamento","ponto_eletronico","agd_acesso_avancado","agd_ordem_chegada","agd_bloco_horas","agd_horario_marcado","agd_turno","realiza_ecg_ubs","farmaciafornecimento_usuarios","presenca_supervisao_farmaceutico","dispensacao_psicotropico","coleta_laboratorial","imunizacao","horario_funcionamento_sala_vacina","bcg","formato_uso_esus_ab","cadeiras_odonto_funcionamento","esf_completas","esf_incompletas","total_esf","total_esb","total_nasf","total_ecr","total_prisional","total_equipe_socio_educativo","latitude","longitude","the_geom","cd_gsap","nu_min_ent_inloco","tipologia"
169,"UNIDADE BÁSICA DE SAÚDE Nº 13 - GAMA","UBS Nº 13 - GAMA",8,7,"0470104",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL,NULL
14,"UNIDADE BÁSICA DE SAÚDE Nº 01 - JARDINS MANGUEIRAL","UBS Nº 01 - JARDINS MANGUEIRAL",4,21,"736260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,35,NULL
136,"UNIDADE BÁSICA DE SAÚDE Nº 10 - RECANTO DAS EMAS","UBS Nº 10 - RECANTO DAS EMAS",7,16,"3144623","UBS TIPO 1","NÃO","99166-9596","QUADRA 511/311 LOTE 01 AV. MONJOLO","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","CAUTELA","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","OFFLINE","1","0","2","2","1","0","0","0","0","-15,933119","-48,106438","0101000020421200009C86A8C29F0D48C06D8D08C6C1DD2FC0",19,9,"E"
8,"UNIDADE BÁSICA DE SAÚDE Nº 01 - CRUZEIRO","UBS Nº 01 - CRUZEIRO",2,5,"10731","UBS TIPO 2","NÃO","2017-1900 RAMAL 4245","SHCES Quadra 601 LT 01 Àrea especial","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08 às 18:30h segunda a sexta e sábado 08 às 11:30h","QUINTA - FEIRA","ONLINE","2","0","5","5","2","1","0","0","1","-15,800747","-47,942181","010100002042120000CFF4126399F847C07FBDC282FB992FC0",9,59,"B"
153,"UNIDADE BÁSICA DE SAÚDE Nº 13 - SAMAMBAIA","UBS Nº 13 - SAMAMBAIA",7,19,"9647597","UBS TIPO 1","NÃO","não tem","QS 615 A AREA ESPECIAL 1","das 07h às 18h de segunda a sexta","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","OFFLINE","0","1","2","3","0","0","0","0","0","-15,876583","-48,115639","01010000204212000032923D42CD0E48C08A75AA7CCFC02FC0",41,10,NULL
168,"UNIDADE BÁSICA DE SAÚDE Nº 07 - SOBRADINHO II","UBS Nº 07 - SOBRADINHO II",5,25,"0957755",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,35,NULL
9,"UNIDADE BÁSICA DE SAÚDE Nº 01 - ESTRUTURAL","UBS Nº 01 - ESTRUTURAL",3,22,"2779374","UBS TIPO 2","NÃO","2017-1145 (R-4111)","AE 01 Setor Central Vila Estrutural CEP 71.255-030","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","07:30h às 18:30h segunda a sexta e sábado 7:30h às 11:30h ","SEGUNDA, QUARTA E SEXTA","ONLINE","3","5","4","9","5","1","0","0","0","-15,783654","-47,997248","0101000020421200002E008DD2A5FF47C059C2DA183B912FC0",10,54,"B"
10,"UNIDADE BÁSICA DE SAÚDE Nº 01 - FERCAL","UBS Nº 01 - FERCAL",5,6,"2804360","UBS TIPO 1","NÃO","98624-9364","DF 150 KM 12 Quadra 10 Casa 14, Engenho Velho - Fercal","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - VOLANTE","SIM","8h às 16:30 - segunda a sexta ","SEXTA - FEIRA","OFFLINE","1","2","0","2","0","0","0","0","0","-15,600348","-47,871589","010100002042120000D446753A90EF47C0227024D060332FC0",87,22,"B"
11,"UNIDADE BÁSICA DE SAÚDE Nº 01 - GAMA","UBS Nº 01 - GAMA",8,7,"10820","UBS TIPO 2","NÃO","2017-5491","Entrequadra 06/12, Área Especial, Setor Sul - Gama","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","NÃO","SIM - DIÁRIO","SIM","08h às 17:30h segunda a sexta, sábados das 8h às 11h30 ","SEGUNDA - FEIRA","ONLINE","4","5","0","5","4","1","0","0","0","-16,020679","-48,084848","010100002042120000C5909C4CDC0A48C0C8B60C384B0530C0",11,35,"B"
12,"UNIDADE BÁSICA DE SAÚDE Nº 01 - GUARÁ","UBS Nº 01 - GUARÁ",3,8,"11118","UBS TIPO 2","NÃO","2017-4195","QE 06-Lote C - Área Especial S/N-Guará I - CEP: 71.010-006","das 07h às 18h de segunda a sexta, e sábado das 07h às 12h","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","NÃO","SIM - DIÁRIO","SIM","07:30h às 17:30h segunda a sexta","SEGUNDA E QUARTA","ONLINE","2","6","1","7","3","1","0","0","0","-15,818217","-47,986487","010100002042120000EE76BD3445FE47C0FE0FB056EDA22FC0",12,54,"D"
13,"UNIDADE BÁSICA DE SAÚDE Nº 01 - ITAPOÃ","UBS Nº 01 - ITAPOÃ",4,9,"6268269","UBS TIPO 2","NÃO","TEL. 2017-1048 / RAMAIS: 2181 - GSAP: 2180","QD 378 AE DEL LAGO - ITAPOÃ PROX. ESCOLA ZILDA ARNS","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","07h às 18h de segunda a sexta-feira","QUINTA - FEIRA","ONLINE","4","9","0","9","5","1","0","0","0","-15,740397","-47,763109","0101000020421200004224438EADE147C0EF1CCA50157B2FC0",13,54,"B"
15,"UNIDADE BÁSICA DE SAÚDE Nº 01 - LAGO NORTE","UBS Nº 01 - LAGO NORTE",2,10,"11177","UBS TIPO 2","NÃO","2017-1145 - RAMAL 2150 ou 2151","SHIN QI 03 Área Especial, Lago Norte","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08 às 18:30h segunda a sexta e sábado 08 às 12:000h","SEGUNDA - FEIRA","ONLINE","2","0","4","4","2","0","0","0","0","-15,725567","-47,87385","01010000204212000007CE1951DAEF47C0191D90847D732FC0",14,59,"B"
